publication_id	round	block_id	sample_id	binary	library	scenario	network	client_threads	server_connections	metric	value	phase	status	reason	started_utc	ended_utc	duration_sec	run_order	random_seed	out_dir	client_log	server_log	git_commit	env_hash	machine_hash	datagram_sent	datagram_received	datagram_lost	datagram_delivery_ratio	udp_packets_sent	udp_packets_received	udp_send_syscalls	udp_recv_polls	datagrams_per_udp_packet
adaptive-datagram-fairness-inspection-20260516T045211Z	1	r001b00001t1	r001b00001t1:neqoperf-datagram-syscall-r001b00001t1-1.client	neqoperf	neqo	datagram	syscall	1	1	datagrams_per_second	2301285.337715000	discovery	ok		2026-05-16T04:52:16Z	2026-05-16T04:52:21Z	4.672397	2	2189423	/tmp/adaptive-datagram-fairness-inspection-20260516T045211Z/blocks/r001b00001t1-neqoperf-datagram-syscall	/tmp/adaptive-datagram-fairness-inspection-20260516T045211Z/blocks/r001b00001t1-neqoperf-datagram-syscall/neqoperf-datagram-syscall-r001b00001t1-1.client.log	/tmp/adaptive-datagram-fairness-inspection-20260516T045211Z/blocks/r001b00001t1-neqoperf-datagram-syscall/neqoperf-datagram-syscall-r001b00001t1-1.server.log	04bf7c34a7ffb7ea174585979ae549f130669d2c	df67c05954c302bb	d30b2298fa905ee1	8389417	8388608	809	0.999903569	700518	700515	35881	111696	11.974915598
adaptive-datagram-fairness-inspection-20260516T045211Z	1	r001b00001t1	r001b00001t1:neqoperf-datagram-syscall-r001b00001t1-2.client	neqoperf	neqo	datagram	syscall	1	1	datagrams_per_second	2279492.355227000	discovery	ok		2026-05-16T04:52:21Z	2026-05-16T04:52:26Z	4.708867	3	2189423	/tmp/adaptive-datagram-fairness-inspection-20260516T045211Z/blocks/r001b00001t1-neqoperf-datagram-syscall	/tmp/adaptive-datagram-fairness-inspection-20260516T045211Z/blocks/r001b00001t1-neqoperf-datagram-syscall/neqoperf-datagram-syscall-r001b00001t1-2.client.log	/tmp/adaptive-datagram-fairness-inspection-20260516T045211Z/blocks/r001b00001t1-neqoperf-datagram-syscall/neqoperf-datagram-syscall-r001b00001t1-2.server.log	04bf7c34a7ffb7ea174585979ae549f130669d2c	df67c05954c302bb	d30b2298fa905ee1	8389493	8388608	885	0.999894511	700533	700532	35630	110413	11.974624999
adaptive-datagram-fairness-inspection-20260516T045211Z	1	r001b00001t1	r001b00001t1:neqoperf-datagram-syscall-r001b00001t1-3.client	neqoperf	neqo	datagram	syscall	1	1	datagrams_per_second	2271732.214955000	discovery	ok		2026-05-16T04:52:26Z	2026-05-16T04:52:30Z	4.720800	4	2189423	/tmp/adaptive-datagram-fairness-inspection-20260516T045211Z/blocks/r001b00001t1-neqoperf-datagram-syscall	/tmp/adaptive-datagram-fairness-inspection-20260516T045211Z/blocks/r001b00001t1-neqoperf-datagram-syscall/neqoperf-datagram-syscall-r001b00001t1-3.client.log	/tmp/adaptive-datagram-fairness-inspection-20260516T045211Z/blocks/r001b00001t1-neqoperf-datagram-syscall/neqoperf-datagram-syscall-r001b00001t1-3.server.log	04bf7c34a7ffb7ea174585979ae549f130669d2c	df67c05954c302bb	d30b2298fa905ee1	8389496	8388608	888	0.999894153	742749	724954	33672	97847	11.571227968
adaptive-datagram-fairness-inspection-20260516T045211Z	1	r001b00002t1	r001b00002t1:quiczigperf-datagram-iouring-r001b00002t1-1.client	quiczigperf	quic_zig	datagram	iouring	1	1	datagrams_per_second	3678426.950134000	discovery	ok		2026-05-16T04:52:34Z	2026-05-16T04:52:37Z	3.322887	2	2189424	/tmp/adaptive-datagram-fairness-inspection-20260516T045211Z/blocks/r001b00002t1-quiczigperf-datagram-iouring	/tmp/adaptive-datagram-fairness-inspection-20260516T045211Z/blocks/r001b00002t1-quiczigperf-datagram-iouring/quiczigperf-datagram-iouring-r001b00002t1-1.client.log	/tmp/adaptive-datagram-fairness-inspection-20260516T045211Z/blocks/r001b00002t1-quiczigperf-datagram-iouring/quiczigperf-datagram-iouring-r001b00002t1-1.server.log	04bf7c34a7ffb7ea174585979ae549f130669d2c	df67c05954c302bb	d30b2298fa905ee1	8389597	8388608	989	0.999882116	413823	409304	34208	52276	20.494810703
adaptive-datagram-fairness-inspection-20260516T045211Z	1	r001b00002t1	r001b00002t1:quiczigperf-datagram-iouring-r001b00002t1-2.client	quiczigperf	quic_zig	datagram	iouring	1	1	datagrams_per_second	3645769.175003000	discovery	ok		2026-05-16T04:52:37Z	2026-05-16T04:52:40Z	3.340320	3	2189424	/tmp/adaptive-datagram-fairness-inspection-20260516T045211Z/blocks/r001b00002t1-quiczigperf-datagram-iouring	/tmp/adaptive-datagram-fairness-inspection-20260516T045211Z/blocks/r001b00002t1-quiczigperf-datagram-iouring/quiczigperf-datagram-iouring-r001b00002t1-2.client.log	/tmp/adaptive-datagram-fairness-inspection-20260516T045211Z/blocks/r001b00002t1-quiczigperf-datagram-iouring/quiczigperf-datagram-iouring-r001b00002t1-2.server.log	04bf7c34a7ffb7ea174585979ae549f130669d2c	df67c05954c302bb	d30b2298fa905ee1	8389443	8388608	835	0.999900470	414242	409600	34083	51938	20.480000000
adaptive-datagram-fairness-inspection-20260516T045211Z	1	r001b00002t1	r001b00002t1:quiczigperf-datagram-iouring-r001b00002t1-3.client	quiczigperf	quic_zig	datagram	iouring	1	1	datagrams_per_second	3579000.619117000	discovery	ok		2026-05-16T04:52:40Z	2026-05-16T04:52:44Z	3.380100	4	2189424	/tmp/adaptive-datagram-fairness-inspection-20260516T045211Z/blocks/r001b00002t1-quiczigperf-datagram-iouring	/tmp/adaptive-datagram-fairness-inspection-20260516T045211Z/blocks/r001b00002t1-quiczigperf-datagram-iouring/quiczigperf-datagram-iouring-r001b00002t1-3.client.log	/tmp/adaptive-datagram-fairness-inspection-20260516T045211Z/blocks/r001b00002t1-quiczigperf-datagram-iouring/quiczigperf-datagram-iouring-r001b00002t1-3.server.log	04bf7c34a7ffb7ea174585979ae549f130669d2c	df67c05954c302bb	d30b2298fa905ee1	8389463	8388608	855	0.999898086	415892	409062	36386	57977	20.506935379
adaptive-datagram-fairness-inspection-20260516T045211Z	1	r001b00003t1	r001b00003t1:quicheperf-datagram-syscall-r001b00003t1-1.client	quicheperf	quiche	datagram	syscall	1	1	datagrams_per_second	4190490.806319000	discovery	ok		2026-05-16T04:52:46Z	2026-05-16T04:52:50Z	3.031383	2	2189425	/tmp/adaptive-datagram-fairness-inspection-20260516T045211Z/blocks/r001b00003t1-quicheperf-datagram-syscall	/tmp/adaptive-datagram-fairness-inspection-20260516T045211Z/blocks/r001b00003t1-quicheperf-datagram-syscall/quicheperf-datagram-syscall-r001b00003t1-1.client.log	/tmp/adaptive-datagram-fairness-inspection-20260516T045211Z/blocks/r001b00003t1-quicheperf-datagram-syscall/quicheperf-datagram-syscall-r001b00003t1-1.server.log	04bf7c34a7ffb7ea174585979ae549f130669d2c	df67c05954c302bb	d30b2298fa905ee1	8389622	8388608	1014	0.999879136	406933	415720	18379	18406	20.178504763
adaptive-datagram-fairness-inspection-20260516T045211Z	1	r001b00003t1	r001b00003t1:quicheperf-datagram-syscall-r001b00003t1-2.client	quicheperf	quiche	datagram	syscall	1	1	datagrams_per_second	4285628.070668000	discovery	ok		2026-05-16T04:52:50Z	2026-05-16T04:52:53Z	2.983497	3	2189425	/tmp/adaptive-datagram-fairness-inspection-20260516T045211Z/blocks/r001b00003t1-quicheperf-datagram-syscall	/tmp/adaptive-datagram-fairness-inspection-20260516T045211Z/blocks/r001b00003t1-quicheperf-datagram-syscall/quicheperf-datagram-syscall-r001b00003t1-2.client.log	/tmp/adaptive-datagram-fairness-inspection-20260516T045211Z/blocks/r001b00003t1-quicheperf-datagram-syscall/quicheperf-datagram-syscall-r001b00003t1-2.server.log	04bf7c34a7ffb7ea174585979ae549f130669d2c	df67c05954c302bb	d30b2298fa905ee1	8389621	8388608	1013	0.999879256	405488	405642	20555	20557	20.679830984
adaptive-datagram-fairness-inspection-20260516T045211Z	1	r001b00003t1	r001b00003t1:quicheperf-datagram-syscall-r001b00003t1-3.client	quicheperf	quiche	datagram	syscall	1	1	datagrams_per_second	4456810.828552000	discovery	ok		2026-05-16T04:52:53Z	2026-05-16T04:52:55Z	2.908083	4	2189425	/tmp/adaptive-datagram-fairness-inspection-20260516T045211Z/blocks/r001b00003t1-quicheperf-datagram-syscall	/tmp/adaptive-datagram-fairness-inspection-20260516T045211Z/blocks/r001b00003t1-quicheperf-datagram-syscall/quicheperf-datagram-syscall-r001b00003t1-3.client.log	/tmp/adaptive-datagram-fairness-inspection-20260516T045211Z/blocks/r001b00003t1-quicheperf-datagram-syscall/quicheperf-datagram-syscall-r001b00003t1-3.server.log	04bf7c34a7ffb7ea174585979ae549f130669d2c	df67c05954c302bb	d30b2298fa905ee1	8389623	8388608	1015	0.999879017	405499	406758	25063	25070	20.623092846
adaptive-datagram-fairness-inspection-20260516T045211Z	1	r001b00004t1	r001b00004t1:quinnperf-datagram-syscall-r001b00004t1-1.client	quinnperf	quinn	datagram	syscall	1	1	datagrams_per_second	3299139.450071000	discovery	ok		2026-05-16T04:53:00Z	2026-05-16T04:53:03Z	3.567124	2	2189426	/tmp/adaptive-datagram-fairness-inspection-20260516T045211Z/blocks/r001b00004t1-quinnperf-datagram-syscall	/tmp/adaptive-datagram-fairness-inspection-20260516T045211Z/blocks/r001b00004t1-quinnperf-datagram-syscall/quinnperf-datagram-syscall-r001b00004t1-1.client.log	/tmp/adaptive-datagram-fairness-inspection-20260516T045211Z/blocks/r001b00004t1-quinnperf-datagram-syscall/quinnperf-datagram-syscall-r001b00004t1-1.server.log	04bf7c34a7ffb7ea174585979ae549f130669d2c	df67c05954c302bb	d30b2298fa905ee1	8389505	8388608	897	0.999893081	749275	749257	26818	30129	11.195902074
