binary	library	scenario	network	client_threads	build_profile	window_profile	congestion_profile	network_profile	app_chunk	server_connections	tls_verify_mode	tls_cert_profile	adapter_features	initial_cwnd_packets	ack_frequency_packets	socket_sndbuf_requested	socket_sndbuf_effective	socket_rcvbuf_requested	socket_rcvbuf_effective	metric	samples	min	p50	p90	p99	max
neqoperf	neqo	datagram	iouring	1	native-lto	default	default-bbr	iouring	262144	1	disabled	ed25519	sans_io=neqo-transport|cpp_networkhub=on|runtime=none|tls_verify=config_chain_preflight	0	0	67108864	8388608	67108864	8388608	datagrams_per_second	1	2062749.522763	2062749.522763	2062749.522763	2062749.522763	2062749.522763
neqoperf	neqo	datagram	syscall	1	native-lto	default	default-bbr	syscall	262144	1	disabled	ed25519	sans_io=neqo-transport|cpp_networkhub=on|runtime=none|tls_verify=config_chain_preflight	0	0	67108864	8388608	67108864	8388608	datagrams_per_second	1	2304279.580039	2304279.580039	2304279.580039	2304279.580039	2304279.580039
noqperf	noq	datagram	iouring	1	native-lto	default	default-bbr	iouring	262144	1	disabled	ed25519	cc=bbr3|sans_io=noq-proto|cpp_networkhub=on|gso=off|runtime=none	0	0	67108864	8388608	67108864	8388608	datagrams_per_second	1	2298315.427716	2298315.427716	2298315.427716	2298315.427716	2298315.427716
noqperf	noq	datagram	syscall	1	native-lto	default	default-bbr	syscall	262144	1	disabled	ed25519	cc=bbr3|sans_io=noq-proto|cpp_networkhub=on|gso=off|runtime=none	0	0	67108864	8388608	67108864	8388608	datagrams_per_second	1	3026198.172233	3026198.172233	3026198.172233	3026198.172233	3026198.172233
quicheperf	quiche	datagram	iouring	1	native-lto	default	default-bbr	iouring	262144	1	disabled	ed25519	cc=bbr2_gcongestion|migration=off|pmtud=off|max_windows=profile	0	0	67108864	8388608	67108864	8388608	datagrams_per_second	1	4705674.193196	4705674.193196	4705674.193196	4705674.193196	4705674.193196
quicheperf	quiche	datagram	syscall	1	native-lto	default	default-bbr	syscall	262144	1	disabled	ed25519	cc=bbr2_gcongestion|migration=off|pmtud=off|max_windows=profile	0	0	67108864	8388608	67108864	8388608	datagrams_per_second	1	4382924.057216	4382924.057216	4382924.057216	4382924.057216	4382924.057216
quiczigperf	quic_zig	datagram	iouring	1	native-lto	default	default-bbr	iouring	262144	1	disabled	ed25519	cc=cubic|bbr=unsupported|packet_api=quic-zig-connection|cpp_networkhub=on|gso=off|runtime=none|pmtud=off|pacing=disabled|send_backpressure=stream_window|flow_window_clamp=64m|server_send_rr=on	0	0	67108864	8388608	67108864	8388608	datagrams_per_second	1	3625460.209534	3625460.209534	3625460.209534	3625460.209534	3625460.209534
quiczigperf	quic_zig	datagram	syscall	1	native-lto	default	default-bbr	syscall	262144	1	disabled	ed25519	cc=cubic|bbr=unsupported|packet_api=quic-zig-connection|cpp_networkhub=on|gso=off|runtime=none|pmtud=off|pacing=disabled|send_backpressure=stream_window|flow_window_clamp=64m|server_send_rr=on	0	0	67108864	8388608	67108864	8388608	datagrams_per_second	1	3740952.610220	3740952.610220	3740952.610220	3740952.610220	3740952.610220
quinnperf	quinn	datagram	iouring	1	native-lto	default	default-bbr	iouring	262144	1	disabled	ed25519	cc=bbr|sans_io=quinn-proto|cpp_networkhub=on|gso=off|runtime=none	0	0	67108864	8388608	67108864	8388608	datagrams_per_second	1	2783557.768174	2783557.768174	2783557.768174	2783557.768174	2783557.768174
quinnperf	quinn	datagram	syscall	1	native-lto	default	default-bbr	syscall	262144	1	disabled	ed25519	cc=bbr|sans_io=quinn-proto|cpp_networkhub=on|gso=off|runtime=none	0	0	67108864	8388608	67108864	8388608	datagrams_per_second	1	2847039.214777	2847039.214777	2847039.214777	2847039.214777	2847039.214777
s2nperf	s2n_quic	datagram	iouring	1	native-lto	default	default-bbr	iouring	262144	1	disabled	ed25519	cc=bbr|manual_endpoint=s2n-quic|cpp_networkhub=on|gso=off|runtime=none	0	0	67108864	8388608	67108864	8388608	datagrams_per_second	1	1568842.755877	1568842.755877	1568842.755877	1568842.755877	1568842.755877
s2nperf	s2n_quic	datagram	syscall	1	native-lto	default	default-bbr	syscall	262144	1	disabled	ed25519	cc=bbr|manual_endpoint=s2n-quic|cpp_networkhub=on|gso=off|runtime=none	0	0	67108864	8388608	67108864	8388608	datagrams_per_second	1	1884663.841743	1884663.841743	1884663.841743	1884663.841743	1884663.841743
