binary	scenario	network	metric	client_threads	curve_role	phase	samples	blocks	p50	p90	p99	p99_status	p50_ci95_low	p50_ci95_high	p50_ci95_relative_width	p20	p80	p20_p80_ratio	convergence_status	reason
neqoperf	datagram	iouring	messages_per_second	1	baseline_1c1s+selected_saturation	discovery	20	4	114527.679963	119323.833254	127870.623670	insufficient_order_stat_support	111469.303903	116006.129038	0.039613	109556.241602	118499.713124	1.081634	ready	
neqoperf	datagram	iouring	messages_per_second	1	baseline_1c1s+selected_saturation	confirm	10	2	123772.476504	137798.384742	139608.627494	insufficient_order_stat_support	119197.037567	133355.297943	0.114389	119091.453342	134199.217951	1.126859	not_ready_max_samples	p50_ci_width_0.1144_gt_0.0500;block_median_ratio_1.1188_gt_1.1000
neqoperf	datagram	iouring	messages_per_second	1	baseline_1c1s+selected_saturation	combined	30	6	117064.798667	131603.016267	139161.653975	insufficient_order_stat_support	113352.590647	121840.302589	0.072504	110496.447786	123150.696744	1.114522	not_ready_nonstationary	p50_ci_width_0.0725_gt_0.0500;block_median_ratio_1.2080_gt_1.1000
neqoperf	datagram	iouring	messages_per_second	2	post_selected	discovery	20	4	92513.407430	96704.668802	99201.834855	insufficient_order_stat_support	92207.519534	93938.116881	0.018706	90830.805927	95256.772430	1.048728	ready	
neqoperf	datagram	iouring	messages_per_second	2	post_selected	combined	20	4	92513.407430	96704.668802	99201.834855	insufficient_order_stat_support	92207.519534	93938.116881	0.018706	90830.805927	95256.772430	1.048728	ready	
neqoperf	datagram	iouring	messages_per_second	3	plateau_sentinel+post_selected	discovery	20	4	81169.291636	84712.124240	87426.435724	insufficient_order_stat_support	79978.261047	82052.205981	0.025551	79097.545027	82605.688042	1.044352	ready	
neqoperf	datagram	iouring	messages_per_second	3	plateau_sentinel+post_selected	confirm	10	2	81081.046657	83597.932458	84913.148668	insufficient_order_stat_support	80726.537590	81537.876952	0.010007	80101.427037	81992.908486	1.023614	ready	
neqoperf	datagram	iouring	messages_per_second	3	plateau_sentinel+post_selected	combined	30	6	81096.129962	84712.124240	87157.825675	insufficient_order_stat_support	80726.537590	81697.876602	0.011978	79569.755872	82499.624054	1.036821	ready	
neqoperf	datagram	syscall	messages_per_second	1	baseline_1c1s+selected_saturation	discovery	20	4	126344.669600	135798.670227	136222.598797	insufficient_order_stat_support	125071.967759	127795.359693	0.021555	122573.650108	130810.016790	1.067195	ready	
neqoperf	datagram	syscall	messages_per_second	1	baseline_1c1s+selected_saturation	confirm	10	2	133887.891103	152337.170422	152681.763946	insufficient_order_stat_support	130584.826925	134811.882490	0.031572	129375.164063	141286.607109	1.092069	ready	
neqoperf	datagram	syscall	messages_per_second	1	baseline_1c1s+selected_saturation	combined	30	6	128410.337134	137865.420956	152596.679125	insufficient_order_stat_support	126231.297033	132963.899717	0.052430	124131.843288	135831.890566	1.094255	warning_noisy	p50_ci_width_0.0524_gt_0.0500
