binary	scenario	network	publication_status	metric	selected_threads	best_threads	boundary_threads	discovery_p50	confirm_p50	combined_p50	combined_p50_ci95_low	combined_p50_ci95_high	combined_p50_ci95_relative_width	p90	p99	p99_status	selection_probability_within_tolerance	selected_vs_best_ratio	edge_status	reason
lsperf	datagram	iouring	not_ready	messages_per_second													0.000000	0.000000	unsupported	requires_quic_datagram_adapter_api
lsperf	datagram	syscall	not_ready	messages_per_second													0.000000	0.000000	unsupported	requires_quic_datagram_adapter_api
mvfstperf	datagram	iouring	not_ready	messages_per_second													0.000000	0.000000	unsupported	requires_quic_datagram_adapter_api
mvfstperf	datagram	syscall	not_ready	messages_per_second													0.000000	0.000000	unsupported	requires_quic_datagram_adapter_api
neqoperf	datagram	iouring	not_ready	messages_per_second	1	1	3	114527.679963	123772.476504	117064.798667	113352.590647	121840.302589	0.072504	131603.016267	139161.653975	insufficient_order_stat_support	1.000000	1.000000	ok	t1:confirm_p50_ci_width_0.1144_gt_0.0750;confirm_median_delta_0.0807_gt_0.0750;combined_not_ready_nonstationary;p50_ci_width_0.0725_gt_0.0500;block_median_ratio_1.2080_gt_1.1000
neqoperf	datagram	syscall	not_ready	messages_per_second	1	1	3	126344.669600	133887.891103	128410.337134	126231.297033	132963.899717	0.052430	137865.420956	152596.679125	insufficient_order_stat_support	1.000000	1.000000	ok	t1:combined_warning_noisy;p50_ci_width_0.0524_gt_0.0500
ngtcp2perf	datagram	iouring	not_ready	messages_per_second													0.000000	0.000000	unsupported	requires_quic_datagram_adapter_api
ngtcp2perf	datagram	syscall	not_ready	messages_per_second													0.000000	0.000000	unsupported	requires_quic_datagram_adapter_api
noqperf	datagram	iouring	not_ready	messages_per_second													0.000000	0.000000	not_ready	no_ready_rows;t1:block_median_ratio_1.1573_gt_1.1000;drift_0.0335_gt_0.0300;persistent_block_median_ratio_recent_1.1361_gt_1.1000;persistent_drift_0.0335_gt_0.0300
noqperf	datagram	syscall	not_ready	messages_per_second	1	1	2	166055.277029		166055.277029	163281.079069	169997.361819	0.040446	177262.022538	192474.875129	insufficient_order_stat_support	1.000000	1.000000	not_ready	sentinels_0_lt_2;t2:block_median_ratio_1.1079_gt_1.1000;persistent_block_median_ratio_recent_1.1021_gt_1.1000;t1:missing_confirm_stats;t2:block_median_ratio_1.1079_gt_1.1000;persistent_block_median_ratio_recent_1.1021_gt_1.1000;missing_confirm_stats;block_median_ratio_1.1079_gt_1.1000;persistent_block_median_ratio_recent_1.1021_gt_1.1000
picoperf	datagram	iouring	not_ready	messages_per_second													0.000000	0.000000	unsupported	requires_quic_datagram_adapter_api
picoperf	datagram	syscall	not_ready	messages_per_second													0.000000	0.000000	unsupported	requires_quic_datagram_adapter_api
quicheperf	datagram	iouring	not_ready	messages_per_second													0.000000	0.000000	not_ready	no_ready_rows;t1:p50_ci_width_0.2033_gt_0.0500;p80_p20_1.2791_gt_1.1500;block_median_ratio_1.2698_gt_1.1000;drift_0.0717_gt_0.0300;severe_block_median_ratio_1.2698_gt_1.2500
quicheperf	datagram	syscall	not_ready	messages_per_second													0.000000	0.000000	not_ready	no_ready_rows;t1:p50_ci_width_0.1013_gt_0.0500;p80_p20_1.1910_gt_1.1500;block_median_ratio_1.2565_gt_1.1000;severe_block_median_ratio_1.2565_gt_1.2500
quiczigperf	datagram	iouring	not_ready	messages_per_second	1	1	3	200780.248201		200780.248201	194937.652419	203616.831361	0.043227	209318.418061	212549.696107	insufficient_order_stat_support	1.000000	1.000000	not_ready	sentinels_1_lt_2;t3:p50_ci_width_0.0768_gt_0.0500;block_median_ratio_1.1702_gt_1.1000;persistent_block_median_ratio_recent_1.1228_gt_1.1000;t1:missing_confirm_stats;t3:p50_ci_width_0.0768_gt_0.0500;block_median_ratio_1.1702_gt_1.1000;persistent_block_median_ratio_recent_1.1228_gt_1.1000;missing_confirm_stats;p50_ci_width_0.0768_gt_0.0500;block_median_ratio_1.1702_gt_1.1000;persistent_block_median_ratio_recent_1.1228_gt_1.1000
quiczigperf	datagram	syscall	not_ready	messages_per_second													0.000000	0.000000	not_ready	no_ready_rows;t1:p50_ci_width_0.0694_gt_0.0500;block_median_ratio_1.1298_gt_1.1000;drift_0.0515_gt_0.0300;persistent_block_median_ratio_recent_1.1298_gt_1.1000;persistent_drift_0.0515_gt_0.0300
