binary	scenario	network	metric	client_threads	publication_role	discovery_status	confirm_status	combined_status	combined_samples	combined_p50	combined_p50_ci95_low	combined_p50_ci95_high	combined_p50_ci95_relative_width	combined_p20_p80_ratio	publication_status	reason
neqoperf	datagram	syscall	datagrams_per_second	1	baseline_1c1s+selected_saturation	ready	not_ready	warning_noisy	18	2285330.011931	2214529.886317	2334622.599135	0.052549	1.069535	not_ready	confirm_p50_ci_width_0.1217_gt_0.0750;combined_warning_noisy;p50_ci_width_0.0525_gt_0.0500
neqoperf	datagram	syscall	datagrams_per_second	2	plateau_sentinel+post_selected	ready	ready	ready	15	2235553.673414	2210549.431494	2264838.212300	0.024284	1.040749	ready	
noqperf	datagram	iouring	datagrams_per_second	1	baseline_1c1s+pre_saturation	ready	ready	ready	27	2364556.217476	2320847.152149	2406123.892745	0.036065	1.082347	ready	
noqperf	datagram	iouring	datagrams_per_second	2	selected_saturation	ready	ready	ready	15	2487728.013470	2474875.447161	2503869.291990	0.011655	1.023350	ready	
noqperf	datagram	iouring	datagrams_per_second	3	plateau_sentinel+post_selected	ready	not_ready	not_ready_max_samples	27	2399389.575463	2370996.742148	2442439.856905	0.029776	1.039303	not_ready	combined_not_ready_max_samples;drift_-0.0360_gt_0.0300
noqperf	datagram	syscall	datagrams_per_second	1	baseline_1c1s+pre_saturation	ready	ready	ready	18	2528736.485271	2509205.713340	2584930.892477	0.029946	1.070131	ready	
noqperf	datagram	syscall	datagrams_per_second	2	selected_saturation	ready	ready	ready	15	2777095.645073	2752550.326124	2786737.714985	0.012310	1.022228	ready	
noqperf	datagram	syscall	datagrams_per_second	3	plateau_sentinel+post_selected	ready	ready	ready	15	2777761.241573	2746415.292298	2817412.109339	0.025559	1.028223	ready	
quiczigperf	datagram	syscall	datagrams_per_second	1	baseline_1c1s+pre_saturation	ready	not_ready	ready	15	3857154.829116	3810166.101754	3911329.302747	0.026227	1.051467	not_ready	missing_confirm_stats
quiczigperf	datagram	syscall	datagrams_per_second	2	pre_saturation	ready	not_ready	ready	12	4427819.738219	4396972.823716	4515908.211700	0.026861	1.027525	not_ready	missing_confirm_stats
quiczigperf	datagram	syscall	datagrams_per_second	3	selected_saturation	ready	not_ready	ready	12	4511779.530507	4467076.717723	4562945.816611	0.021249	1.022428	not_ready	missing_confirm_stats
s2nperf	datagram	iouring	datagrams_per_second	1	baseline_1c1s+selected_saturation	ready	not_ready	ready	12	1620893.219598	1590569.998467	1638604.616271	0.029635	1.064868	not_ready	missing_confirm_stats
s2nperf	datagram	iouring	datagrams_per_second	2	plateau_sentinel+post_selected	not_ready_max_samples	not_ready	not_ready_max_samples	24	1897926.401189	1889528.434258	1957541.142062	0.035835	1.089636	not_ready	block_median_ratio_1.2251_gt_1.1000;drift_0.0349_gt_0.0300;missing_confirm_stats;block_median_ratio_1.2251_gt_1.1000;drift_0.0349_gt_0.0300
s2nperf	datagram	syscall	datagrams_per_second	1	baseline_1c1s+selected_saturation	ready	not_ready	ready	24	1789720.516913	1716388.027673	1805233.737858	0.049642	1.088214	not_ready	missing_confirm_stats
s2nperf	datagram	syscall	datagrams_per_second	2	plateau_sentinel+post_selected	not_ready_max_samples	not_ready	not_ready_max_samples	24	2230517.259219	2135406.150566	2366927.757582	0.103797	1.301401	not_ready	p50_ci_width_0.1038_gt_0.0500;p80_p20_1.3014_gt_1.1500;block_median_ratio_1.3476_gt_1.1000;drift_-0.0340_gt_0.0300;missing_confirm_stats;p50_ci_width_0.1038_gt_0.0500;p80_p20_1.3014_gt_1.1500;block_median_ratio_1.3476_gt_1.1000;drift_-0.0340_gt_0.0300
