order	block	binary	scenario	network	path_profile	client_threads	repeat	warmup	mode	duration_ms	work_units
1	1	s2nperf	download	iouring	loopback	1	4	1	duration	2000	0
2	1	lsperf	download	iouring	loopback	1	4	1	duration	2000	0
3	1	s2nperf	datagram	iouring	loopback	8	4	1	duration	2000	0
4	1	noqperf	upload	iouring	loopback	1	4	1	duration	2000	0
5	1	lsperf	stream_churn	iouring	loopback	16	4	1	duration	2000	0
6	1	ngtcp2perf	small_payload_pps	iouring	loopback	16	4	1	duration	2000	0
7	1	xquicperf	connect	iouring	loopback	16	4	1	work	0	8
8	1	noqperf	connect	iouring	loopback	16	4	1	work	0	8
9	1	quinnperf	idle_footprint	iouring	loopback	16	4	1	work	0	0
10	1	xquicperf	upload	iouring	loopback	16	4	1	duration	2000	0
11	1	noqperf	close_reset_cleanup	iouring	loopback	1	4	1	duration	2000	0
12	1	noqperf	resumed_connect	iouring	loopback	16	4	1	work	0	2
13	1	quicheperf	zero_rtt_reqresp	iouring	loopback	8	4	1	duration	2000	0
14	1	s2nperf	multistream_upload	iouring	loopback	16	4	1	duration	2000	0
15	1	quicheperf	datagram	iouring	loopback	2	4	1	duration	2000	0
16	1	neqoperf	idle_footprint	iouring	loopback	16	4	1	work	0	0
17	1	quinnperf	connect	iouring	loopback	16	4	1	work	0	8
18	1	noqperf	small_payload_pps	iouring	loopback	1	4	1	duration	2000	0
19	1	tquicperf	resumed_connect	iouring	loopback	8	4	1	work	0	16
20	1	mvfstperf	upload	iouring	loopback	8	4	1	duration	2000	0
21	1	s2nperf	multistream_download	iouring	loopback	16	4	1	duration	2000	0
22	1	mvfstperf	bidi	iouring	loopback	4	4	1	duration	2000	0
23	1	s2nperf	stream_churn	iouring	loopback	4	4	1	duration	2000	0
24	1	quinnperf	small_payload_pps	iouring	loopback	1	4	1	duration	2000	0
25	1	xquicperf	loss_recovery	iouring	loopback	2	4	1	duration	5000	0
26	1	ngtcp2perf	close_reset_cleanup	iouring	loopback	16	4	1	duration	2000	0
27	1	picoperf	idle_footprint	iouring	loopback	16	4	1	work	0	0
28	1	quinnperf	flow_control	iouring	loopback	2	4	1	duration	2000	0
