scenario	network	path_profile	metric	binary_a	binary_b	a_p50	b_p50	a_vs_b_median_ratio	a_vs_b_ci95_low	a_vs_b_ci95_high	relation
bidi	iouring	loopback	throughput_gbps	lsperf	mvfstperf	1.073742	7.191818	0.149300	0.148835	0.149839	loss
bidi	iouring	loopback	throughput_gbps	lsperf	neqoperf	1.073742	3.267888	0.328574	0.324810	0.329525	loss
bidi	iouring	loopback	throughput_gbps	lsperf	ngtcp2perf	1.073742	18.633702	0.057624	0.056682	0.057793	loss
bidi	iouring	loopback	throughput_gbps	lsperf	noqperf	1.073742	4.385600	0.244834	0.244713	0.250214	loss
bidi	iouring	loopback	throughput_gbps	lsperf	quicheperf	1.073742	11.905773	0.090187	0.089428	0.090616	loss
bidi	iouring	loopback	throughput_gbps	lsperf	quiczigperf	1.073742	5.274862	0.203558	0.202163	0.204225	loss
bidi	iouring	loopback	throughput_gbps	lsperf	quinnperf	1.073742	5.316893	0.201949	0.200588	0.203625	loss
bidi	iouring	loopback	throughput_gbps	lsperf	s2nperf	1.073742	2.147484	0.500000	0.500000	0.500000	loss
bidi	iouring	loopback	throughput_gbps	lsperf	tquicperf	1.073742	10.280824	0.104441	0.103728	0.104731	loss
bidi	iouring	loopback	throughput_gbps	lsperf	xquicperf	1.073742	4.055614	0.264754	0.263396	0.267116	loss
bidi	iouring	loopback	throughput_gbps	mvfstperf	neqoperf	7.191818	3.267888	2.200754	2.176189	2.211536	win
bidi	iouring	loopback	throughput_gbps	mvfstperf	ngtcp2perf	7.191818	18.633702	0.385958	0.379293	0.387670	loss
bidi	iouring	loopback	throughput_gbps	mvfstperf	noqperf	7.191818	4.385600	1.639871	1.633365	1.673489	win
bidi	iouring	loopback	throughput_gbps	mvfstperf	quicheperf	7.191818	11.905773	0.604061	0.598633	0.608737	loss
bidi	iouring	loopback	throughput_gbps	mvfstperf	quiczigperf	7.191818	5.274862	1.363414	1.350712	1.369444	win
bidi	iouring	loopback	throughput_gbps	mvfstperf	quinnperf	7.191818	5.316893	1.352635	1.339471	1.364527	win
bidi	iouring	loopback	throughput_gbps	mvfstperf	s2nperf	7.191818	2.147484	3.348951	3.336913	3.359417	win
bidi	iouring	loopback	throughput_gbps	mvfstperf	tquicperf	7.191818	10.280824	0.699537	0.693226	0.703519	loss
bidi	iouring	loopback	throughput_gbps	mvfstperf	xquicperf	7.191818	4.055614	1.773299	1.760897	1.791689	win
bidi	iouring	loopback	throughput_gbps	neqoperf	ngtcp2perf	3.267888	18.633702	0.175375	0.172285	0.177148	loss
bidi	iouring	loopback	throughput_gbps	neqoperf	noqperf	3.267888	4.385600	0.745140	0.742621	0.761610	loss
bidi	iouring	loopback	throughput_gbps	neqoperf	quicheperf	3.267888	11.905773	0.274479	0.272041	0.278015	loss
bidi	iouring	loopback	throughput_gbps	neqoperf	quiczigperf	3.267888	5.274862	0.619521	0.614005	0.626531	loss
bidi	iouring	loopback	throughput_gbps	neqoperf	quinnperf	3.267888	5.316893	0.614623	0.609207	0.623446	loss
bidi	iouring	loopback	throughput_gbps	neqoperf	s2nperf	3.267888	2.147484	1.521728	1.517334	1.539360	win
bidi	iouring	loopback	throughput_gbps	neqoperf	tquicperf	3.267888	10.280824	0.317862	0.315185	0.321502	loss
bidi	iouring	loopback	throughput_gbps	neqoperf	xquicperf	3.267888	4.055614	0.805769	0.800232	0.817712	loss
bidi	iouring	loopback	throughput_gbps	ngtcp2perf	noqperf	18.633702	4.385600	4.248837	4.234794	4.357132	win
bidi	iouring	loopback	throughput_gbps	ngtcp2perf	quicheperf	18.633702	11.905773	1.565098	1.552719	1.597285	win
bidi	iouring	loopback	throughput_gbps	ngtcp2perf	quiczigperf	18.633702	5.274862	3.532548	3.501786	3.595871	win
bidi	iouring	loopback	throughput_gbps	ngtcp2perf	quinnperf	18.633702	5.316893	3.504622	3.474496	3.580903	win
bidi	iouring	loopback	throughput_gbps	ngtcp2perf	s2nperf	18.633702	2.147484	8.676992	8.651550	8.821120	win
bidi	iouring	loopback	throughput_gbps	ngtcp2perf	tquicperf	18.633702	10.280824	1.812472	1.797127	1.845671	win
bidi	iouring	loopback	throughput_gbps	ngtcp2perf	xquicperf	18.633702	4.055614	4.594545	4.563868	4.702478	win
bidi	iouring	loopback	throughput_gbps	noqperf	quicheperf	4.385600	11.905773	0.368359	0.360438	0.370294	loss
bidi	iouring	loopback	throughput_gbps	noqperf	quiczigperf	4.385600	5.274862	0.831415	0.813537	0.834549	loss
bidi	iouring	loopback	throughput_gbps	noqperf	quinnperf	4.385600	5.316893	0.824843	0.807482	0.831788	loss
bidi	iouring	loopback	throughput_gbps	noqperf	s2nperf	4.385600	2.147484	2.042204	1.998291	2.043213	win
bidi	iouring	loopback	throughput_gbps	noqperf	tquicperf	4.385600	10.280824	0.426581	0.417478	0.427975	loss
bidi	iouring	loopback	throughput_gbps	noqperf	xquicperf	4.385600	4.055614	1.081365	1.059691	1.091550	win
bidi	iouring	loopback	throughput_gbps	quicheperf	quiczigperf	11.905773	5.274862	2.257078	2.231090	2.277309	win
bidi	iouring	loopback	throughput_gbps	quicheperf	quinnperf	11.905773	5.316893	2.239235	2.214055	2.267812	win
bidi	iouring	loopback	throughput_gbps	quicheperf	s2nperf	11.905773	2.147484	5.544057	5.517806	5.589949	win
bidi	iouring	loopback	throughput_gbps	quicheperf	tquicperf	11.905773	10.280824	1.158056	1.144878	1.168073	win
bidi	iouring	loopback	throughput_gbps	quicheperf	xquicperf	11.905773	4.055614	2.935628	2.907707	2.976376	win
bidi	iouring	loopback	throughput_gbps	quiczigperf	quinnperf	5.274862	5.316893	0.992095	0.983383	1.006401	statistical_tie
bidi	iouring	loopback	throughput_gbps	quiczigperf	s2nperf	5.274862	2.147484	2.456298	2.448284	2.473249	win
bidi	iouring	loopback	throughput_gbps	quiczigperf	tquicperf	5.274862	10.280824	0.513078	0.508769	0.518028	loss
bidi	iouring	loopback	throughput_gbps	quiczigperf	xquicperf	5.274862	4.055614	1.300632	1.292116	1.321129	win
bidi	iouring	loopback	throughput_gbps	quinnperf	s2nperf	5.316893	2.147484	2.475871	2.455493	2.492675	win
bidi	iouring	loopback	throughput_gbps	quinnperf	tquicperf	5.316893	10.280824	0.517166	0.510483	0.522097	loss
bidi	iouring	loopback	throughput_gbps	quinnperf	xquicperf	5.316893	4.055614	1.310996	1.295142	1.331265	win
bidi	iouring	loopback	throughput_gbps	s2nperf	tquicperf	2.147484	10.280824	0.208882	0.207455	0.209462	loss
bidi	iouring	loopback	throughput_gbps	s2nperf	xquicperf	2.147484	4.055614	0.529509	0.526791	0.534232	loss
bidi	iouring	loopback	throughput_gbps	tquicperf	xquicperf	10.280824	4.055614	2.534961	2.515881	2.570833	win
bidi	syscall	loopback	throughput_gbps	lsperf	mvfstperf	2.147484	7.406184	0.289958	0.288934	0.292321	loss
bidi	syscall	loopback	throughput_gbps	lsperf	neqoperf	2.147484	3.305636	0.649643	0.645243	0.653478	loss
bidi	syscall	loopback	throughput_gbps	lsperf	ngtcp2perf	2.147484	20.503228	0.104739	0.103434	0.105505	loss
bidi	syscall	loopback	throughput_gbps	lsperf	noqperf	2.147484	3.856375	0.556866	0.551576	0.559533	loss
bidi	syscall	loopback	throughput_gbps	lsperf	quiczigperf	2.147484	5.286396	0.406228	0.404663	0.409846	loss
bidi	syscall	loopback	throughput_gbps	lsperf	quinnperf	2.147484	4.612374	0.465592	0.462720	0.467281	loss
bidi	syscall	loopback	throughput_gbps	lsperf	s2nperf	2.147484	2.147484	1.000000	1.000000	1.000000	statistical_tie
bidi	syscall	loopback	throughput_gbps	lsperf	tquicperf	2.147484	11.223257	0.191342	0.188374	0.191976	loss
bidi	syscall	loopback	throughput_gbps	lsperf	xquicperf	2.147484	4.298809	0.499553	0.498176	0.503318	loss
