binary	scenario	network	path_profile	adapter_features	congestion_controller	measurement_status	audit_status	publication_status	metric	selected_threads	mode	duration_ms	work_units	samples	blocks	p50	p50_ci95_low	p50_ci95_high	p50_ci95_relative_width	p90	p99	p99_status	reason
s2nperf	download	syscall	loopback	cc=cubic|manual_endpoint=s2n-quic|cpp_networkhub=on|udp_gso=common_cpp|udp_gro=on|runtime=none	cubic	complete	noisy	inconclusive	throughput_gbps	2	duration	2000		20	5	5.683281	5.647630	5.752750	0.018496	5.364305	1.896046	insufficient_order_stat_support	outliers_2
s2nperf	download	iouring	loopback	cc=cubic|manual_endpoint=s2n-quic|cpp_networkhub=on|udp_gso=common_cpp|udp_gro=on|runtime=none	cubic	complete	tail_insufficient	publishable	throughput_gbps	1	duration	2000		20	5	5.624134	5.605809	5.643978	0.006787	5.587153	5.566338	insufficient_order_stat_support	
s2nperf	upload	syscall	loopback	cc=cubic|manual_endpoint=s2n-quic|cpp_networkhub=on|udp_gso=common_cpp|udp_gro=on|runtime=none	cubic	complete	tail_insufficient	publishable	throughput_gbps	2	duration	2000		20	5	6.797656	6.717440	6.849298	0.019398	6.494618	6.474611	insufficient_order_stat_support	
s2nperf	upload	iouring	loopback	cc=cubic|manual_endpoint=s2n-quic|cpp_networkhub=on|udp_gso=common_cpp|udp_gro=on|runtime=none	cubic	complete	noisy	inconclusive	throughput_gbps	2	duration	2000		20	5	6.363939	6.137053	6.398148	0.041027	6.056706	5.854986	insufficient_order_stat_support	p50_ci_width_0.0410_gt_0.0300
s2nperf	connect	syscall	loopback	cc=cubic|manual_endpoint=s2n-quic|cpp_networkhub=on|udp_gso=common_cpp|udp_gro=on|runtime=none	cubic	complete	tail_insufficient	publishable	connections_per_second	16	work		8	20	5	295.299626	293.162292	300.299629	0.024170	275.595018	269.370401	insufficient_order_stat_support	
s2nperf	connect	iouring	loopback	cc=cubic|manual_endpoint=s2n-quic|cpp_networkhub=on|udp_gso=common_cpp|udp_gro=on|runtime=none	cubic	complete	tail_insufficient	publishable	connections_per_second	16	work		8	20	5	271.288505	267.280817	274.502805	0.026621	260.147786	249.439362	insufficient_order_stat_support	
s2nperf	reqresp	syscall	loopback	cc=cubic|manual_endpoint=s2n-quic|cpp_networkhub=on|udp_gso=common_cpp|udp_gro=on|runtime=none	cubic	complete	tail_insufficient	publishable	requests_per_second	4	duration	2000		20	5	39098.250000	39018.750000	39316.750000	0.007622	38666.350000	38424.115000	insufficient_order_stat_support	
s2nperf	reqresp	iouring	loopback	cc=cubic|manual_endpoint=s2n-quic|cpp_networkhub=on|udp_gso=common_cpp|udp_gro=on|runtime=none	cubic	complete	tail_insufficient	publishable	requests_per_second	4	duration	2000		20	5	40973.750000	40619.000000	41087.250000	0.011428	40224.650000	39912.485000	insufficient_order_stat_support	
s2nperf	stream_churn	syscall	loopback	cc=cubic|manual_endpoint=s2n-quic|cpp_networkhub=on|udp_gso=common_cpp|udp_gro=on|runtime=none	cubic	complete	tail_insufficient	publishable	streams_per_second	4	duration	2000		20	5	38983.500000	38776.500000	39225.500000	0.011518	38610.800000	38245.220000	insufficient_order_stat_support	
s2nperf	stream_churn	iouring	loopback	cc=cubic|manual_endpoint=s2n-quic|cpp_networkhub=on|udp_gso=common_cpp|udp_gro=on|runtime=none	cubic	complete	tail_insufficient	publishable	streams_per_second	4	duration	2000		20	5	41534.500000	40937.500000	41682.000000	0.017925	40537.650000	40307.745000	insufficient_order_stat_support	
