binary	scenario	network	path_profile	client_threads	metric	mode	duration_ms	work_units	samples	blocks	p50	p50_ci95_low	p50_ci95_high	p50_ci95_relative_width	p20	p80	p20_p80_ratio	p90	p99	p99_status	block_median_ratio	drift_relative	outlier_count	measurement_status	audit_status	publication_status	reason
s2nperf	download	syscall	loopback	2	throughput_gbps	duration	2000		20	5	5.683281	5.647630	5.752750	0.018496	5.613237	5.817709	1.036427	5.364305	1.896046	insufficient_order_stat_support	1.025307	0.002210	2	complete	noisy	inconclusive	outliers_2
s2nperf	download	iouring	loopback	1	throughput_gbps	duration	2000		20	5	5.624134	5.605809	5.643978	0.006787	5.592751	5.666350	1.013160	5.587153	5.566338	insufficient_order_stat_support	1.006809	0.003445	0	complete	tail_insufficient	publishable	
s2nperf	upload	syscall	loopback	2	throughput_gbps	duration	2000		20	5	6.797656	6.717440	6.849298	0.019398	6.628469	6.850924	1.033561	6.494618	6.474611	insufficient_order_stat_support	1.037002	0.019734	0	complete	tail_insufficient	publishable	
s2nperf	upload	iouring	loopback	2	throughput_gbps	duration	2000		20	5	6.363939	6.137053	6.398148	0.041027	6.096735	6.445597	1.057221	6.056706	5.854986	insufficient_order_stat_support	1.050482	-0.017204	0	complete	noisy	inconclusive	p50_ci_width_0.0410_gt_0.0300
s2nperf	connect	syscall	loopback	16	connections_per_second	work		8	20	5	295.299626	293.162292	300.299629	0.024170	289.159390	308.243069	1.065997	275.595018	269.370401	insufficient_order_stat_support	1.053892	0.015733	0	complete	tail_insufficient	publishable	
s2nperf	connect	iouring	loopback	16	connections_per_second	work		8	20	5	271.288505	267.280817	274.502805	0.026621	261.562503	279.829324	1.069837	260.147786	249.439362	insufficient_order_stat_support	1.027020	-0.018665	0	complete	tail_insufficient	publishable	
s2nperf	reqresp	syscall	loopback	4	requests_per_second	duration	2000		20	5	39098.250000	39018.750000	39316.750000	0.007622	38891.200000	39733.700000	1.021663	38666.350000	38424.115000	insufficient_order_stat_support	1.010680	0.001642	0	complete	tail_insufficient	publishable	
s2nperf	reqresp	iouring	loopback	4	requests_per_second	duration	2000		20	5	40973.750000	40619.000000	41087.250000	0.011428	40429.000000	41386.800000	1.023691	40224.650000	39912.485000	insufficient_order_stat_support	1.017015	0.006969	0	complete	tail_insufficient	publishable	
s2nperf	stream_churn	syscall	loopback	4	streams_per_second	duration	2000		20	5	38983.500000	38776.500000	39225.500000	0.011518	38752.500000	39356.100000	1.015576	38610.800000	38245.220000	insufficient_order_stat_support	1.015579	-0.004084	0	complete	tail_insufficient	publishable	
s2nperf	stream_churn	iouring	loopback	4	streams_per_second	duration	2000		20	5	41534.500000	40937.500000	41682.000000	0.017925	40852.100000	41871.200000	1.024946	40537.650000	40307.745000	insufficient_order_stat_support	1.021846	-0.005373	0	complete	tail_insufficient	publishable	
s2nperf	multistream_download	syscall	loopback	16	throughput_gbps	duration	2000		20	5	1.073742	1.073742	1.073742	0.000000	1.073742	1.073742	1.000000	1.073742	1.073742	insufficient_order_stat_support	1.000000	0.000000	0	complete	tail_insufficient	publishable	
s2nperf	multistream_download	iouring	loopback	16	throughput_gbps	duration	2000		20	5	1.073742	1.073742	1.073742	0.000000	1.073742	1.073742	1.000000	1.073742	1.073742	insufficient_order_stat_support	1.000000	0.000000	0	complete	tail_insufficient	publishable	
