binary	scenario	network	publication_status	metric	selected_threads	best_threads	boundary_threads	discovery_p50	confirm_p50	combined_p50	combined_p50_ci95_low	combined_p50_ci95_high	combined_p50_ci95_relative_width	p90	p99	p99_status	selection_probability_within_tolerance	selected_vs_best_ratio	edge_status	reason
lsperf	bidi	iouring	not_ready	throughput_gbps													0.000000	0.000000	not_ready	no_ready_rows;t1:p50_ci_width_0.0767_gt_0.0300;p80_p20_1.3844_gt_1.1500;block_median_ratio_1.3069_gt_1.1000;drift_0.0486_gt_0.0300;severe_block_median_ratio_1.3069_gt_1.2500
lsperf	bidi	syscall	not_ready	throughput_gbps													0.000000	0.000000	not_ready	no_ready_rows;t1:p50_ci_width_0.1324_gt_0.0300;p80_p20_1.4427_gt_1.1500;block_median_ratio_1.5094_gt_1.1000;drift_-0.0888_gt_0.0300;severe_block_median_ratio_1.5094_gt_1.2500;severe_drift_-0.0888_gt_0.0800
lsperf	close_reset_cleanup	iouring	not_ready	streams_per_second	2	2	3	59125.063002		59125.063002	58671.507743	59702.053129	0.017430	61892.101658	70535.142932	insufficient_order_stat_support	1.000000	1.000000	not_ready	sentinels_0_lt_2;t3:outliers_5;severe_outlier_blocks_4_gte_2;t1:missing_confirm_stats;t2:missing_confirm_stats;t3:outliers_5;severe_outlier_blocks_4_gte_2;missing_confirm_stats;outliers_5;severe_outlier_blocks_4_gte_2
lsperf	close_reset_cleanup	syscall	not_ready	streams_per_second													0.000000	0.000000	not_ready	no_ready_rows;t1:outliers_1;persistent_outliers_1
lsperf	connect	iouring	not_ready	connections_per_second													0.000000	0.000000	not_ready	no_ready_rows;t1:outliers_1;persistent_outliers_1
lsperf	connect	syscall	not_ready	connections_per_second	2	2	3	2416.783179		2416.783179	2386.071080	2455.312335	0.028650	2496.138289	2713.061517	insufficient_order_stat_support	1.000000	1.000000	not_ready	sentinels_0_lt_2;t3:p50_ci_width_0.0925_gt_0.0500;block_median_ratio_1.1813_gt_1.1000;drift_-0.0945_gt_0.0300;severe_drift_-0.0945_gt_0.0800;t1:missing_confirm_stats;t2:missing_confirm_stats;t3:p50_ci_width_0.0925_gt_0.0500;block_median_ratio_1.1813_gt_1.1000;drift_-0.0945_gt_0.0300;severe_drift_-0.0945_gt_0.0800;missing_confirm_stats;p50_ci_width_0.0925_gt_0.0500;block_median_ratio_1.1813_gt_1.1000;drift_-0.0945_gt_0.0300;severe_drift_-0.0945_gt_0.0800
lsperf	datagram	iouring	not_ready	messages_per_second													0.000000	0.000000	unsupported	requires_quic_datagram_adapter_api
lsperf	datagram	syscall	not_ready	messages_per_second													0.000000	0.000000	unsupported	requires_quic_datagram_adapter_api
lsperf	download	iouring	not_ready	throughput_gbps													0.000000	0.000000	not_ready	no_ready_rows;t1:outliers_6;severe_outlier_blocks_4_gte_2
lsperf	download	syscall	not_ready	throughput_gbps	3	3	4	7.465902		7.465902	7.363031	7.582757	0.029431	8.132258	8.592541	insufficient_order_stat_support	1.000000	1.000000	not_ready	sentinels_0_lt_2;t4:p50_ci_width_0.0600_gt_0.0300;block_median_ratio_1.1368_gt_1.1000;persistent_block_median_ratio_recent_1.1217_gt_1.1000;t1:missing_confirm_stats;t2:missing_confirm_stats;t3:missing_confirm_stats;t4:p50_ci_width_0.0600_gt_0.0300;block_median_ratio_1.1368_gt_1.1000;persistent_block_median_ratio_recent_1.1217_gt_1.1000;missing_confirm_stats;p50_ci_width_0.0600_gt_0.0300;block_median_ratio_1.1368_gt_1.1000;persistent_block_median_ratio_recent_1.1217_gt_1.1000
