binary	scenario	network	metric	client_threads	publication_role	discovery_status	confirm_status	combined_status	combined_samples	combined_p50	combined_p50_ci95_low	combined_p50_ci95_high	combined_p50_ci95_relative_width	combined_p20_p80_ratio	publication_status	reason
lsperf	close_reset_cleanup	iouring	streams_per_second	1	baseline_1c1s+pre_saturation	ready	not_ready	ready	20	58657.609250	56503.182415	58990.857684	0.042410	1.048594	not_ready	missing_confirm_stats
lsperf	close_reset_cleanup	iouring	streams_per_second	2	selected_saturation	ready	not_ready	ready	20	59125.063002	58671.507743	59702.053129	0.017430	1.031131	not_ready	missing_confirm_stats
lsperf	close_reset_cleanup	iouring	streams_per_second	3	plateau_sentinel+post_selected	not_ready_high_variance	not_ready	not_ready_high_variance	35	60262.000818	59863.263887	60488.322702	0.010372	1.026044	not_ready	outliers_5;severe_outlier_blocks_4_gte_2;missing_confirm_stats;outliers_5;severe_outlier_blocks_4_gte_2
lsperf	connect	syscall	connections_per_second	1	baseline_1c1s+pre_saturation	ready	not_ready	ready	25	1321.903276	1313.278692	1330.056075	0.012692	1.032913	not_ready	missing_confirm_stats
lsperf	connect	syscall	connections_per_second	2	selected_saturation	ready	not_ready	ready	20	2416.783179	2386.071080	2455.312335	0.028650	1.044384	not_ready	missing_confirm_stats
lsperf	connect	syscall	connections_per_second	3	plateau_sentinel+post_selected	not_ready_high_variance	not_ready	not_ready_high_variance	30	3311.241687	3239.237036	3545.386861	0.092458	1.131698	not_ready	p50_ci_width_0.0925_gt_0.0500;block_median_ratio_1.1813_gt_1.1000;drift_-0.0945_gt_0.0300;severe_drift_-0.0945_gt_0.0800;missing_confirm_stats;p50_ci_width_0.0925_gt_0.0500;block_median_ratio_1.1813_gt_1.1000;drift_-0.0945_gt_0.0300;severe_drift_-0.0945_gt_0.0800
lsperf	download	syscall	throughput_gbps	1	baseline_1c1s+pre_saturation	ready	not_ready	ready	25	6.094626	6.044298	6.212869	0.027659	1.099377	not_ready	missing_confirm_stats
lsperf	download	syscall	throughput_gbps	2	pre_saturation	ready	not_ready	ready	30	7.317899	7.172760	7.368223	0.026710	1.089945	not_ready	missing_confirm_stats
lsperf	download	syscall	throughput_gbps	3	selected_saturation	ready	not_ready	ready	35	7.465902	7.363031	7.582757	0.029431	1.095322	not_ready	missing_confirm_stats
lsperf	download	syscall	throughput_gbps	4	plateau_sentinel+post_selected	not_ready_high_variance	not_ready	not_ready_high_variance	45	7.745711	7.522694	7.987107	0.059957	1.097527	not_ready	p50_ci_width_0.0600_gt_0.0300;block_median_ratio_1.1368_gt_1.1000;persistent_block_median_ratio_recent_1.1217_gt_1.1000;missing_confirm_stats;p50_ci_width_0.0600_gt_0.0300;block_median_ratio_1.1368_gt_1.1000;persistent_block_median_ratio_recent_1.1217_gt_1.1000
lsperf	flow_control	syscall	throughput_gbps	1	baseline_1c1s+selected_saturation	ready	not_ready	ready	20	5.648001	5.572755	5.761387	0.033398	1.045460	not_ready	missing_confirm_stats
