binary	scenario	network	client_threads	metric	phase	samples	blocks	median	p50_ci95_low	p50_ci95_high	p50_ci95_relative_width	p20	p80	p20_p80_ratio	p90	p99	p99_status	mad_relative	block_median_ratio	drift_relative	lag1_autocorr	outlier_count	convergence_status	reason
lsperf	bidi	iouring	1	throughput_gbps	discovery	35	7	6.030853	5.913323	6.375763	0.076679	5.435432	7.524545	1.384351	8.284151	9.475447	insufficient_order_stat_support	0.097902	1.306855	0.048635	-0.061885	0	not_ready_high_variance	p50_ci_width_0.0767_gt_0.0300;p80_p20_1.3844_gt_1.1500;block_median_ratio_1.3069_gt_1.1000;drift_0.0486_gt_0.0300;severe_block_median_ratio_1.3069_gt_1.2500
lsperf	bidi	iouring	1	throughput_gbps	combined	35	7	6.030853	5.913323	6.375763	0.076679	5.435432	7.524545	1.384351	8.284151	9.475447	insufficient_order_stat_support	0.097902	1.306855	0.048635	-0.061885	0	not_ready_high_variance	p50_ci_width_0.0767_gt_0.0300;p80_p20_1.3844_gt_1.1500;block_median_ratio_1.3069_gt_1.1000;drift_0.0486_gt_0.0300;severe_block_median_ratio_1.3069_gt_1.2500
lsperf	bidi	syscall	1	throughput_gbps	discovery	30	6	7.844139	7.394186	8.432781	0.132404	6.319463	9.117111	1.442703	9.809272	10.727757	insufficient_order_stat_support	0.136451	1.509392	-0.088762	0.087132	0	not_ready_high_variance	p50_ci_width_0.1324_gt_0.0300;p80_p20_1.4427_gt_1.1500;block_median_ratio_1.5094_gt_1.1000;drift_-0.0888_gt_0.0300;severe_block_median_ratio_1.5094_gt_1.2500;severe_drift_-0.0888_gt_0.0800
lsperf	bidi	syscall	1	throughput_gbps	combined	30	6	7.844139	7.394186	8.432781	0.132404	6.319463	9.117111	1.442703	9.809272	10.727757	insufficient_order_stat_support	0.136451	1.509392	-0.088762	0.087132	0	not_ready_high_variance	p50_ci_width_0.1324_gt_0.0300;p80_p20_1.4427_gt_1.1500;block_median_ratio_1.5094_gt_1.1000;drift_-0.0888_gt_0.0300;severe_block_median_ratio_1.5094_gt_1.2500;severe_drift_-0.0888_gt_0.0800
lsperf	close_reset_cleanup	iouring	1	streams_per_second	discovery	20	4	58657.609250	56503.182415	58990.857684	0.042410	56458.884684	59202.428222	1.048594	59553.386618	59931.198242	insufficient_order_stat_support	0.015588	1.044373	-0.021225	0.040345	0	ready	-
lsperf	close_reset_cleanup	iouring	1	streams_per_second	combined	20	4	58657.609250	56503.182415	58990.857684	0.042410	56458.884684	59202.428222	1.048594	59553.386618	59931.198242	insufficient_order_stat_support	0.015588	1.044373	-0.021225	0.040345	0	ready	-
lsperf	close_reset_cleanup	iouring	2	streams_per_second	discovery	20	4	59125.063002	58671.507743	59702.053129	0.017430	58132.251935	59941.945700	1.031131	61892.101658	70535.142932	insufficient_order_stat_support	0.012431	1.035187	-0.013995	0.467587	0	ready	-
lsperf	close_reset_cleanup	iouring	2	streams_per_second	combined	20	4	59125.063002	58671.507743	59702.053129	0.017430	58132.251935	59941.945700	1.031131	61892.101658	70535.142932	insufficient_order_stat_support	0.012431	1.035187	-0.013995	0.467587	0	ready	-
lsperf	close_reset_cleanup	iouring	3	streams_per_second	discovery	35	7	60262.000818	59863.263887	60488.322702	0.010372	59701.794759	61256.675598	1.026044	68796.014409	69576.451556	insufficient_order_stat_support	0.007528	1.026184	-0.004835	0.060229	5	not_ready_high_variance	outliers_5;severe_outlier_blocks_4_gte_2
lsperf	close_reset_cleanup	iouring	3	streams_per_second	combined	35	7	60262.000818	59863.263887	60488.322702	0.010372	59701.794759	61256.675598	1.026044	68796.014409	69576.451556	insufficient_order_stat_support	0.007528	1.026184	-0.004835	0.060229	5	not_ready_high_variance	outliers_5;severe_outlier_blocks_4_gte_2
lsperf	close_reset_cleanup	syscall	1	streams_per_second	discovery	40	8	188384.980532	188191.654013	188634.692064	0.002352	187490.769667	189013.018270	1.008119	189681.940431	206552.920204	insufficient_order_stat_support	0.003457	1.004756	-0.000429	-0.028409	1	not_ready_high_variance	outliers_1;persistent_outliers_1
lsperf	close_reset_cleanup	syscall	1	streams_per_second	combined	40	8	188384.980532	188191.654013	188634.692064	0.002352	187490.769667	189013.018270	1.008119	189681.940431	206552.920204	insufficient_order_stat_support	0.003457	1.004756	-0.000429	-0.028409	1	not_ready_high_variance	outliers_1;persistent_outliers_1
lsperf	connect	iouring	1	connections_per_second	discovery	40	8	1525.777632	1517.372368	1534.288274	0.011087	1504.370311	1552.743282	1.032155	1566.846162	1723.857905	insufficient_order_stat_support	0.012261	1.023701	-0.003321	-0.114337	1	not_ready_high_variance	outliers_1;persistent_outliers_1
lsperf	connect	iouring	1	connections_per_second	combined	40	8	1525.777632	1517.372368	1534.288274	0.011087	1504.370311	1552.743282	1.032155	1566.846162	1723.857905	insufficient_order_stat_support	0.012261	1.023701	-0.003321	-0.114337	1	not_ready_high_variance	outliers_1;persistent_outliers_1
lsperf	connect	syscall	1	connections_per_second	discovery	25	5	1321.903276	1313.278692	1330.056075	0.012692	1300.551935	1343.357457	1.032913	1356.388034	1454.992541	insufficient_order_stat_support	0.013403	1.019939	0.007493	-0.222130	0	ready	-
lsperf	connect	syscall	1	connections_per_second	combined	25	5	1321.903276	1313.278692	1330.056075	0.012692	1300.551935	1343.357457	1.032913	1356.388034	1454.992541	insufficient_order_stat_support	0.013403	1.019939	0.007493	-0.222130	0	ready	-
lsperf	connect	syscall	2	connections_per_second	discovery	20	4	2416.783179	2386.071080	2455.312335	0.028650	2358.727251	2463.417497	1.044384	2496.138289	2713.061517	insufficient_order_stat_support	0.015942	1.033844	-0.017874	0.116820	0	ready	-
lsperf	connect	syscall	2	connections_per_second	combined	20	4	2416.783179	2386.071080	2455.312335	0.028650	2358.727251	2463.417497	1.044384	2496.138289	2713.061517	insufficient_order_stat_support	0.015942	1.033844	-0.017874	0.116820	0	ready	-
lsperf	connect	syscall	3	connections_per_second	discovery	30	6	3311.241687	3239.237036	3545.386861	0.092458	3170.459836	3588.003207	1.131698	3674.960016	4100.518603	insufficient_order_stat_support	0.062171	1.181261	-0.094481	0.362487	0	not_ready_high_variance	p50_ci_width_0.0925_gt_0.0500;block_median_ratio_1.1813_gt_1.1000;drift_-0.0945_gt_0.0300;severe_drift_-0.0945_gt_0.0800
lsperf	connect	syscall	3	connections_per_second	combined	30	6	3311.241687	3239.237036	3545.386861	0.092458	3170.459836	3588.003207	1.131698	3674.960016	4100.518603	insufficient_order_stat_support	0.062171	1.181261	-0.094481	0.362487	0	not_ready_high_variance	p50_ci_width_0.0925_gt_0.0500;block_median_ratio_1.1813_gt_1.1000;drift_-0.0945_gt_0.0300;severe_drift_-0.0945_gt_0.0800
lsperf	download	iouring	1	throughput_gbps	discovery	30	6	5.860761	5.772057	5.898423	0.021561	5.750713	6.599835	1.147655	8.525677	8.863228	insufficient_order_stat_support	0.017086	1.050260	-0.010817	0.109500	6	not_ready_high_variance	outliers_6;severe_outlier_blocks_4_gte_2
lsperf	download	iouring	1	throughput_gbps	combined	30	6	5.860761	5.772057	5.898423	0.021561	5.750713	6.599835	1.147655	8.525677	8.863228	insufficient_order_stat_support	0.017086	1.050260	-0.010817	0.109500	6	not_ready_high_variance	outliers_6;severe_outlier_blocks_4_gte_2
lsperf	download	syscall	1	throughput_gbps	discovery	25	5	6.094626	6.044298	6.212869	0.027659	5.811220	6.388720	1.099377	6.481512	6.702241	insufficient_order_stat_support	0.044940	1.092661	-0.023704	0.020597	0	ready	-
lsperf	download	syscall	1	throughput_gbps	combined	25	5	6.094626	6.044298	6.212869	0.027659	5.811220	6.388720	1.099377	6.481512	6.702241	insufficient_order_stat_support	0.044940	1.092661	-0.023704	0.020597	0	ready	-
lsperf	download	syscall	2	throughput_gbps	discovery	30	6	7.317899	7.172760	7.368223	0.026710	7.045474	7.679177	1.089945	7.913253	8.151753	insufficient_order_stat_support	0.031249	1.037360	0.007206	-0.070711	0	ready	-
lsperf	download	syscall	2	throughput_gbps	combined	30	6	7.317899	7.172760	7.368223	0.026710	7.045474	7.679177	1.089945	7.913253	8.151753	insufficient_order_stat_support	0.031249	1.037360	0.007206	-0.070711	0	ready	-
lsperf	download	syscall	3	throughput_gbps	discovery	35	7	7.465902	7.363031	7.582757	0.029431	7.090260	7.766119	1.095322	8.132258	8.592541	insufficient_order_stat_support	0.029113	1.081526	0.026374	-0.075314	0	ready	-
lsperf	download	syscall	3	throughput_gbps	combined	35	7	7.465902	7.363031	7.582757	0.029431	7.090260	7.766119	1.095322	8.132258	8.592541	insufficient_order_stat_support	0.029113	1.081526	0.026374	-0.075314	0	ready	-
