binary	scenario	network	metric	selected_threads	best_threads	boundary_threads	selection_probability_within_tolerance	best_p50	selected_p50	selected_vs_best_ratio	selected_vs_best_ci95_low	selected_vs_best_ci95_high	plateau_sentinel_count	edge_status	decision_status	reason
lsperf	bidi	iouring	throughput_gbps				0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	not_ready	not_ready	no_ready_rows;t1:p50_ci_width_0.0767_gt_0.0300;p80_p20_1.3844_gt_1.1500;block_median_ratio_1.3069_gt_1.1000;drift_0.0486_gt_0.0300;severe_block_median_ratio_1.3069_gt_1.2500
lsperf	bidi	syscall	throughput_gbps				0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	not_ready	not_ready	no_ready_rows;t1:p50_ci_width_0.1324_gt_0.0300;p80_p20_1.4427_gt_1.1500;block_median_ratio_1.5094_gt_1.1000;drift_-0.0888_gt_0.0300;severe_block_median_ratio_1.5094_gt_1.2500;severe_drift_-0.0888_gt_0.0800
lsperf	close_reset_cleanup	iouring	streams_per_second	2	2	3	1.000000	59125.063002	59125.063002	1.000000	1.000000	1.000000	0	not_ready	not_ready	sentinels_0_lt_2;t3:outliers_5;severe_outlier_blocks_4_gte_2
lsperf	close_reset_cleanup	syscall	streams_per_second				0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	not_ready	not_ready	no_ready_rows;t1:outliers_1;persistent_outliers_1
lsperf	connect	iouring	connections_per_second				0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	not_ready	not_ready	no_ready_rows;t1:outliers_1;persistent_outliers_1
lsperf	connect	syscall	connections_per_second	2	2	3	1.000000	2416.783179	2416.783179	1.000000	1.000000	1.000000	0	not_ready	not_ready	sentinels_0_lt_2;t3:p50_ci_width_0.0925_gt_0.0500;block_median_ratio_1.1813_gt_1.1000;drift_-0.0945_gt_0.0300;severe_drift_-0.0945_gt_0.0800
lsperf	download	iouring	throughput_gbps				0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	not_ready	not_ready	no_ready_rows;t1:outliers_6;severe_outlier_blocks_4_gte_2
lsperf	download	syscall	throughput_gbps	3	3	4	1.000000	7.465902	7.465902	1.000000	1.000000	1.000000	0	not_ready	not_ready	sentinels_0_lt_2;t4:p50_ci_width_0.0600_gt_0.0300;block_median_ratio_1.1368_gt_1.1000;persistent_block_median_ratio_recent_1.1217_gt_1.1000
lsperf	flow_control	iouring	throughput_gbps				0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	not_ready	not_ready	no_ready_rows;t1:p80_p20_1.2039_gt_1.1500;block_median_ratio_1.1957_gt_1.1000;outliers_1;persistent_block_median_ratio_recent_1.1948_gt_1.1000;persistent_p80_p20_recent_1.2285_gt_1.1500;persistent_outliers_1
lsperf	flow_control	syscall	throughput_gbps	1	1	2	1.000000	5.648001	5.648001	1.000000	1.000000	1.000000	0	not_ready	not_ready	sentinels_0_lt_2;t2:p50_ci_width_0.0770_gt_0.0500;p80_p20_1.2263_gt_1.1500;block_median_ratio_1.2156_gt_1.1000;drift_0.0673_gt_0.0300;outliers_2;severe_outlier_blocks_2_gte_2
