binary	scenario	network	path_profile	tier	publication_eligible	adapter_features	congestion_controller	metric	client_threads	curve_role	phase	samples	blocks	p50	p90	p99	p99_status	p50_ci95_low	p50_ci95_high	p50_ci95_relative_width	p20	p80	p20_p80_ratio	convergence_status	reason
lsperf	connect	iouring	loopback	publication	1	cc=cubic|pacing=on|spin=on|ql_bits=2|ecn=off|pmtud=off|send_batch=50|udp_gso=common_cpp|udp_gro=on	cubic	connections_per_second	1	baseline_1c1s+pre_saturation	discovery	20	2	1684.651847	1583.601299	1315.601428	insufficient_order_stat_support	1675.528651	1702.288449	0.015884	1606.878816	1764.996000	1.098400	converged	
lsperf	connect	iouring	loopback	publication	1	cc=cubic|pacing=on|spin=on|ql_bits=2|ecn=off|pmtud=off|send_batch=50|udp_gso=common_cpp|udp_gro=on	cubic	connections_per_second	1	baseline_1c1s+pre_saturation	combined	20	2	1684.651847	1583.601299	1315.601428	insufficient_order_stat_support	1675.528651	1702.288449	0.015884	1606.878816	1764.996000	1.098400	converged	
lsperf	connect	iouring	loopback	publication	1	cc=cubic|pacing=on|spin=on|ql_bits=2|ecn=off|pmtud=off|send_batch=50|udp_gso=common_cpp|udp_gro=on	cubic	connections_per_second	2	pre_saturation	discovery	20	2	3023.081566	2710.620667	2223.294525	insufficient_order_stat_support	2936.942737	3082.352706	0.048100	2771.864622	3197.865587	1.153688	converged	p80_p20_1.1537_gt_1.1500
lsperf	connect	iouring	loopback	publication	1	cc=cubic|pacing=on|spin=on|ql_bits=2|ecn=off|pmtud=off|send_batch=50|udp_gso=common_cpp|udp_gro=on	cubic	connections_per_second	2	pre_saturation	combined	20	2	3023.081566	2710.620667	2223.294525	insufficient_order_stat_support	2936.942737	3082.352706	0.048100	2771.864622	3197.865587	1.153688	converged	p80_p20_1.1537_gt_1.1500
lsperf	connect	iouring	loopback	publication	1	cc=cubic|pacing=on|spin=on|ql_bits=2|ecn=off|pmtud=off|send_batch=50|udp_gso=common_cpp|udp_gro=on	cubic	connections_per_second	3	pre_saturation	discovery	20	2	4170.492632	3663.519358	3480.321207	insufficient_order_stat_support	4158.077514	4230.505754	0.017367	3934.468006	4301.401347	1.093261	converged	
lsperf	connect	iouring	loopback	publication	1	cc=cubic|pacing=on|spin=on|ql_bits=2|ecn=off|pmtud=off|send_batch=50|udp_gso=common_cpp|udp_gro=on	cubic	connections_per_second	3	pre_saturation	combined	20	2	4170.492632	3663.519358	3480.321207	insufficient_order_stat_support	4158.077514	4230.505754	0.017367	3934.468006	4301.401347	1.093261	converged	
lsperf	connect	iouring	loopback	publication	1	cc=cubic|pacing=on|spin=on|ql_bits=2|ecn=off|pmtud=off|send_batch=50|udp_gso=common_cpp|udp_gro=on	cubic	connections_per_second	4	pre_saturation	discovery	20	2	5000.443331	4473.564262	4259.679163	insufficient_order_stat_support	4827.693528	5040.249025	0.042507	4654.133759	5229.636239	1.123654	converged	
lsperf	connect	iouring	loopback	publication	1	cc=cubic|pacing=on|spin=on|ql_bits=2|ecn=off|pmtud=off|send_batch=50|udp_gso=common_cpp|udp_gro=on	cubic	connections_per_second	4	pre_saturation	combined	20	2	5000.443331	4473.564262	4259.679163	insufficient_order_stat_support	4827.693528	5040.249025	0.042507	4654.133759	5229.636239	1.123654	converged	
lsperf	connect	iouring	loopback	publication	1	cc=cubic|pacing=on|spin=on|ql_bits=2|ecn=off|pmtud=off|send_batch=50|udp_gso=common_cpp|udp_gro=on	cubic	connections_per_second	5	pre_saturation	discovery	20	2	5469.442095	4988.611790	4764.213356	insufficient_order_stat_support	5241.354965	5546.763055	0.055839	5088.133732	5648.031545	1.110040	converged	p50_ci_width_0.0558_gt_0.0500
lsperf	connect	iouring	loopback	publication	1	cc=cubic|pacing=on|spin=on|ql_bits=2|ecn=off|pmtud=off|send_batch=50|udp_gso=common_cpp|udp_gro=on	cubic	connections_per_second	5	pre_saturation	combined	20	2	5469.442095	4988.611790	4764.213356	insufficient_order_stat_support	5241.354965	5546.763055	0.055839	5088.133732	5648.031545	1.110040	converged	p50_ci_width_0.0558_gt_0.0500
