binary	scenario	network	path_profile	tier	publication_eligible	adapter_features	congestion_controller	publication_status	metric	selected_threads	best_threads	boundary_threads	discovery_p50	confirm_p50	combined_p50	combined_p50_ci95_low	combined_p50_ci95_high	combined_p50_ci95_relative_width	p90	p99	p99_status	selection_probability_within_tolerance	selected_vs_best_ratio	edge_status	reason
lsperf	connect	iouring	loopback	publication	1	cc=cubic|pacing=on|spin=on|ql_bits=2|ecn=off|pmtud=off|send_batch=50|udp_gso=common_cpp|udp_gro=on	cubic	converged	connections_per_second	11	11	11	7701.480742		7701.480742	7608.203641	7821.315665	0.027672	7199.486464	6899.261140	insufficient_order_stat_support	1.000000	1.000000	ok	incremental_improvement_0.99pct_le_1.00pct
lsperf	connect	syscall	loopback	publication	1	cc=cubic|pacing=on|spin=on|ql_bits=2|ecn=off|pmtud=off|send_batch=50|udp_gso=common_cpp|udp_gro=on	cubic	converged	connections_per_second	5	5	6	3526.067598		3526.067598	3509.756561	3526.067598	0.004626	3072.410420	2841.156134	insufficient_order_stat_support	1.000000	1.000000	ok	incremental_improvement_-0.83pct_le_1.00pct
lsperf	download	iouring	loopback	publication	1	cc=cubic|pacing=on|spin=on|ql_bits=2|ecn=off|pmtud=off|send_batch=50|udp_gso=common_cpp|udp_gro=on	cubic	converged	throughput_gbps	1	1	2	11.391506		11.391506	11.157526	11.766976	0.053500	10.850342	10.098652	insufficient_order_stat_support	1.000000	1.000000	ok	incremental_improvement_-62.60pct_le_1.00pct
lsperf	download	syscall	loopback	publication	1	cc=cubic|pacing=on|spin=on|ql_bits=2|ecn=off|pmtud=off|send_batch=50|udp_gso=common_cpp|udp_gro=on	cubic	converged	throughput_gbps	1	1	2	11.789299		11.789299	11.757616	11.789299	0.002687	10.797469	10.715957	insufficient_order_stat_support	1.000000	1.000000	ok	incremental_improvement_-56.91pct_le_1.00pct
lsperf	upload	iouring	loopback	publication	1	cc=cubic|pacing=on|spin=on|ql_bits=2|ecn=off|pmtud=off|send_batch=50|udp_gso=common_cpp|udp_gro=on	cubic	converged	throughput_gbps	5	5	6	20.705222		20.705222	20.535010	20.894672	0.017371	17.672635	9.238581	insufficient_order_stat_support	1.000000	1.000000	ok	incremental_improvement_-4.05pct_le_1.00pct
lsperf	upload	syscall	loopback	publication	1	cc=cubic|pacing=on|spin=on|ql_bits=2|ecn=off|pmtud=off|send_batch=50|udp_gso=common_cpp|udp_gro=on	cubic	converged	throughput_gbps	5	5	6	23.329985		23.329985	22.914583	23.745874	0.035632	20.795250	19.884833	insufficient_order_stat_support	1.000000	1.000000	ok	incremental_improvement_-10.24pct_le_1.00pct
mvfstperf	connect	iouring	loopback	publication	1	cc=cubic|cpp_networkhub=on|socket=quic_async_udp_adapter|folly_eventbase=manual|udp_gso=common_cpp|udp_gro=on|runtime=none|pmtud=off|pacing=on	cubic	converged	connections_per_second	6	6	7	839.253156		839.253156	805.424876	855.452110	0.059609	736.543080	698.467596	insufficient_order_stat_support	1.000000	1.000000	ok	incremental_improvement_-1.17pct_le_1.00pct
mvfstperf	connect	syscall	loopback	publication	1	cc=cubic|cpp_networkhub=on|socket=quic_async_udp_adapter|folly_eventbase=manual|udp_gso=common_cpp|udp_gro=on|runtime=none|pmtud=off|pacing=on	cubic	converged	connections_per_second	8	8	9	858.391124		858.391124	851.159061	859.451227	0.009660	791.947389	732.302596	insufficient_order_stat_support	1.000000	1.000000	ok	incremental_improvement_-3.87pct_le_1.00pct
mvfstperf	download	iouring	loopback	publication	1	cc=cubic|cpp_networkhub=on|socket=quic_async_udp_adapter|folly_eventbase=manual|udp_gso=common_cpp|udp_gro=on|runtime=none|pmtud=off|pacing=on	cubic	converged	throughput_gbps	1	1	2	6.630543		6.630543	6.560128	6.651972	0.013852	6.303168	6.055607	insufficient_order_stat_support	1.000000	1.000000	ok	incremental_improvement_-6.13pct_le_1.00pct
mvfstperf	download	syscall	loopback	publication	1	cc=cubic|cpp_networkhub=on|socket=quic_async_udp_adapter|folly_eventbase=manual|udp_gso=common_cpp|udp_gro=on|runtime=none|pmtud=off|pacing=on	cubic	converged	throughput_gbps	1	1	2	6.460152		6.460152	6.191055	6.482487	0.045112	5.983877	5.686096	insufficient_order_stat_support	1.000000	1.000000	ok	incremental_improvement_-3.32pct_le_1.00pct
