binary	scenario	network	path_profile	tier	publication_eligible	adapter_features	congestion_controller	metric	client_threads	publication_role	discovery_status	confirm_status	combined_status	combined_samples	combined_p50	combined_p50_ci95_low	combined_p50_ci95_high	combined_p50_ci95_relative_width	combined_p20_p80_ratio	publication_status	reason
lsperf	connect	iouring	loopback	publication	1	cc=cubic|pacing=on|spin=on|ql_bits=2|ecn=off|pmtud=off|send_batch=50|udp_gso=common_cpp|udp_gro=on	cubic	connections_per_second	11	selected_saturation+plateau_sentinel	converged	converged	converged	20	7701.480742	7608.203641	7821.315665	0.027672	1.057058	converged	confirm_disabled
lsperf	connect	syscall	loopback	publication	1	cc=cubic|pacing=on|spin=on|ql_bits=2|ecn=off|pmtud=off|send_batch=50|udp_gso=common_cpp|udp_gro=on	cubic	connections_per_second	5	selected_saturation	converged	converged	converged	20	3526.067598	3509.756561	3526.067598	0.004626	1.217367	converged	p80_p20_1.2174_gt_1.1500;confirm_disabled;p80_p20_1.2174_gt_1.1500
lsperf	connect	syscall	loopback	publication	1	cc=cubic|pacing=on|spin=on|ql_bits=2|ecn=off|pmtud=off|send_batch=50|udp_gso=common_cpp|udp_gro=on	cubic	connections_per_second	6	plateau_sentinel+post_selected	converged	converged	converged	20	3496.812429	3476.692536	3562.475662	0.024532	1.158424	converged	p80_p20_1.1584_gt_1.1500;confirm_disabled;p80_p20_1.1584_gt_1.1500
lsperf	download	iouring	loopback	publication	1	cc=cubic|pacing=on|spin=on|ql_bits=2|ecn=off|pmtud=off|send_batch=50|udp_gso=common_cpp|udp_gro=on	cubic	throughput_gbps	1	baseline_1c1s+selected_saturation	converged	converged	converged	20	11.391506	11.157526	11.766976	0.053500	1.074733	converged	p50_ci_width_0.0535_gt_0.0300;confirm_disabled;p50_ci_width_0.0535_gt_0.0300
lsperf	download	iouring	loopback	publication	1	cc=cubic|pacing=on|spin=on|ql_bits=2|ecn=off|pmtud=off|send_batch=50|udp_gso=common_cpp|udp_gro=on	cubic	throughput_gbps	2	plateau_sentinel+post_selected	converged	converged	converged	20	4.260130	4.166724	4.260130	0.021926	1.211106	converged	p80_p20_1.2111_gt_1.1500;confirm_disabled;p80_p20_1.2111_gt_1.1500
lsperf	download	syscall	loopback	publication	1	cc=cubic|pacing=on|spin=on|ql_bits=2|ecn=off|pmtud=off|send_batch=50|udp_gso=common_cpp|udp_gro=on	cubic	throughput_gbps	1	baseline_1c1s+selected_saturation	converged	converged	converged	20	11.789299	11.757616	11.789299	0.002687	1.119537	converged	confirm_disabled
lsperf	download	syscall	loopback	publication	1	cc=cubic|pacing=on|spin=on|ql_bits=2|ecn=off|pmtud=off|send_batch=50|udp_gso=common_cpp|udp_gro=on	cubic	throughput_gbps	2	plateau_sentinel+post_selected	converged	converged	converged	20	5.079757	4.996656	5.228765	0.045693	1.161192	converged	p50_ci_width_0.0457_gt_0.0300;p80_p20_1.1612_gt_1.1500;confirm_disabled;p50_ci_width_0.0457_gt_0.0300;p80_p20_1.1612_gt_1.1500
lsperf	upload	iouring	loopback	publication	1	cc=cubic|pacing=on|spin=on|ql_bits=2|ecn=off|pmtud=off|send_batch=50|udp_gso=common_cpp|udp_gro=on	cubic	throughput_gbps	5	selected_saturation	converged	converged	converged	20	20.705222	20.535010	20.894672	0.017371	1.097494	converged	outliers_2;confirm_disabled;outliers_2
lsperf	upload	iouring	loopback	publication	1	cc=cubic|pacing=on|spin=on|ql_bits=2|ecn=off|pmtud=off|send_batch=50|udp_gso=common_cpp|udp_gro=on	cubic	throughput_gbps	6	plateau_sentinel+post_selected	converged	converged	converged	20	19.866331	19.602335	20.167731	0.028460	1.852898	converged	p80_p20_1.8529_gt_1.1500;confirm_disabled;p80_p20_1.8529_gt_1.1500
lsperf	upload	syscall	loopback	publication	1	cc=cubic|pacing=on|spin=on|ql_bits=2|ecn=off|pmtud=off|send_batch=50|udp_gso=common_cpp|udp_gro=on	cubic	throughput_gbps	5	selected_saturation	converged	converged	converged	20	23.329985	22.914583	23.745874	0.035632	1.133644	converged	p50_ci_width_0.0356_gt_0.0300;confirm_disabled;p50_ci_width_0.0356_gt_0.0300
