binary	scenario	network	path_profile	metric	capacity_index	curve_efficiency	client_count_efficiency	score	selected_threads	combined_p50
lsperf	connect	iouring	loopback	connections_per_second	0.772582	0.726827	0.454545	71.343798	11	7701.480742
mvfstperf	connect	iouring	loopback	connections_per_second	0.084191	0.751855	0.833333	36.347798	6	839.253156
neqoperf	connect	iouring	loopback	connections_per_second	0.078637	0.770181	1.000000	38.972762	5	783.894290
ngtcp2perf	connect	iouring	loopback	connections_per_second	1.000000	0.735284	0.277778	82.548762	18	9968.492186
noqperf	connect	iouring	loopback	connections_per_second	0.620943	0.716870	0.500000	62.678318	10	6189.861511
picoperf	connect	iouring	loopback	connections_per_second	0.435218	0.733828	0.500000	51.958752	10	4338.462922
quicheperf	connect	iouring	loopback	connections_per_second	0.580942	0.724792	0.416667	59.226302	12	5791.114261
quiczigperf	connect	iouring	loopback	connections_per_second	0.381103	0.772577	0.454545	48.998792	11	3799.021948
quinnperf	connect	iouring	loopback	connections_per_second	0.718036	0.761515	0.357143	67.477150	14	7157.732729
s2nperf	connect	iouring	loopback	connections_per_second	0.567434	0.715574	0.454545	58.753543	11	5656.456478
tquicperf	connect	iouring	loopback	connections_per_second	0.724307	0.703007	0.416667	67.283587	12	7220.246114
xquicperf	connect	iouring	loopback	connections_per_second	0.886135	0.724222	0.294118	75.685409	17	8833.428586
lsperf	connect	syscall	loopback	connections_per_second	0.977641	0.727992	1.000000	91.858263	5	3526.067598
mvfstperf	connect	syscall	loopback	connections_per_second	0.237998	0.753503	0.625000	42.492474	8	858.391124
neqoperf	connect	syscall	loopback	connections_per_second	0.280129	0.743551	0.454545	42.214734	11	1010.345591
ngtcp2perf	connect	syscall	loopback	connections_per_second	0.833242	0.787572	0.714286	80.398135	7	3005.263133
noqperf	connect	syscall	loopback	connections_per_second	0.856984	0.812229	0.714286	82.439031	7	3090.890761
picoperf	connect	syscall	loopback	connections_per_second	0.609935	0.789061	0.714286	67.036892	7	2199.857603
quicheperf	connect	syscall	loopback	connections_per_second	0.675588	0.806014	0.625000	70.060632	8	2436.649213
quiczigperf	connect	syscall	loopback	connections_per_second	0.643287	0.807077	0.833333	71.274164	6	2320.150826
quinnperf	connect	syscall	loopback	connections_per_second	0.903046	0.815742	0.714286	85.290615	7	3257.025843
s2nperf	connect	syscall	loopback	connections_per_second	0.784015	0.785434	0.714286	77.391047	7	2827.714947
tquicperf	connect	syscall	loopback	connections_per_second	0.821073	0.767251	0.555556	76.778970	9	2961.370148
xquicperf	connect	syscall	loopback	connections_per_second	1.000000	0.739436	0.714286	89.200183	7	3606.709152
lsperf	download	iouring	loopback	throughput_gbps	0.683188	1.000000	1.000000	80.991282	1	11.391506
mvfstperf	download	iouring	loopback	throughput_gbps	0.397657	1.000000	1.000000	63.859397	1	6.630543
neqoperf	download	iouring	loopback	throughput_gbps	0.244961	1.000000	1.000000	54.697660	1	4.084490
ngtcp2perf	download	iouring	loopback	throughput_gbps	1.000000	0.969135	0.500000	91.728369	2	16.674042
