rank	binary	score_median	score_ci95_low	score_ci95_high	rank_low	rank_high	rank_status
1	ngtcp2perf	87.692319	87.307918	87.954932	1	1	stable
2	lsperf	80.170431	79.487864	80.717374	2	2	stable
3	quiczigperf	66.015751	65.435628	66.595174	3	3	stable
4	quicheperf	61.407873	60.873745	61.830995	4	4	stable
5	picoperf	59.276029	58.799860	59.799823	5	6	band
6	tquicperf	59.110712	58.665669	59.554378	5	7	band
7	quinnperf	58.549584	58.161113	58.925892	6	7	band
8	noqperf	55.590509	55.299550	55.856549	8	8	stable
9	xquicperf	53.893654	53.473800	54.208549	9	9	stable
10	s2nperf	52.255757	51.835744	52.567489	10	10	stable
11	neqoperf	48.600362	48.335794	48.856533	11	11	stable
12	mvfstperf	46.904284	46.503491	47.149576	12	12	stable
