binary	score_median	score_ci95_low	score_ci95_high	rank_low	rank_high	rank_status
ngtcp2perf	87.692319	87.307918	87.954932	1	1	stable
lsperf	80.170431	79.487864	80.717374	2	2	stable
quiczigperf	66.015751	65.435628	66.595174	3	3	stable
quicheperf	61.407873	60.873745	61.830995	4	4	stable
picoperf	59.276029	58.799860	59.799823	5	6	band
tquicperf	59.110712	58.665669	59.554378	5	7	band
quinnperf	58.549584	58.161113	58.925892	6	7	band
noqperf	55.590509	55.299550	55.856549	8	8	stable
xquicperf	53.893654	53.473800	54.208549	9	9	stable
s2nperf	52.255757	51.835744	52.567489	10	10	stable
neqoperf	48.600362	48.335794	48.856533	11	11	stable
mvfstperf	46.904284	46.503491	47.149576	12	12	stable
