binary	scenario	network	path_profile	client_threads	metric	phase	samples	blocks	median	p50_ci95_low	p50_ci95_high	p50_ci95_relative_width	p20	p80	p20_p80_ratio	p90	p99	p99_status	mad_relative	block_median_ratio	drift_relative	lag1_autocorr	outlier_count	convergence_status	reason
lsperf	connect	iouring	loopback	1	connections_per_second	discovery	20	2	1684.651847	1675.528651	1702.288449	0.015884	1606.878816	1764.996000	1.098400	1583.601299	1315.601428	insufficient_order_stat_support	0.036346	1.015971	0.000000	0.118911	0	converged	
lsperf	connect	iouring	loopback	1	connections_per_second	combined	20	2	1684.651847	1675.528651	1702.288449	0.015884	1606.878816	1764.996000	1.098400	1583.601299	1315.601428	insufficient_order_stat_support	0.036346	1.015971	0.000000	0.118911	0	converged	
lsperf	connect	iouring	loopback	2	connections_per_second	discovery	20	2	3023.081566	2936.942737	3082.352706	0.048100	2771.864622	3197.865587	1.153688	2710.620667	2223.294525	insufficient_order_stat_support	0.058937	1.049511	0.000000	-0.039590	0	converged	p80_p20_1.1537_gt_1.1500
lsperf	connect	iouring	loopback	2	connections_per_second	combined	20	2	3023.081566	2936.942737	3082.352706	0.048100	2771.864622	3197.865587	1.153688	2710.620667	2223.294525	insufficient_order_stat_support	0.058937	1.049511	0.000000	-0.039590	0	converged	p80_p20_1.1537_gt_1.1500
lsperf	connect	iouring	loopback	3	connections_per_second	discovery	20	2	4170.492632	4158.077514	4230.505754	0.017367	3934.468006	4301.401347	1.093261	3663.519358	3480.321207	insufficient_order_stat_support	0.033542	1.017419	0.000000	0.122192	0	converged	
lsperf	connect	iouring	loopback	3	connections_per_second	combined	20	2	4170.492632	4158.077514	4230.505754	0.017367	3934.468006	4301.401347	1.093261	3663.519358	3480.321207	insufficient_order_stat_support	0.033542	1.017419	0.000000	0.122192	0	converged	
lsperf	connect	iouring	loopback	4	connections_per_second	discovery	20	2	5000.443331	4827.693528	5040.249025	0.042507	4654.133759	5229.636239	1.123654	4473.564262	4259.679163	insufficient_order_stat_support	0.049221	1.044028	0.000000	0.211931	0	converged	
lsperf	connect	iouring	loopback	4	connections_per_second	combined	20	2	5000.443331	4827.693528	5040.249025	0.042507	4654.133759	5229.636239	1.123654	4473.564262	4259.679163	insufficient_order_stat_support	0.049221	1.044028	0.000000	0.211931	0	converged	
lsperf	connect	iouring	loopback	5	connections_per_second	discovery	20	2	5469.442095	5241.354965	5546.763055	0.055839	5088.133732	5648.031545	1.110040	4988.611790	4764.213356	insufficient_order_stat_support	0.039740	1.058269	0.000000	-0.338254	0	converged	p50_ci_width_0.0558_gt_0.0500
lsperf	connect	iouring	loopback	5	connections_per_second	combined	20	2	5469.442095	5241.354965	5546.763055	0.055839	5088.133732	5648.031545	1.110040	4988.611790	4764.213356	insufficient_order_stat_support	0.039740	1.058269	0.000000	-0.338254	0	converged	p50_ci_width_0.0558_gt_0.0500
lsperf	connect	iouring	loopback	6	connections_per_second	discovery	20	2	6179.266391	6089.837819	6223.122921	0.021570	5855.372480	6316.199762	1.078702	5339.706615	5034.236875	insufficient_order_stat_support	0.022861	1.021886	0.000000	0.385617	0	converged	
lsperf	connect	iouring	loopback	6	connections_per_second	combined	20	2	6179.266391	6089.837819	6223.122921	0.021570	5855.372480	6316.199762	1.078702	5339.706615	5034.236875	insufficient_order_stat_support	0.022861	1.021886	0.000000	0.385617	0	converged	
lsperf	connect	iouring	loopback	7	connections_per_second	discovery	20	2	6518.562178	6480.093526	6614.125843	0.020562	6285.905920	6652.912358	1.058386	6055.100901	5709.956205	insufficient_order_stat_support	0.023085	1.020684	0.000000	-0.263068	0	converged	
lsperf	connect	iouring	loopback	7	connections_per_second	combined	20	2	6518.562178	6480.093526	6614.125843	0.020562	6285.905920	6652.912358	1.058386	6055.100901	5709.956205	insufficient_order_stat_support	0.023085	1.020684	0.000000	-0.263068	0	converged	
lsperf	connect	iouring	loopback	8	connections_per_second	discovery	20	2	6954.477769	6771.198482	6988.291171	0.031216	6624.935111	7169.835170	1.082250	6434.194038	6151.983643	insufficient_order_stat_support	0.029363	1.032061	0.000000	0.344751	0	converged	
lsperf	connect	iouring	loopback	8	connections_per_second	combined	20	2	6954.477769	6771.198482	6988.291171	0.031216	6624.935111	7169.835170	1.082250	6434.194038	6151.983643	insufficient_order_stat_support	0.029363	1.032061	0.000000	0.344751	0	converged	
lsperf	connect	iouring	loopback	9	connections_per_second	discovery	20	2	7246.018866	7246.018866	7261.589862	0.002149	6884.865017	7560.523814	1.098137	6817.118821	6480.612562	insufficient_order_stat_support	0.034171	1.002149	0.000000	-0.039904	0	converged	
lsperf	connect	iouring	loopback	9	connections_per_second	combined	20	2	7246.018866	7246.018866	7261.589862	0.002149	6884.865017	7560.523814	1.098137	6817.118821	6480.612562	insufficient_order_stat_support	0.034171	1.002149	0.000000	-0.039904	0	converged	
lsperf	connect	iouring	loopback	10	connections_per_second	discovery	20	2	7626.177421	7619.892099	7635.369768	0.002030	7460.253112	8273.851105	1.109058	7423.299530	7289.838877	insufficient_order_stat_support	0.024778	1.002031	0.000000	0.399361	0	converged	
lsperf	connect	iouring	loopback	10	connections_per_second	combined	20	2	7626.177421	7619.892099	7635.369768	0.002030	7460.253112	8273.851105	1.109058	7423.299530	7289.838877	insufficient_order_stat_support	0.024778	1.002031	0.000000	0.399361	0	converged	
lsperf	connect	iouring	loopback	11	connections_per_second	discovery	20	2	7701.480742	7608.203641	7821.315665	0.027672	7517.241435	7946.161733	1.057058	7199.486464	6899.261140	insufficient_order_stat_support	0.023268	1.028011	0.000000	-0.008065	0	converged	
lsperf	connect	iouring	loopback	11	connections_per_second	combined	20	2	7701.480742	7608.203641	7821.315665	0.027672	7517.241435	7946.161733	1.057058	7199.486464	6899.261140	insufficient_order_stat_support	0.023268	1.028011	0.000000	-0.008065	0	converged	
lsperf	connect	syscall	loopback	1	connections_per_second	discovery	20	2	1353.358929	1343.889586	1369.207930	0.018708	1325.871700	1387.340313	1.046361	1265.033411	963.808551	insufficient_order_stat_support	0.018851	1.018840	0.000000	0.014284	0	converged	
lsperf	connect	syscall	loopback	1	connections_per_second	combined	20	2	1353.358929	1343.889586	1369.207930	0.018708	1325.871700	1387.340313	1.046361	1265.033411	963.808551	insufficient_order_stat_support	0.018851	1.018840	0.000000	0.014284	0	converged	
lsperf	connect	syscall	loopback	2	connections_per_second	discovery	20	2	2000.292827	1997.987523	2000.292827	0.001152	1944.985992	2209.427329	1.135961	1894.967788	1724.328416	insufficient_order_stat_support	0.040184	1.001154	0.000000	-0.175025	0	converged	
lsperf	connect	syscall	loopback	2	connections_per_second	combined	20	2	2000.292827	1997.987523	2000.292827	0.001152	1944.985992	2209.427329	1.135961	1894.967788	1724.328416	insufficient_order_stat_support	0.040184	1.001154	0.000000	-0.175025	0	converged	
lsperf	connect	syscall	loopback	3	connections_per_second	discovery	20	2	2878.987224	2774.780855	2920.575104	0.050641	2689.881158	3041.690552	1.130790	2622.739248	2539.603798	insufficient_order_stat_support	0.060072	1.052543	0.000000	0.155992	0	converged	p50_ci_width_0.0506_gt_0.0500
lsperf	connect	syscall	loopback	3	connections_per_second	combined	20	2	2878.987224	2774.780855	2920.575104	0.050641	2689.881158	3041.690552	1.130790	2622.739248	2539.603798	insufficient_order_stat_support	0.060072	1.052543	0.000000	0.155992	0	converged	p50_ci_width_0.0506_gt_0.0500
lsperf	connect	syscall	loopback	4	connections_per_second	discovery	20	2	3076.030407	2880.094651	3229.505924	0.113592	2768.057224	3379.480827	1.220885	2511.774431	2116.449943	insufficient_order_stat_support	0.094595	1.121319	0.000000	-0.268983	0	converged	p50_ci_width_0.1136_gt_0.0500;p80_p20_1.2209_gt_1.1500;block_median_ratio_1.1213_gt_1.1000
lsperf	connect	syscall	loopback	4	connections_per_second	combined	20	2	3076.030407	2880.094651	3229.505924	0.113592	2768.057224	3379.480827	1.220885	2511.774431	2116.449943	insufficient_order_stat_support	0.094595	1.121319	0.000000	-0.268983	0	converged	p50_ci_width_0.1136_gt_0.0500;p80_p20_1.2209_gt_1.1500;block_median_ratio_1.1213_gt_1.1000
lsperf	connect	syscall	loopback	5	connections_per_second	discovery	20	2	3526.067598	3509.756561	3526.067598	0.004626	3104.765050	3779.639925	1.217367	3072.410420	2841.156134	insufficient_order_stat_support	0.081691	1.004647	0.000000	0.282677	0	converged	p80_p20_1.2174_gt_1.1500
lsperf	connect	syscall	loopback	5	connections_per_second	combined	20	2	3526.067598	3509.756561	3526.067598	0.004626	3104.765050	3779.639925	1.217367	3072.410420	2841.156134	insufficient_order_stat_support	0.081691	1.004647	0.000000	0.282677	0	converged	p80_p20_1.2174_gt_1.1500
lsperf	connect	syscall	loopback	6	connections_per_second	discovery	20	2	3496.812429	3476.692536	3562.475662	0.024532	3254.166045	3769.703041	1.158424	3081.125725	2957.436710	insufficient_order_stat_support	0.064886	1.024674	0.000000	0.050296	0	converged	p80_p20_1.1584_gt_1.1500
lsperf	connect	syscall	loopback	6	connections_per_second	combined	20	2	3496.812429	3476.692536	3562.475662	0.024532	3254.166045	3769.703041	1.158424	3081.125725	2957.436710	insufficient_order_stat_support	0.064886	1.024674	0.000000	0.050296	0	converged	p80_p20_1.1584_gt_1.1500
lsperf	download	iouring	loopback	1	throughput_gbps	discovery	20	2	11.391506	11.157526	11.766976	0.053500	10.973108	11.793162	1.074733	10.850342	10.098652	insufficient_order_stat_support	0.033136	1.054622	0.000000	-0.238416	0	converged	p50_ci_width_0.0535_gt_0.0300
lsperf	download	iouring	loopback	1	throughput_gbps	combined	20	2	11.391506	11.157526	11.766976	0.053500	10.973108	11.793162	1.074733	10.850342	10.098652	insufficient_order_stat_support	0.033136	1.054622	0.000000	-0.238416	0	converged	p50_ci_width_0.0535_gt_0.0300
lsperf	download	iouring	loopback	2	throughput_gbps	discovery	20	2	4.260130	4.166724	4.260130	0.021926	3.845106	4.656833	1.211106	3.709501	3.630964	insufficient_order_stat_support	0.083793	1.022417	0.000000	-0.138027	0	converged	p80_p20_1.2111_gt_1.1500
lsperf	download	iouring	loopback	2	throughput_gbps	combined	20	2	4.260130	4.166724	4.260130	0.021926	3.845106	4.656833	1.211106	3.709501	3.630964	insufficient_order_stat_support	0.083793	1.022417	0.000000	-0.138027	0	converged	p80_p20_1.2111_gt_1.1500
lsperf	download	syscall	loopback	1	throughput_gbps	discovery	20	2	11.789299	11.757616	11.789299	0.002687	11.144908	12.477137	1.119537	10.797469	10.715957	insufficient_order_stat_support	0.052132	1.002695	0.000000	0.036003	0	converged	
lsperf	download	syscall	loopback	1	throughput_gbps	combined	20	2	11.789299	11.757616	11.789299	0.002687	11.144908	12.477137	1.119537	10.797469	10.715957	insufficient_order_stat_support	0.052132	1.002695	0.000000	0.036003	0	converged	
lsperf	download	syscall	loopback	2	throughput_gbps	discovery	20	2	5.079757	4.996656	5.228765	0.045693	4.661164	5.412508	1.161192	4.439801	4.197539	insufficient_order_stat_support	0.063452	1.046453	0.000000	-0.030193	0	converged	p50_ci_width_0.0457_gt_0.0300;p80_p20_1.1612_gt_1.1500
lsperf	download	syscall	loopback	2	throughput_gbps	combined	20	2	5.079757	4.996656	5.228765	0.045693	4.661164	5.412508	1.161192	4.439801	4.197539	insufficient_order_stat_support	0.063452	1.046453	0.000000	-0.030193	0	converged	p50_ci_width_0.0457_gt_0.0300;p80_p20_1.1612_gt_1.1500
lsperf	upload	iouring	loopback	1	throughput_gbps	discovery	20	2	11.177566	10.778779	11.366059	0.052541	10.317306	11.876077	1.151083	10.181740	9.840070	insufficient_order_stat_support	0.053157	1.054485	0.000000	0.310508	0	converged	p50_ci_width_0.0525_gt_0.0300;p80_p20_1.1511_gt_1.1500
lsperf	upload	iouring	loopback	1	throughput_gbps	combined	20	2	11.177566	10.778779	11.366059	0.052541	10.317306	11.876077	1.151083	10.181740	9.840070	insufficient_order_stat_support	0.053157	1.054485	0.000000	0.310508	0	converged	p50_ci_width_0.0525_gt_0.0300;p80_p20_1.1511_gt_1.1500
lsperf	upload	iouring	loopback	2	throughput_gbps	discovery	20	2	16.608280	16.500772	16.653106	0.009172	15.700145	17.032841	1.084884	15.502783	14.516753	insufficient_order_stat_support	0.025263	1.009232	0.000000	0.141830	0	converged	
lsperf	upload	iouring	loopback	2	throughput_gbps	combined	20	2	16.608280	16.500772	16.653106	0.009172	15.700145	17.032841	1.084884	15.502783	14.516753	insufficient_order_stat_support	0.025263	1.009232	0.000000	0.141830	0	converged	
lsperf	upload	iouring	loopback	3	throughput_gbps	discovery	20	2	17.956197	17.630278	18.994074	0.075951	17.228109	20.023267	1.162244	16.909301	16.149956	insufficient_order_stat_support	0.052709	1.077355	0.000000	-0.071021	0	converged	p50_ci_width_0.0760_gt_0.0300;p80_p20_1.1622_gt_1.1500
lsperf	upload	iouring	loopback	3	throughput_gbps	combined	20	2	17.956197	17.630278	18.994074	0.075951	17.228109	20.023267	1.162244	16.909301	16.149956	insufficient_order_stat_support	0.052709	1.077355	0.000000	-0.071021	0	converged	p50_ci_width_0.0760_gt_0.0300;p80_p20_1.1622_gt_1.1500
lsperf	upload	iouring	loopback	4	throughput_gbps	discovery	20	2	19.446584	19.237126	19.745217	0.026127	18.583744	20.283409	1.091460	18.086656	17.859945	insufficient_order_stat_support	0.038942	1.026412	0.000000	-0.167500	0	converged	
lsperf	upload	iouring	loopback	4	throughput_gbps	combined	20	2	19.446584	19.237126	19.745217	0.026127	18.583744	20.283409	1.091460	18.086656	17.859945	insufficient_order_stat_support	0.038942	1.026412	0.000000	-0.167500	0	converged	
lsperf	upload	iouring	loopback	5	throughput_gbps	discovery	20	2	20.705222	20.535010	20.894672	0.017371	19.207053	21.079635	1.097494	17.672635	9.238581	insufficient_order_stat_support	0.029122	1.017515	0.000000	-0.113993	2	converged	outliers_2
lsperf	upload	iouring	loopback	5	throughput_gbps	combined	20	2	20.705222	20.535010	20.894672	0.017371	19.207053	21.079635	1.097494	17.672635	9.238581	insufficient_order_stat_support	0.029122	1.017515	0.000000	-0.113993	2	converged	outliers_2
lsperf	upload	iouring	loopback	6	throughput_gbps	discovery	20	2	19.866331	19.602335	20.167731	0.028460	11.285708	20.911263	1.852898	10.477606	10.397961	insufficient_order_stat_support	0.052041	1.028843	0.000000	0.103602	0	converged	p80_p20_1.8529_gt_1.1500
lsperf	upload	iouring	loopback	6	throughput_gbps	combined	20	2	19.866331	19.602335	20.167731	0.028460	11.285708	20.911263	1.852898	10.477606	10.397961	insufficient_order_stat_support	0.052041	1.028843	0.000000	0.103602	0	converged	p80_p20_1.8529_gt_1.1500
lsperf	upload	syscall	loopback	1	throughput_gbps	discovery	20	2	10.866775	10.819823	10.866775	0.004321	10.662431	11.196092	1.050051	10.559275	10.163323	insufficient_order_stat_support	0.019018	1.004340	0.000000	-0.369547	0	converged	
lsperf	upload	syscall	loopback	1	throughput_gbps	combined	20	2	10.866775	10.819823	10.866775	0.004321	10.662431	11.196092	1.050051	10.559275	10.163323	insufficient_order_stat_support	0.019018	1.004340	0.000000	-0.369547	0	converged	
lsperf	upload	syscall	loopback	2	throughput_gbps	discovery	20	2	17.997414	17.655020	19.080289	0.079193	17.324959	19.961458	1.152179	17.229044	16.239146	insufficient_order_stat_support	0.043274	1.080729	0.000000	0.519747	0	converged	p50_ci_width_0.0792_gt_0.0300;p80_p20_1.1522_gt_1.1500
lsperf	upload	syscall	loopback	2	throughput_gbps	combined	20	2	17.997414	17.655020	19.080289	0.079193	17.324959	19.961458	1.152179	17.229044	16.239146	insufficient_order_stat_support	0.043274	1.080729	0.000000	0.519747	0	converged	p50_ci_width_0.0792_gt_0.0300;p80_p20_1.1522_gt_1.1500
lsperf	upload	syscall	loopback	3	throughput_gbps	discovery	20	2	20.136122	19.550731	20.398640	0.042109	19.251704	20.709386	1.075717	19.122915	18.978786	insufficient_order_stat_support	0.033402	1.043370	0.000000	0.008068	0	converged	p50_ci_width_0.0421_gt_0.0300
lsperf	upload	syscall	loopback	3	throughput_gbps	combined	20	2	20.136122	19.550731	20.398640	0.042109	19.251704	20.709386	1.075717	19.122915	18.978786	insufficient_order_stat_support	0.033402	1.043370	0.000000	0.008068	0	converged	p50_ci_width_0.0421_gt_0.0300
lsperf	upload	syscall	loopback	4	throughput_gbps	discovery	20	2	20.767354	20.760939	20.850504	0.004313	20.325693	21.537154	1.059602	19.784878	18.899615	insufficient_order_stat_support	0.022828	1.004314	0.000000	-0.055465	0	converged	
lsperf	upload	syscall	loopback	4	throughput_gbps	combined	20	2	20.767354	20.760939	20.850504	0.004313	20.325693	21.537154	1.059602	19.784878	18.899615	insufficient_order_stat_support	0.022828	1.004314	0.000000	-0.055465	0	converged	
lsperf	upload	syscall	loopback	5	throughput_gbps	discovery	20	2	23.329985	22.914583	23.745874	0.035632	21.274235	24.117401	1.133644	20.795250	19.884833	insufficient_order_stat_support	0.036513	1.036278	0.000000	-0.050522	0	converged	p50_ci_width_0.0356_gt_0.0300
lsperf	upload	syscall	loopback	5	throughput_gbps	combined	20	2	23.329985	22.914583	23.745874	0.035632	21.274235	24.117401	1.133644	20.795250	19.884833	insufficient_order_stat_support	0.036513	1.036278	0.000000	-0.050522	0	converged	p50_ci_width_0.0356_gt_0.0300
lsperf	upload	syscall	loopback	6	throughput_gbps	discovery	20	2	20.941830	20.941830	21.193971	0.012040	20.301003	23.179051	1.141769	20.075631	19.362623	insufficient_order_stat_support	0.040581	1.012040	0.000000	-0.029141	0	converged	
lsperf	upload	syscall	loopback	6	throughput_gbps	combined	20	2	20.941830	20.941830	21.193971	0.012040	20.301003	23.179051	1.141769	20.075631	19.362623	insufficient_order_stat_support	0.040581	1.012040	0.000000	-0.029141	0	converged	
mvfstperf	connect	iouring	loopback	1	connections_per_second	discovery	20	2	333.865648	328.158189	334.648371	0.019440	326.258009	335.267410	1.027614	306.452049	282.709839	insufficient_order_stat_support	0.005797	1.019778	0.000000	0.486733	2	converged	outliers_2
mvfstperf	connect	iouring	loopback	1	connections_per_second	combined	20	2	333.865648	328.158189	334.648371	0.019440	326.258009	335.267410	1.027614	306.452049	282.709839	insufficient_order_stat_support	0.005797	1.019778	0.000000	0.486733	2	converged	outliers_2
mvfstperf	connect	iouring	loopback	2	connections_per_second	discovery	20	2	485.788612	484.528065	490.386403	0.012059	451.052365	514.034906	1.139635	448.508992	409.906835	insufficient_order_stat_support	0.054569	1.012091	0.000000	-0.399395	0	converged	
