binary	scenario	network	path_profile	metric	selected_threads	best_threads	boundary_threads	selection_probability_within_tolerance	best_p50	selected_p50	selected_vs_best_ratio	selected_vs_best_ci95_low	selected_vs_best_ci95_high	plateau_sentinel_count	edge_status	decision_status	reason
lsperf	connect	iouring	loopback	connections_per_second	11	11	11	1.000000	7701.480742	7701.480742	1.000000	1.000000	1.000000	1	ok	converged	incremental_improvement_0.99pct_le_1.00pct
lsperf	connect	syscall	loopback	connections_per_second	5	5	6	1.000000	3526.067598	3526.067598	1.000000	1.000000	1.000000	1	ok	converged	incremental_improvement_-0.83pct_le_1.00pct
lsperf	download	iouring	loopback	throughput_gbps	1	1	2	1.000000	11.391506	11.391506	1.000000	1.000000	1.000000	1	ok	converged	incremental_improvement_-62.60pct_le_1.00pct
lsperf	download	syscall	loopback	throughput_gbps	1	1	2	1.000000	11.789299	11.789299	1.000000	1.000000	1.000000	1	ok	converged	incremental_improvement_-56.91pct_le_1.00pct
lsperf	upload	iouring	loopback	throughput_gbps	5	5	6	1.000000	20.705222	20.705222	1.000000	1.000000	1.000000	1	ok	converged	incremental_improvement_-4.05pct_le_1.00pct
lsperf	upload	syscall	loopback	throughput_gbps	5	5	6	1.000000	23.329985	23.329985	1.000000	1.000000	1.000000	1	ok	converged	incremental_improvement_-10.24pct_le_1.00pct
mvfstperf	connect	iouring	loopback	connections_per_second	6	6	7	1.000000	839.253156	839.253156	1.000000	1.000000	1.000000	1	ok	converged	incremental_improvement_-1.17pct_le_1.00pct
mvfstperf	connect	syscall	loopback	connections_per_second	8	8	9	1.000000	858.391124	858.391124	1.000000	1.000000	1.000000	1	ok	converged	incremental_improvement_-3.87pct_le_1.00pct
mvfstperf	download	iouring	loopback	throughput_gbps	1	1	2	1.000000	6.630543	6.630543	1.000000	1.000000	1.000000	1	ok	converged	incremental_improvement_-6.13pct_le_1.00pct
mvfstperf	download	syscall	loopback	throughput_gbps	1	1	2	1.000000	6.460152	6.460152	1.000000	1.000000	1.000000	1	ok	converged	incremental_improvement_-3.32pct_le_1.00pct
mvfstperf	upload	iouring	loopback	throughput_gbps	14	14	15	1.000000	6.553247	6.553247	1.000000	1.000000	1.000000	1	ok	converged	incremental_improvement_-7.37pct_le_1.00pct
mvfstperf	upload	syscall	loopback	throughput_gbps	15	15	15	1.000000	6.907475	6.907475	1.000000	1.000000	1.000000	1	ok	converged	incremental_improvement_0.61pct_le_1.00pct
neqoperf	connect	iouring	loopback	connections_per_second	5	5	6	1.000000	783.894290	783.894290	1.000000	1.000000	1.000000	1	ok	converged	incremental_improvement_-2.13pct_le_1.00pct
neqoperf	connect	syscall	loopback	connections_per_second	11	11	11	1.000000	1010.345591	1010.345591	1.000000	1.000000	1.000000	1	ok	converged	incremental_improvement_0.95pct_le_1.00pct
neqoperf	download	iouring	loopback	throughput_gbps	1	1	2	1.000000	4.084490	4.084490	1.000000	1.000000	1.000000	1	ok	converged	incremental_improvement_-9.81pct_le_1.00pct
neqoperf	download	syscall	loopback	throughput_gbps	1	1	2	1.000000	4.166774	4.166774	1.000000	1.000000	1.000000	1	ok	converged	incremental_improvement_-10.88pct_le_1.00pct
neqoperf	upload	iouring	loopback	throughput_gbps	1	1	2	1.000000	3.975923	3.975923	1.000000	1.000000	1.000000	1	ok	converged	incremental_improvement_-29.94pct_le_1.00pct
neqoperf	upload	syscall	loopback	throughput_gbps	1	1	2	1.000000	4.158408	4.158408	1.000000	1.000000	1.000000	1	ok	converged	incremental_improvement_-36.88pct_le_1.00pct
ngtcp2perf	connect	iouring	loopback	connections_per_second	18	18	18	1.000000	9968.492186	9968.492186	1.000000	1.000000	1.000000	1	ok	converged	incremental_improvement_0.96pct_le_1.00pct
ngtcp2perf	connect	syscall	loopback	connections_per_second	7	7	8	1.000000	3005.263133	3005.263133	1.000000	1.000000	1.000000	1	ok	converged	incremental_improvement_-0.38pct_le_1.00pct
ngtcp2perf	download	iouring	loopback	throughput_gbps	2	2	3	1.000000	16.674042	16.674042	1.000000	1.000000	1.000000	1	ok	converged	incremental_improvement_-3.07pct_le_1.00pct
ngtcp2perf	download	syscall	loopback	throughput_gbps	1	1	2	1.000000	15.025589	15.025589	1.000000	1.000000	1.000000	1	ok	converged	incremental_improvement_-0.41pct_le_1.00pct
