binary	scenario	network	path_profile	adapter_features	congestion_controller	publication_status	metric	selected_threads	best_threads	boundary_threads	discovery_p50	confirm_p50	combined_p50	combined_p50_ci95_low	combined_p50_ci95_high	combined_p50_ci95_relative_width	p90	p99	p99_status	selection_probability_within_tolerance	selected_vs_best_ratio	edge_status	reason
lsperf	connect	iouring	loopback	cc=cubic|pacing=on|spin=on|ql_bits=2|ecn=off|pmtud=off|send_batch=50|udp_gso=common_cpp|udp_gro=on	cubic	not_ready	connections_per_second	1	1		1135.399877		1135.399877	1107.960358	1153.732570	0.040314	974.024791	880.939505	insufficient_order_stat_support	1.000000	1.000000	not_ready	no_incremental_plateau;t2:block_median_ratio_1.1691_gt_1.1000;persistent_block_median_ratio_recent_1.1381_gt_1.1000;t1:missing_confirm_stats
lsperf	connect	syscall	loopback	cc=cubic|pacing=on|spin=on|ql_bits=2|ecn=off|pmtud=off|send_batch=50|udp_gso=common_cpp|udp_gro=on	cubic	not_ready	connections_per_second	1	1		1005.385852		1005.385852	996.943372	1016.832648	0.019783	926.623593	850.402596	insufficient_order_stat_support	1.000000	1.000000	not_ready	no_incremental_plateau;t2:p50_ci_width_0.0882_gt_0.0500;p80_p20_1.1507_gt_1.1500;block_median_ratio_1.1446_gt_1.1000;drift_0.1031_gt_0.0300;severe_drift_0.1031_gt_0.0800;t1:missing_confirm_stats
lsperf	download	iouring	loopback	cc=cubic|pacing=on|spin=on|ql_bits=2|ecn=off|pmtud=off|send_batch=50|udp_gso=common_cpp|udp_gro=on	cubic	not_ready	throughput_gbps	1	1	2	10.612284	10.633135	10.626183	10.584609	10.763816	0.016865	10.505850	10.448490	insufficient_order_stat_support	1.000000	1.000000	ok	incremental_improvement_-54.48pct_le_1.00pct;t2:confirm_p50_ci_width_0.0541_gt_0.0450;confirm_median_delta_0.1967_gt_0.0450;combined_not_ready_nonstationary;p50_ci_width_0.0464_gt_0.0300;block_median_ratio_1.2190_gt_1.1000
lsperf	download	syscall	loopback	cc=cubic|pacing=on|spin=on|ql_bits=2|ecn=off|pmtud=off|send_batch=50|udp_gso=common_cpp|udp_gro=on	cubic	not_ready	throughput_gbps													0.000000	0.000000	not_ready	no_ready_rows;t1:block_median_ratio_1.1205_gt_1.1000;persistent_block_median_ratio_recent_1.1008_gt_1.1000
lsperf	upload	iouring	loopback	cc=cubic|pacing=on|spin=on|ql_bits=2|ecn=off|pmtud=off|send_batch=50|udp_gso=common_cpp|udp_gro=on	cubic	not_ready	throughput_gbps	2	2		12.605546		12.605546	12.515715	12.743145	0.018042	12.462775	12.213998	insufficient_order_stat_support	1.000000	1.000000	not_ready	no_incremental_plateau;t3:p50_ci_width_0.0395_gt_0.0300;drift_0.0404_gt_0.0300;persistent_drift_0.0404_gt_0.0300;t1:missing_confirm_stats;t2:missing_confirm_stats
lsperf	upload	syscall	loopback	cc=cubic|pacing=on|spin=on|ql_bits=2|ecn=off|pmtud=off|send_batch=50|udp_gso=common_cpp|udp_gro=on	cubic	not_ready	throughput_gbps													0.000000	0.000000	not_ready	no_ready_rows;t1:p50_ci_width_0.1060_gt_0.0300;p80_p20_1.1506_gt_1.1500;block_median_ratio_1.1458_gt_1.1000;drift_0.0896_gt_0.0300;severe_drift_0.0896_gt_0.0800
mvfstperf	connect	iouring	loopback	cc=cubic|cpp_networkhub=on|socket=quic_async_udp_adapter|folly_eventbase=manual|udp_gso=common_cpp|udp_gro=on|runtime=none|pmtud=off|pacing=on	cubic	not_ready	connections_per_second													0.000000	0.000000	not_ready	no_ready_rows;t1:p50_ci_width_0.0508_gt_0.0500;block_median_ratio_1.1362_gt_1.1000;drift_-0.0357_gt_0.0300;persistent_drift_-0.0357_gt_0.0300
mvfstperf	connect	syscall	loopback	cc=cubic|cpp_networkhub=on|socket=quic_async_udp_adapter|folly_eventbase=manual|udp_gso=common_cpp|udp_gro=on|runtime=none|pmtud=off|pacing=on	cubic	not_ready	connections_per_second													0.000000	0.000000	not_ready	no_ready_rows;t1:p50_ci_width_0.1489_gt_0.0500;block_median_ratio_1.2938_gt_1.1000;drift_0.0485_gt_0.0300;severe_block_median_ratio_1.2938_gt_1.2500
mvfstperf	download	iouring	loopback	cc=cubic|cpp_networkhub=on|socket=quic_async_udp_adapter|folly_eventbase=manual|udp_gso=common_cpp|udp_gro=on|runtime=none|pmtud=off|pacing=on	cubic	not_ready	throughput_gbps													0.000000	0.000000	not_ready	no_ready_rows;t1:p50_ci_width_0.0321_gt_0.0300;block_median_ratio_1.1099_gt_1.1000;drift_-0.0349_gt_0.0300;persistent_drift_-0.0349_gt_0.0300
mvfstperf	download	syscall	loopback	cc=cubic|cpp_networkhub=on|socket=quic_async_udp_adapter|folly_eventbase=manual|udp_gso=common_cpp|udp_gro=on|runtime=none|pmtud=off|pacing=on	cubic	not_ready	throughput_gbps													0.000000	0.000000	not_ready	no_ready_rows;t1:drift_-0.0406_gt_0.0300;persistent_drift_-0.0406_gt_0.0300
