binary	scenario	network	path_profile	adapter_features	congestion_controller	metric	client_threads	publication_role	discovery_status	confirm_status	combined_status	combined_samples	combined_p50	combined_p50_ci95_low	combined_p50_ci95_high	combined_p50_ci95_relative_width	combined_p20_p80_ratio	publication_status	reason
lsperf	connect	iouring	loopback	cc=cubic|pacing=on|spin=on|ql_bits=2|ecn=off|pmtud=off|send_batch=50|udp_gso=common_cpp|udp_gro=on	cubic	connections_per_second	1	baseline_1c1s+selected_saturation	ready	not_ready	ready	20	1135.399877	1107.960358	1153.732570	0.040314	1.079466	not_ready	missing_confirm_stats
lsperf	connect	syscall	loopback	cc=cubic|pacing=on|spin=on|ql_bits=2|ecn=off|pmtud=off|send_batch=50|udp_gso=common_cpp|udp_gro=on	cubic	connections_per_second	1	baseline_1c1s+selected_saturation	ready	not_ready	ready	25	1005.385852	996.943372	1016.832648	0.019783	1.086619	not_ready	missing_confirm_stats
lsperf	download	iouring	loopback	cc=cubic|pacing=on|spin=on|ql_bits=2|ecn=off|pmtud=off|send_batch=50|udp_gso=common_cpp|udp_gro=on	cubic	throughput_gbps	1	baseline_1c1s+selected_saturation	ready	ready	ready	30	10.626183	10.584609	10.763816	0.016865	1.023157	ready	
lsperf	download	iouring	loopback	cc=cubic|pacing=on|spin=on|ql_bits=2|ecn=off|pmtud=off|send_batch=50|udp_gso=common_cpp|udp_gro=on	cubic	throughput_gbps	2	plateau_sentinel+post_selected	ready	not_ready	not_ready_nonstationary	70	4.893876	4.802106	5.029039	0.046371	1.118789	not_ready	confirm_p50_ci_width_0.0541_gt_0.0450;confirm_median_delta_0.1967_gt_0.0450;combined_not_ready_nonstationary;p50_ci_width_0.0464_gt_0.0300;block_median_ratio_1.2190_gt_1.1000
lsperf	upload	iouring	loopback	cc=cubic|pacing=on|spin=on|ql_bits=2|ecn=off|pmtud=off|send_batch=50|udp_gso=common_cpp|udp_gro=on	cubic	throughput_gbps	1	baseline_1c1s+pre_saturation	ready	not_ready	ready	55	12.261106	12.070606	12.374167	0.024758	1.040621	not_ready	missing_confirm_stats
lsperf	upload	iouring	loopback	cc=cubic|pacing=on|spin=on|ql_bits=2|ecn=off|pmtud=off|send_batch=50|udp_gso=common_cpp|udp_gro=on	cubic	throughput_gbps	2	selected_saturation	ready	not_ready	ready	20	12.605546	12.515715	12.743145	0.018042	1.024674	not_ready	missing_confirm_stats
neqoperf	download	syscall	loopback	cc=cubic|sans_io=neqo-transport|cpp_networkhub=on|runtime=none|tls_verify=config_chain_preflight|udp_gso=common_cpp|udp_gro=on	cubic	throughput_gbps	1	baseline_1c1s+selected_saturation	ready	not_ready	warning_noisy	40	4.546988	4.469679	4.642426	0.037992	1.054102	not_ready	combined_warning_noisy;p50_ci_width_0.0380_gt_0.0300
neqoperf	download	syscall	loopback	cc=cubic|sans_io=neqo-transport|cpp_networkhub=on|runtime=none|tls_verify=config_chain_preflight|udp_gso=common_cpp|udp_gro=on	cubic	throughput_gbps	2	plateau_sentinel+post_selected	ready	ready	ready	45	4.137373	4.128609	4.162458	0.008181	1.036912	ready	
ngtcp2perf	connect	iouring	loopback	cc=cubic|udp_payload_shaping=off|pmtud=off|max_tx_payload=1452|udp_gso=common_cpp|udp_gro=on	cubic	connections_per_second	1	baseline_1c1s+selected_saturation	ready	not_ready	ready	20	1782.619987	1705.995262	1795.103664	0.049987	1.100202	not_ready	missing_confirm_stats
ngtcp2perf	connect	syscall	loopback	cc=cubic|udp_payload_shaping=off|pmtud=off|max_tx_payload=1452|udp_gso=common_cpp|udp_gro=on	cubic	connections_per_second	1	baseline_1c1s+selected_saturation	ready	not_ready	ready	25	1174.662989	1149.626811	1193.763303	0.037574	1.114960	not_ready	missing_confirm_stats
