binary	scenario	network	path_profile	client_threads	metric	phase	samples	blocks	median	p50_ci95_low	p50_ci95_high	p50_ci95_relative_width	p20	p80	p20_p80_ratio	p90	p99	p99_status	mad_relative	block_median_ratio	drift_relative	lag1_autocorr	outlier_count	convergence_status	reason
lsperf	connect	iouring	loopback	1	connections_per_second	discovery	20	4	1135.399877	1107.960358	1153.732570	0.040314	1086.806072	1173.170209	1.079466	974.024791	880.939505	insufficient_order_stat_support	0.028511	1.070842	0.002645	-0.033708	0	ready	
lsperf	connect	iouring	loopback	1	connections_per_second	combined	20	4	1135.399877	1107.960358	1153.732570	0.040314	1086.806072	1173.170209	1.079466	974.024791	880.939505	insufficient_order_stat_support	0.028511	1.070842	0.002645	-0.033708	0	ready	
lsperf	connect	iouring	loopback	2	connections_per_second	discovery	70	14	2023.642098	1990.509252	2055.884018	0.032305	1915.980209	2124.299482	1.108727	1849.188748	1713.146962	insufficient_order_stat_support	0.041245	1.169066	0.016935	-0.003594	0	not_ready_high_variance	block_median_ratio_1.1691_gt_1.1000;persistent_block_median_ratio_recent_1.1381_gt_1.1000
lsperf	connect	iouring	loopback	2	connections_per_second	combined	70	14	2023.642098	1990.509252	2055.884018	0.032305	1915.980209	2124.299482	1.108727	1849.188748	1713.146962	insufficient_order_stat_support	0.041245	1.169066	0.016935	-0.003594	0	not_ready_high_variance	block_median_ratio_1.1691_gt_1.1000;persistent_block_median_ratio_recent_1.1381_gt_1.1000
lsperf	connect	syscall	loopback	1	connections_per_second	discovery	25	5	1005.385852	996.943372	1016.832648	0.019783	964.856348	1048.430801	1.086619	926.623593	850.402596	insufficient_order_stat_support	0.036104	1.090052	-0.021917	0.001187	0	ready	
lsperf	connect	syscall	loopback	1	connections_per_second	combined	25	5	1005.385852	996.943372	1016.832648	0.019783	964.856348	1048.430801	1.086619	926.623593	850.402596	insufficient_order_stat_support	0.036104	1.090052	-0.021917	0.001187	0	ready	
lsperf	connect	syscall	loopback	2	connections_per_second	discovery	30	6	1616.388433	1592.418698	1735.047914	0.088239	1577.219053	1814.969747	1.150740	1543.050411	1481.528892	insufficient_order_stat_support	0.045793	1.144618	0.103077	-0.155903	0	not_ready_high_variance	p50_ci_width_0.0882_gt_0.0500;p80_p20_1.1507_gt_1.1500;block_median_ratio_1.1446_gt_1.1000;drift_0.1031_gt_0.0300;severe_drift_0.1031_gt_0.0800
lsperf	connect	syscall	loopback	2	connections_per_second	combined	30	6	1616.388433	1592.418698	1735.047914	0.088239	1577.219053	1814.969747	1.150740	1543.050411	1481.528892	insufficient_order_stat_support	0.045793	1.144618	0.103077	-0.155903	0	not_ready_high_variance	p50_ci_width_0.0882_gt_0.0500;p80_p20_1.1507_gt_1.1500;block_median_ratio_1.1446_gt_1.1000;drift_0.1031_gt_0.0300;severe_drift_0.1031_gt_0.0800
lsperf	download	iouring	loopback	1	throughput_gbps	discovery	20	4	10.612284	10.561490	10.779020	0.020498	10.517075	10.792177	1.026158	10.485090	10.447365	insufficient_order_stat_support	0.010766	1.023082	0.002907	-0.219197	0	ready	
lsperf	download	iouring	loopback	1	throughput_gbps	confirm	10	2	10.633135	10.627460	10.756472	0.012133	10.603052	10.760519	1.014851	10.594882	10.546853	insufficient_order_stat_support	0.005828	1.012139	0.000000	0.093497	0	ready	
lsperf	download	iouring	loopback	1	throughput_gbps	combined	30	6	10.626183	10.584609	10.763816	0.016865	10.543115	10.787261	1.023157	10.505850	10.448490	insufficient_order_stat_support	0.010459	1.023082	0.012139	-0.203994	0	ready	
lsperf	download	iouring	loopback	2	throughput_gbps	discovery	60	12	4.830910	4.790193	4.921419	0.027164	4.627745	5.038395	1.088736	4.512408	4.368635	insufficient_order_stat_support	0.033291	1.066946	-0.005342	-0.262573	0	ready	
lsperf	download	iouring	loopback	2	throughput_gbps	confirm	10	2	5.781089	5.471541	5.784265	0.054094	5.414931	6.045552	1.116460	5.370144	5.020703	insufficient_order_stat_support	0.050848	1.057155	0.000000	0.266213	0	not_ready_max_samples	p50_ci_width_0.0541_gt_0.0300
lsperf	download	iouring	loopback	2	throughput_gbps	combined	70	14	4.893876	4.802106	5.029039	0.046371	4.678423	5.234168	1.118789	4.540515	4.370299	insufficient_order_stat_support	0.038987	1.218991	-0.016837	0.334357	0	not_ready_nonstationary	p50_ci_width_0.0464_gt_0.0300;block_median_ratio_1.2190_gt_1.1000
lsperf	download	syscall	loopback	1	throughput_gbps	discovery	110	22	16.028467	15.910604	16.308963	0.024853	15.237110	16.821994	1.104015	14.645928	13.694223	insufficient_order_stat_support	0.037216	1.120496	0.006647	0.191963	0	not_ready_high_variance	block_median_ratio_1.1205_gt_1.1000;persistent_block_median_ratio_recent_1.1008_gt_1.1000
lsperf	download	syscall	loopback	1	throughput_gbps	combined	110	22	16.028467	15.910604	16.308963	0.024853	15.237110	16.821994	1.104015	14.645928	13.694223	insufficient_order_stat_support	0.037216	1.120496	0.006647	0.191963	0	not_ready_high_variance	block_median_ratio_1.1205_gt_1.1000;persistent_block_median_ratio_recent_1.1008_gt_1.1000
lsperf	upload	iouring	loopback	1	throughput_gbps	discovery	55	11	12.261106	12.070606	12.374167	0.024758	11.932615	12.417335	1.040621	11.725700	11.453897	insufficient_order_stat_support	0.012770	1.090791	0.023502	0.390347	0	ready	
lsperf	upload	iouring	loopback	1	throughput_gbps	combined	55	11	12.261106	12.070606	12.374167	0.024758	11.932615	12.417335	1.040621	11.725700	11.453897	insufficient_order_stat_support	0.012770	1.090791	0.023502	0.390347	0	ready	
lsperf	upload	iouring	loopback	2	throughput_gbps	discovery	20	4	12.605546	12.515715	12.743145	0.018042	12.505237	12.813794	1.024674	12.462775	12.213998	insufficient_order_stat_support	0.007832	1.024487	-0.009537	0.227192	0	ready	
lsperf	upload	iouring	loopback	2	throughput_gbps	combined	20	4	12.605546	12.515715	12.743145	0.018042	12.505237	12.813794	1.024674	12.462775	12.213998	insufficient_order_stat_support	0.007832	1.024487	-0.009537	0.227192	0	ready	
