publication_id	round	block_id	sample_id	binary	library	scenario	network	path_profile	client_threads	server_connections	adapter_features	metric	value	phase	status	reason	started_utc	ended_utc	duration_sec	run_order	random_seed	out_dir	client_log	server_log	git_commit	env_hash	machine_hash	datagram_sent	datagram_received	datagram_lost	datagram_delivery_ratio	udp_packets_sent	udp_packets_received	udp_send_syscalls	udp_recv_polls	datagrams_per_udp_packet
adaptive-20260525T002622Z-2639460	0	r000b00001t1	r000b00001t1:lsperf-connect-iouring-loopback-r000b00001t1-1.client	lsperf	lsquic	connect	iouring	loopback	1	1	cc=cubic|pacing=on|spin=on|ql_bits=2|ecn=off|pmtud=off|send_batch=50|udp_gso=common_cpp|udp_gro=on	connections_per_second	1484.093486000	calibration	ok		2026-05-25T00:26:23Z	2026-05-25T00:26:24Z	1.068269	2	2639461	/root/quicperf/.run/adaptive-20260525T002622Z-2639460/blocks/r000b00001t1-lsperf-connect-iouring-loopback	/root/quicperf/.run/adaptive-20260525T002622Z-2639460/blocks/r000b00001t1-lsperf-connect-iouring-loopback/lsperf-connect-iouring-loopback-r000b00001t1-1.client.log	/root/quicperf/.run/adaptive-20260525T002622Z-2639460/blocks/r000b00001t1-lsperf-connect-iouring-loopback/lsperf-connect-iouring-loopback-r000b00001t1-1.server.log	25c53ca52dde22548d5dfa694abd5b1656bb5ed9	b393b47c762e16be	67523892463251b1	0	0	0	0.000000000	0	0	0	0	0.000000000
adaptive-20260525T002622Z-2639460	0	r000b00001t1	r000b00001t1:lsperf-connect-iouring-loopback-r000b00001t1-2.client	lsperf	lsquic	connect	iouring	loopback	1	1	cc=cubic|pacing=on|spin=on|ql_bits=2|ecn=off|pmtud=off|send_batch=50|udp_gso=common_cpp|udp_gro=on	connections_per_second	1617.997308000	calibration	ok		2026-05-25T00:26:24Z	2026-05-25T00:26:25Z	1.070619	3	2639461	/root/quicperf/.run/adaptive-20260525T002622Z-2639460/blocks/r000b00001t1-lsperf-connect-iouring-loopback	/root/quicperf/.run/adaptive-20260525T002622Z-2639460/blocks/r000b00001t1-lsperf-connect-iouring-loopback/lsperf-connect-iouring-loopback-r000b00001t1-2.client.log	/root/quicperf/.run/adaptive-20260525T002622Z-2639460/blocks/r000b00001t1-lsperf-connect-iouring-loopback/lsperf-connect-iouring-loopback-r000b00001t1-2.server.log	25c53ca52dde22548d5dfa694abd5b1656bb5ed9	b393b47c762e16be	67523892463251b1	0	0	0	0.000000000	0	0	0	0	0.000000000
adaptive-20260525T002622Z-2639460	0	r000b00002t1	r000b00002t1:lsperf-connect-syscall-loopback-r000b00002t1-1.client	lsperf	lsquic	connect	syscall	loopback	1	1	cc=cubic|pacing=on|spin=on|ql_bits=2|ecn=off|pmtud=off|send_batch=50|udp_gso=common_cpp|udp_gro=on	connections_per_second	1370.135164000	calibration	ok		2026-05-25T00:26:27Z	2026-05-25T00:26:28Z	1.070977	2	2639462	/root/quicperf/.run/adaptive-20260525T002622Z-2639460/blocks/r000b00002t1-lsperf-connect-syscall-loopback	/root/quicperf/.run/adaptive-20260525T002622Z-2639460/blocks/r000b00002t1-lsperf-connect-syscall-loopback/lsperf-connect-syscall-loopback-r000b00002t1-1.client.log	/root/quicperf/.run/adaptive-20260525T002622Z-2639460/blocks/r000b00002t1-lsperf-connect-syscall-loopback/lsperf-connect-syscall-loopback-r000b00002t1-1.server.log	25c53ca52dde22548d5dfa694abd5b1656bb5ed9	b393b47c762e16be	67523892463251b1	0	0	0	0.000000000	0	0	0	0	0.000000000
adaptive-20260525T002622Z-2639460	0	r000b00002t1	r000b00002t1:lsperf-connect-syscall-loopback-r000b00002t1-2.client	lsperf	lsquic	connect	syscall	loopback	1	1	cc=cubic|pacing=on|spin=on|ql_bits=2|ecn=off|pmtud=off|send_batch=50|udp_gso=common_cpp|udp_gro=on	connections_per_second	1222.003891000	calibration	ok		2026-05-25T00:26:28Z	2026-05-25T00:26:29Z	1.068261	3	2639462	/root/quicperf/.run/adaptive-20260525T002622Z-2639460/blocks/r000b00002t1-lsperf-connect-syscall-loopback	/root/quicperf/.run/adaptive-20260525T002622Z-2639460/blocks/r000b00002t1-lsperf-connect-syscall-loopback/lsperf-connect-syscall-loopback-r000b00002t1-2.client.log	/root/quicperf/.run/adaptive-20260525T002622Z-2639460/blocks/r000b00002t1-lsperf-connect-syscall-loopback/lsperf-connect-syscall-loopback-r000b00002t1-2.server.log	25c53ca52dde22548d5dfa694abd5b1656bb5ed9	b393b47c762e16be	67523892463251b1	0	0	0	0.000000000	0	0	0	0	0.000000000
adaptive-20260525T002622Z-2639460	0	r000b00003t1	r000b00003t1:lsperf-download-iouring-loopback-r000b00003t1-1.client	lsperf	lsquic	download	iouring	loopback	1	1	cc=cubic|pacing=on|spin=on|ql_bits=2|ecn=off|pmtud=off|send_batch=50|udp_gso=common_cpp|udp_gro=on	throughput_gbps	9.810820000	calibration	ok		2026-05-25T00:26:30Z	2026-05-25T00:26:31Z	1.081270	2	2639463	/root/quicperf/.run/adaptive-20260525T002622Z-2639460/blocks/r000b00003t1-lsperf-download-iouring-loopback	/root/quicperf/.run/adaptive-20260525T002622Z-2639460/blocks/r000b00003t1-lsperf-download-iouring-loopback/lsperf-download-iouring-loopback-r000b00003t1-1.client.log	/root/quicperf/.run/adaptive-20260525T002622Z-2639460/blocks/r000b00003t1-lsperf-download-iouring-loopback/lsperf-download-iouring-loopback-r000b00003t1-1.server.log	25c53ca52dde22548d5dfa694abd5b1656bb5ed9	b393b47c762e16be	67523892463251b1	0	0	0	0.000000000	0	0	0	0	0.000000000
adaptive-20260525T002622Z-2639460	0	r000b00003t1	r000b00003t1:lsperf-download-iouring-loopback-r000b00003t1-2.client	lsperf	lsquic	download	iouring	loopback	1	1	cc=cubic|pacing=on|spin=on|ql_bits=2|ecn=off|pmtud=off|send_batch=50|udp_gso=common_cpp|udp_gro=on	throughput_gbps	9.847666000	calibration	ok		2026-05-25T00:26:31Z	2026-05-25T00:26:32Z	1.085218	3	2639463	/root/quicperf/.run/adaptive-20260525T002622Z-2639460/blocks/r000b00003t1-lsperf-download-iouring-loopback	/root/quicperf/.run/adaptive-20260525T002622Z-2639460/blocks/r000b00003t1-lsperf-download-iouring-loopback/lsperf-download-iouring-loopback-r000b00003t1-2.client.log	/root/quicperf/.run/adaptive-20260525T002622Z-2639460/blocks/r000b00003t1-lsperf-download-iouring-loopback/lsperf-download-iouring-loopback-r000b00003t1-2.server.log	25c53ca52dde22548d5dfa694abd5b1656bb5ed9	b393b47c762e16be	67523892463251b1	0	0	0	0.000000000	0	0	0	0	0.000000000
adaptive-20260525T002622Z-2639460	0	r000b00005t1	r000b00005t1:lsperf-download-syscall-loopback-r000b00005t1-1.client	lsperf	lsquic	download	syscall	loopback	1	1	cc=cubic|pacing=on|spin=on|ql_bits=2|ecn=off|pmtud=off|send_batch=50|udp_gso=common_cpp|udp_gro=on	throughput_gbps	9.618873000	calibration	ok		2026-05-25T00:26:38Z	2026-05-25T00:26:39Z	1.083655	2	2639465	/root/quicperf/.run/adaptive-20260525T002622Z-2639460/blocks/r000b00005t1-lsperf-download-syscall-loopback	/root/quicperf/.run/adaptive-20260525T002622Z-2639460/blocks/r000b00005t1-lsperf-download-syscall-loopback/lsperf-download-syscall-loopback-r000b00005t1-1.client.log	/root/quicperf/.run/adaptive-20260525T002622Z-2639460/blocks/r000b00005t1-lsperf-download-syscall-loopback/lsperf-download-syscall-loopback-r000b00005t1-1.server.log	25c53ca52dde22548d5dfa694abd5b1656bb5ed9	b393b47c762e16be	67523892463251b1	0	0	0	0.000000000	0	0	0	0	0.000000000
adaptive-20260525T002622Z-2639460	0	r000b00005t1	r000b00005t1:lsperf-download-syscall-loopback-r000b00005t1-2.client	lsperf	lsquic	download	syscall	loopback	1	1	cc=cubic|pacing=on|spin=on|ql_bits=2|ecn=off|pmtud=off|send_batch=50|udp_gso=common_cpp|udp_gro=on	throughput_gbps	10.232376000	calibration	ok		2026-05-25T00:26:39Z	2026-05-25T00:26:40Z	1.082007	3	2639465	/root/quicperf/.run/adaptive-20260525T002622Z-2639460/blocks/r000b00005t1-lsperf-download-syscall-loopback	/root/quicperf/.run/adaptive-20260525T002622Z-2639460/blocks/r000b00005t1-lsperf-download-syscall-loopback/lsperf-download-syscall-loopback-r000b00005t1-2.client.log	/root/quicperf/.run/adaptive-20260525T002622Z-2639460/blocks/r000b00005t1-lsperf-download-syscall-loopback/lsperf-download-syscall-loopback-r000b00005t1-2.server.log	25c53ca52dde22548d5dfa694abd5b1656bb5ed9	b393b47c762e16be	67523892463251b1	0	0	0	0.000000000	0	0	0	0	0.000000000
adaptive-20260525T002622Z-2639460	0	r000b00007t1	r000b00007t1:lsperf-upload-iouring-loopback-r000b00007t1-1.client	lsperf	lsquic	upload	iouring	loopback	1	1	cc=cubic|pacing=on|spin=on|ql_bits=2|ecn=off|pmtud=off|send_batch=50|udp_gso=common_cpp|udp_gro=on	throughput_gbps	9.183702000	calibration	ok		2026-05-25T00:26:45Z	2026-05-25T00:26:46Z	1.084490	2	2639467	/root/quicperf/.run/adaptive-20260525T002622Z-2639460/blocks/r000b00007t1-lsperf-upload-iouring-loopback	/root/quicperf/.run/adaptive-20260525T002622Z-2639460/blocks/r000b00007t1-lsperf-upload-iouring-loopback/lsperf-upload-iouring-loopback-r000b00007t1-1.client.log	/root/quicperf/.run/adaptive-20260525T002622Z-2639460/blocks/r000b00007t1-lsperf-upload-iouring-loopback/lsperf-upload-iouring-loopback-r000b00007t1-1.server.log	25c53ca52dde22548d5dfa694abd5b1656bb5ed9	b393b47c762e16be	67523892463251b1	0	0	0	0.000000000	0	0	0	0	0.000000000
adaptive-20260525T002622Z-2639460	0	r000b00007t1	r000b00007t1:lsperf-upload-iouring-loopback-r000b00007t1-2.client	lsperf	lsquic	upload	iouring	loopback	1	1	cc=cubic|pacing=on|spin=on|ql_bits=2|ecn=off|pmtud=off|send_batch=50|udp_gso=common_cpp|udp_gro=on	throughput_gbps	8.716926000	calibration	ok		2026-05-25T00:26:46Z	2026-05-25T00:26:48Z	1.083229	3	2639467	/root/quicperf/.run/adaptive-20260525T002622Z-2639460/blocks/r000b00007t1-lsperf-upload-iouring-loopback	/root/quicperf/.run/adaptive-20260525T002622Z-2639460/blocks/r000b00007t1-lsperf-upload-iouring-loopback/lsperf-upload-iouring-loopback-r000b00007t1-2.client.log	/root/quicperf/.run/adaptive-20260525T002622Z-2639460/blocks/r000b00007t1-lsperf-upload-iouring-loopback/lsperf-upload-iouring-loopback-r000b00007t1-2.server.log	25c53ca52dde22548d5dfa694abd5b1656bb5ed9	b393b47c762e16be	67523892463251b1	0	0	0	0.000000000	0	0	0	0	0.000000000
