binary	scenario	network	path_profile	tier	publication_eligible	adapter_features	congestion_controller	publication_status	metric	selected_threads	best_threads	boundary_threads	discovery_p50	confirm_p50	combined_p50	combined_p50_ci95_low	combined_p50_ci95_high	combined_p50_ci95_relative_width	p90	p99	p99_status	selection_probability_within_tolerance	selected_vs_best_ratio	edge_status	reason
lsperf	connect	iouring	loopback	publication	1	cc=cubic|pacing=on|spin=on|ql_bits=2|ecn=off|pmtud=off|send_batch=50|udp_gso=common_cpp|udp_gro=on	cubic	converged	connections_per_second	14	14	14	8218.529108		8218.529108	8094.761246	8256.898540	0.019728	7890.176525	7599.472859	insufficient_order_stat_support	1.000000	1.000000	ok	incremental_improvement_0.12pct_le_1.00pct
lsperf	connect	syscall	loopback	publication	1	cc=cubic|pacing=on|spin=on|ql_bits=2|ecn=off|pmtud=off|send_batch=50|udp_gso=common_cpp|udp_gro=on	cubic	converged	connections_per_second	4	4	5	3379.018615		3379.018615	3260.582152	3401.159120	0.041603	2875.565495	2725.462470	insufficient_order_stat_support	1.000000	1.000000	ok	incremental_improvement_-2.64pct_le_1.00pct
lsperf	download	iouring	loopback	publication	1	cc=cubic|pacing=on|spin=on|ql_bits=2|ecn=off|pmtud=off|send_batch=50|udp_gso=common_cpp|udp_gro=on	cubic	converged	throughput_gbps	1	1	2	11.384127		11.384127	11.369201	11.465889	0.008493	10.663666	10.591580	insufficient_order_stat_support	1.000000	1.000000	ok	incremental_improvement_-62.23pct_le_1.00pct
lsperf	download	syscall	loopback	publication	1	cc=cubic|pacing=on|spin=on|ql_bits=2|ecn=off|pmtud=off|send_batch=50|udp_gso=common_cpp|udp_gro=on	cubic	converged	throughput_gbps	1	1	2	11.539974		11.539974	11.374980	11.558362	0.015891	10.831921	10.645526	insufficient_order_stat_support	1.000000	1.000000	ok	incremental_improvement_-56.13pct_le_1.00pct
lsperf	upload	iouring	loopback	publication	1	cc=cubic|pacing=on|spin=on|ql_bits=2|ecn=off|pmtud=off|send_batch=50|udp_gso=common_cpp|udp_gro=on	cubic	converged	throughput_gbps	5	5	6	20.865465		20.865465	20.834642	20.865465	0.001477	19.408893	19.004749	insufficient_order_stat_support	1.000000	1.000000	ok	incremental_improvement_-1.80pct_le_1.00pct
lsperf	upload	syscall	loopback	publication	1	cc=cubic|pacing=on|spin=on|ql_bits=2|ecn=off|pmtud=off|send_batch=50|udp_gso=common_cpp|udp_gro=on	cubic	converged	throughput_gbps	5	5	5	21.386767		21.386767	21.160042	21.500024	0.015897	19.808494	19.349282	insufficient_order_stat_support	1.000000	1.000000	ok	incremental_improvement_0.35pct_le_1.00pct
mvfstperf	connect	iouring	loopback	publication	1	cc=cubic|cpp_networkhub=on|socket=quic_async_udp_adapter|folly_eventbase=manual|udp_gso=common_cpp|udp_gro=on|runtime=none|pmtud=off|pacing=on	cubic	converged	connections_per_second	7	7	7	814.508460		814.508460	797.472132	841.153720	0.053629	759.622686	710.226065	insufficient_order_stat_support	1.000000	1.000000	ok	incremental_improvement_0.65pct_le_1.00pct
mvfstperf	connect	syscall	loopback	publication	1	cc=cubic|cpp_networkhub=on|socket=quic_async_udp_adapter|folly_eventbase=manual|udp_gso=common_cpp|udp_gro=on|runtime=none|pmtud=off|pacing=on	cubic	converged	connections_per_second	8	8	9	855.259146		855.259146	851.145686	866.076984	0.017458	736.930228	619.061630	insufficient_order_stat_support	1.000000	1.000000	ok	incremental_improvement_-0.38pct_le_1.00pct
mvfstperf	download	iouring	loopback	publication	1	cc=cubic|cpp_networkhub=on|socket=quic_async_udp_adapter|folly_eventbase=manual|udp_gso=common_cpp|udp_gro=on|runtime=none|pmtud=off|pacing=on	cubic	converged	throughput_gbps	1	1	2	6.612594		6.612594	6.560389	6.633826	0.011105	6.459460	6.109355	insufficient_order_stat_support	1.000000	1.000000	ok	incremental_improvement_-5.34pct_le_1.00pct
mvfstperf	download	syscall	loopback	publication	1	cc=cubic|cpp_networkhub=on|socket=quic_async_udp_adapter|folly_eventbase=manual|udp_gso=common_cpp|udp_gro=on|runtime=none|pmtud=off|pacing=on	cubic	converged	throughput_gbps	1	1	2	6.417173		6.417173	6.386145	6.680862	0.045926	6.078330	5.960343	insufficient_order_stat_support	1.000000	1.000000	ok	incremental_improvement_-2.83pct_le_1.00pct
mvfstperf	upload	iouring	loopback	publication	1	cc=cubic|cpp_networkhub=on|socket=quic_async_udp_adapter|folly_eventbase=manual|udp_gso=common_cpp|udp_gro=on|runtime=none|pmtud=off|pacing=on	cubic	converged	throughput_gbps	14	14	15	6.629098		6.629098	6.548393	6.665012	0.017592	6.431287	6.289563	insufficient_order_stat_support	1.000000	1.000000	ok	incremental_improvement_-8.67pct_le_1.00pct
mvfstperf	upload	syscall	loopback	publication	1	cc=cubic|cpp_networkhub=on|socket=quic_async_udp_adapter|folly_eventbase=manual|udp_gso=common_cpp|udp_gro=on|runtime=none|pmtud=off|pacing=on	cubic	converged	throughput_gbps	14	14	15	6.914500		6.914500	6.911007	6.929271	0.002641	6.865049	6.831928	insufficient_order_stat_support	1.000000	1.000000	ok	incremental_improvement_-1.14pct_le_1.00pct
neqoperf	connect	iouring	loopback	publication	1	cc=cubic|sans_io=neqo-transport|cpp_networkhub=on|runtime=none|tls_verify=config_chain_preflight|udp_gso=common_cpp|udp_gro=on	cubic	converged	connections_per_second	5	5	6	740.149649		740.149649	715.657990	761.781732	0.062317	679.671992	648.905027	insufficient_order_stat_support	1.000000	1.000000	ok	incremental_improvement_-0.10pct_le_1.00pct
neqoperf	connect	syscall	loopback	publication	1	cc=cubic|sans_io=neqo-transport|cpp_networkhub=on|runtime=none|tls_verify=config_chain_preflight|udp_gso=common_cpp|udp_gro=on	cubic	converged	connections_per_second	6	6	7	816.341077		816.341077	809.271903	843.673378	0.042141	720.066216	687.039256	insufficient_order_stat_support	1.000000	1.000000	ok	incremental_improvement_-5.77pct_le_1.00pct
neqoperf	download	iouring	loopback	publication	1	cc=cubic|sans_io=neqo-transport|cpp_networkhub=on|runtime=none|tls_verify=config_chain_preflight|udp_gso=common_cpp|udp_gro=on	cubic	converged	throughput_gbps	1	1	2	4.192605		4.192605	4.173158	4.196862	0.005654	3.894561	2.346415	insufficient_order_stat_support	1.000000	1.000000	ok	incremental_improvement_-12.87pct_le_1.00pct
neqoperf	download	syscall	loopback	publication	1	cc=cubic|sans_io=neqo-transport|cpp_networkhub=on|runtime=none|tls_verify=config_chain_preflight|udp_gso=common_cpp|udp_gro=on	cubic	converged	throughput_gbps	1	1	2	4.111754		4.111754	4.111754	4.125816	0.003420	3.876253	2.577806	insufficient_order_stat_support	1.000000	1.000000	ok	incremental_improvement_-9.83pct_le_1.00pct
neqoperf	upload	iouring	loopback	publication	1	cc=cubic|sans_io=neqo-transport|cpp_networkhub=on|runtime=none|tls_verify=config_chain_preflight|udp_gso=common_cpp|udp_gro=on	cubic	converged	throughput_gbps	1	1	2	4.050526		4.050526	3.975053	4.230031	0.062949	3.395651	2.649423	insufficient_order_stat_support	1.000000	1.000000	ok	incremental_improvement_-37.20pct_le_1.00pct
neqoperf	upload	syscall	loopback	publication	1	cc=cubic|sans_io=neqo-transport|cpp_networkhub=on|runtime=none|tls_verify=config_chain_preflight|udp_gso=common_cpp|udp_gro=on	cubic	converged	throughput_gbps	1	1	2	4.143752		4.143752	4.090013	4.191155	0.024408	3.993615	3.604218	insufficient_order_stat_support	1.000000	1.000000	ok	incremental_improvement_-40.04pct_le_1.00pct
ngtcp2perf	connect	iouring	loopback	publication	1	cc=cubic|udp_payload_shaping=off|pmtud=off|max_tx_payload=1452|udp_gso=common_cpp|udp_gro=on	cubic	converged	connections_per_second	15	15	15	9479.765286		9479.765286	9289.454626	9536.164725	0.026025	8355.422655	8047.792413	insufficient_order_stat_support	1.000000	1.000000	ok	incremental_improvement_0.69pct_le_1.00pct
ngtcp2perf	connect	syscall	loopback	publication	1	cc=cubic|udp_payload_shaping=off|pmtud=off|max_tx_payload=1452|udp_gso=common_cpp|udp_gro=on	cubic	converged	connections_per_second	7	7	8	3000.001180		3000.001180	2984.756228	3001.857418	0.005700	2782.564493	2706.977907	insufficient_order_stat_support	1.000000	1.000000	ok	incremental_improvement_-0.66pct_le_1.00pct
ngtcp2perf	download	iouring	loopback	publication	1	cc=cubic|udp_payload_shaping=off|pmtud=off|max_tx_payload=1452|udp_gso=common_cpp|udp_gro=on	cubic	converged	throughput_gbps	2	2	3	16.412685		16.412685	16.345206	16.412685	0.004111	15.129402	14.960803	insufficient_order_stat_support	1.000000	1.000000	ok	incremental_improvement_-3.07pct_le_1.00pct
ngtcp2perf	download	syscall	loopback	publication	1	cc=cubic|udp_payload_shaping=off|pmtud=off|max_tx_payload=1452|udp_gso=common_cpp|udp_gro=on	cubic	converged	throughput_gbps	2	2	3	16.203816		16.203816	15.824459	16.323584	0.030803	14.610133	14.205147	insufficient_order_stat_support	1.000000	1.000000	ok	incremental_improvement_-3.70pct_le_1.00pct
ngtcp2perf	upload	iouring	loopback	publication	1	cc=cubic|udp_payload_shaping=off|pmtud=off|max_tx_payload=1452|udp_gso=common_cpp|udp_gro=on	cubic	converged	throughput_gbps	4	4	5	25.211460		25.211460	24.236582	27.057035	0.111872	24.166114	23.631631	insufficient_order_stat_support	1.000000	1.000000	ok	incremental_improvement_-3.08pct_le_1.00pct
ngtcp2perf	upload	syscall	loopback	publication	1	cc=cubic|udp_payload_shaping=off|pmtud=off|max_tx_payload=1452|udp_gso=common_cpp|udp_gro=on	cubic	converged	throughput_gbps	2	2	3	27.615327		27.615327	25.656084	28.541671	0.104492	24.782666	24.694528	insufficient_order_stat_support	1.000000	1.000000	ok	incremental_improvement_-1.19pct_le_1.00pct
noqperf	connect	iouring	loopback	publication	1	cc=cubic|sans_io=noq-proto|cpp_networkhub=on|udp_gso=common_cpp|udp_gro=on|runtime=none	cubic	converged	connections_per_second	14	14	15	6586.856038		6586.856038	6551.299198	6605.692789	0.008258	6325.067300	6191.638680	insufficient_order_stat_support	1.000000	1.000000	ok	incremental_improvement_-1.32pct_le_1.00pct
noqperf	connect	syscall	loopback	publication	1	cc=cubic|sans_io=noq-proto|cpp_networkhub=on|udp_gso=common_cpp|udp_gro=on|runtime=none	cubic	converged	connections_per_second	6	6	7	3073.349770		3073.349770	3054.413549	3091.614457	0.012104	2922.181420	2805.422102	insufficient_order_stat_support	1.000000	1.000000	ok	incremental_improvement_-0.97pct_le_1.00pct
noqperf	download	iouring	loopback	publication	1	cc=cubic|sans_io=noq-proto|cpp_networkhub=on|udp_gso=common_cpp|udp_gro=on|runtime=none	cubic	converged	throughput_gbps	2	2	3	5.169284		5.169284	4.762139	5.214581	0.087525	4.681926	4.567430	insufficient_order_stat_support	1.000000	1.000000	ok	incremental_improvement_-11.17pct_le_1.00pct
noqperf	download	syscall	loopback	publication	1	cc=cubic|sans_io=noq-proto|cpp_networkhub=on|udp_gso=common_cpp|udp_gro=on|runtime=none	cubic	converged	throughput_gbps	2	2	3	4.734730		4.734730	4.720790	4.740537	0.004171	4.535702	3.729908	insufficient_order_stat_support	1.000000	1.000000	ok	incremental_improvement_-0.93pct_le_1.00pct
noqperf	upload	iouring	loopback	publication	1	cc=cubic|sans_io=noq-proto|cpp_networkhub=on|udp_gso=common_cpp|udp_gro=on|runtime=none	cubic	converged	throughput_gbps	1	1	2	3.484300		3.484300	3.458774	3.517324	0.016804	3.411494	3.219670	insufficient_order_stat_support	1.000000	1.000000	ok	incremental_improvement_-13.74pct_le_1.00pct
noqperf	upload	syscall	loopback	publication	1	cc=cubic|sans_io=noq-proto|cpp_networkhub=on|udp_gso=common_cpp|udp_gro=on|runtime=none	cubic	converged	throughput_gbps	1	1	2	2.992685		2.992685	2.987998	3.001648	0.004561	2.956396	2.921365	insufficient_order_stat_support	1.000000	1.000000	ok	incremental_improvement_-11.96pct_le_1.00pct
picoperf	connect	iouring	loopback	publication	1	cc=cubic|pmtud=off|packet_train=off|bdp_frame=on|bdp_seed=off|seed_now=off|udp_gso=common_cpp_after_impairment|udp_gro=on|mtu=1452|null_verifier=ed25519_sigalgs	cubic	converged	connections_per_second	15	15	16	4956.814811		4956.814811	4814.784565	5071.408569	0.051772	4555.625129	3875.661909	insufficient_order_stat_support	1.000000	1.000000	ok	incremental_improvement_-2.99pct_le_1.00pct
picoperf	connect	syscall	loopback	publication	1	cc=cubic|pmtud=off|packet_train=off|bdp_frame=on|bdp_seed=off|seed_now=off|udp_gso=common_cpp_after_impairment|udp_gro=on|mtu=1452|null_verifier=ed25519_sigalgs	cubic	converged	connections_per_second	7	7	8	2186.029936		2186.029936	2177.969503	2196.428205	0.008444	2095.979889	2006.373239	insufficient_order_stat_support	1.000000	1.000000	ok	incremental_improvement_-1.71pct_le_1.00pct
picoperf	download	iouring	loopback	publication	1	cc=cubic|pmtud=off|packet_train=off|bdp_frame=on|bdp_seed=off|seed_now=off|udp_gso=common_cpp_after_impairment|udp_gro=on|mtu=1452|null_verifier=ed25519_sigalgs	cubic	converged	throughput_gbps	1	1	2	5.260865		5.260865	5.199374	5.426458	0.043165	4.389003	3.466028	insufficient_order_stat_support	1.000000	1.000000	ok	incremental_improvement_-34.78pct_le_1.00pct
