binary	scenario	network	path_profile	metric	capacity_index	curve_efficiency	client_count_efficiency	score	selected_threads	combined_p50
lsperf	connect	iouring	loopback	connections_per_second	0.866955	0.739357	0.357143	75.858368	14	8218.529108
mvfstperf	connect	iouring	loopback	connections_per_second	0.085921	0.796987	0.714286	35.794209	7	814.508460
neqoperf	connect	iouring	loopback	connections_per_second	0.078077	0.811301	1.000000	39.967124	5	740.149649
ngtcp2perf	connect	iouring	loopback	connections_per_second	1.000000	0.721110	0.333333	83.027746	15	9479.765286
noqperf	connect	iouring	loopback	connections_per_second	0.694833	0.758721	0.357143	66.015156	14	6586.856038
picoperf	connect	iouring	loopback	connections_per_second	0.522884	0.737145	0.333333	54.801644	15	4956.814811
quicheperf	connect	iouring	loopback	connections_per_second	0.627238	0.708489	0.416667	61.596527	12	5946.071760
quiczigperf	connect	iouring	loopback	connections_per_second	0.416215	0.782344	0.384615	50.300750	13	3945.621942
quinnperf	connect	iouring	loopback	connections_per_second	0.746182	0.733185	0.416667	69.350544	12	7073.630181
s2nperf	connect	iouring	loopback	connections_per_second	0.653566	0.734505	0.333333	62.576571	15	6195.650051
tquicperf	connect	iouring	loopback	connections_per_second	0.704058	0.702424	0.500000	67.304098	10	6674.308505
xquicperf	connect	iouring	loopback	connections_per_second	0.908263	0.728395	0.312500	77.393180	16	8610.124587
lsperf	connect	syscall	loopback	connections_per_second	0.912418	0.723769	1.000000	87.839310	4	3379.018615
mvfstperf	connect	syscall	loopback	connections_per_second	0.230941	0.761295	0.500000	40.388831	8	855.259146
neqoperf	connect	syscall	loopback	connections_per_second	0.220432	0.760592	0.666667	42.240733	6	816.341077
ngtcp2perf	connect	syscall	loopback	connections_per_second	0.810074	0.785843	0.571429	76.821967	7	3000.001180
noqperf	connect	syscall	loopback	connections_per_second	0.829880	0.791482	0.666667	79.579854	6	3073.349770
picoperf	connect	syscall	loopback	connections_per_second	0.590282	0.798257	0.571429	63.944775	7	2186.029936
quicheperf	connect	syscall	loopback	connections_per_second	0.659261	0.784328	0.571429	67.735260	7	2441.483215
quiczigperf	connect	syscall	loopback	connections_per_second	0.578777	0.818790	0.800000	67.196390	5	2143.424417
quinnperf	connect	syscall	loopback	connections_per_second	0.803871	0.773092	1.000000	82.559547	4	2977.028027
s2nperf	connect	syscall	loopback	connections_per_second	0.779454	0.774561	0.571429	74.702703	7	2886.603950
tquicperf	connect	syscall	loopback	connections_per_second	0.714711	0.791586	0.571429	71.243770	7	2646.837820
xquicperf	connect	syscall	loopback	connections_per_second	1.000000	0.732234	0.571429	86.877268	7	3703.365929
lsperf	download	iouring	loopback	throughput_gbps	0.693618	1.000000	1.000000	81.617055	1	11.384127
mvfstperf	download	iouring	loopback	throughput_gbps	0.402895	1.000000	1.000000	64.173719	1	6.612594
neqoperf	download	iouring	loopback	throughput_gbps	0.255449	1.000000	1.000000	55.326944	1	4.192605
