scenario	network	path_profile	metric	binary_a	binary_b	a_p50	b_p50	a_vs_b_median_ratio	a_vs_b_ci95_low	a_vs_b_ci95_high	relation
bidi	iouring	loopback	throughput_gbps	lsperf	mvfstperf	7.822681	6.874085	1.137996	1.132144	1.164850	win
bidi	iouring	loopback	throughput_gbps	lsperf	neqoperf	7.822681	3.277641	2.386680	2.317343	2.442215	win
bidi	iouring	loopback	throughput_gbps	lsperf	ngtcp2perf	7.822681	19.788401	0.395316	0.394031	0.411760	loss
bidi	iouring	loopback	throughput_gbps	lsperf	noqperf	7.822681	3.809868	2.053268	1.982585	2.192769	win
bidi	iouring	loopback	throughput_gbps	lsperf	picoperf	7.822681	4.898515	1.596949	1.534319	1.640440	win
bidi	iouring	loopback	throughput_gbps	lsperf	quicheperf	7.822681	9.784548	0.799493	0.791924	0.818701	loss
bidi	iouring	loopback	throughput_gbps	lsperf	quiczigperf	7.822681	8.875241	0.881405	0.880750	0.903093	loss
bidi	iouring	loopback	throughput_gbps	lsperf	quinnperf	7.822681	4.401495	1.777278	1.736905	1.822845	win
bidi	iouring	loopback	throughput_gbps	lsperf	s2nperf	7.822681	5.344467	1.463697	1.443039	1.518115	win
bidi	iouring	loopback	throughput_gbps	lsperf	tquicperf	7.822681	7.974020	0.981021	0.974334	1.016101	statistical_tie
bidi	iouring	loopback	throughput_gbps	lsperf	xquicperf	7.822681	2.070016	3.779044	3.729048	3.880320	win
bidi	iouring	loopback	throughput_gbps	mvfstperf	neqoperf	6.874085	3.277641	2.097266	2.032035	2.111889	win
bidi	iouring	loopback	throughput_gbps	mvfstperf	ngtcp2perf	6.874085	19.788401	0.347379	0.345518	0.356066	loss
bidi	iouring	loopback	throughput_gbps	mvfstperf	noqperf	6.874085	3.809868	1.804284	1.738492	1.896183	win
bidi	iouring	loopback	throughput_gbps	mvfstperf	picoperf	6.874085	4.898515	1.403300	1.345416	1.418560	win
bidi	iouring	loopback	throughput_gbps	mvfstperf	quicheperf	6.874085	9.784548	0.702545	0.694423	0.707966	loss
bidi	iouring	loopback	throughput_gbps	mvfstperf	quiczigperf	6.874085	8.875241	0.774524	0.772313	0.780944	loss
bidi	iouring	loopback	throughput_gbps	mvfstperf	quinnperf	6.874085	4.401495	1.561762	1.523060	1.576293	win
bidi	iouring	loopback	throughput_gbps	mvfstperf	s2nperf	6.874085	5.344467	1.286206	1.265374	1.312780	win
bidi	iouring	loopback	throughput_gbps	mvfstperf	tquicperf	6.874085	7.974020	0.862060	0.854376	0.878667	loss
bidi	iouring	loopback	throughput_gbps	mvfstperf	xquicperf	6.874085	2.070016	3.320789	3.269934	3.355481	win
bidi	iouring	loopback	throughput_gbps	neqoperf	ngtcp2perf	3.277641	19.788401	0.165634	0.164800	0.173957	loss
bidi	iouring	loopback	throughput_gbps	neqoperf	noqperf	3.277641	3.809868	0.860303	0.829200	0.926385	loss
bidi	iouring	loopback	throughput_gbps	neqoperf	picoperf	3.277641	4.898515	0.669109	0.641716	0.693041	loss
bidi	iouring	loopback	throughput_gbps	neqoperf	quicheperf	3.277641	9.784548	0.334981	0.331215	0.345879	loss
bidi	iouring	loopback	throughput_gbps	neqoperf	quiczigperf	3.277641	8.875241	0.369302	0.368366	0.381532	loss
bidi	iouring	loopback	throughput_gbps	neqoperf	quinnperf	3.277641	4.401495	0.744665	0.726446	0.770102	loss
bidi	iouring	loopback	throughput_gbps	neqoperf	s2nperf	3.277641	5.344467	0.613277	0.603539	0.641362	loss
bidi	iouring	loopback	throughput_gbps	neqoperf	tquicperf	3.277641	7.974020	0.411040	0.407507	0.429275	loss
bidi	iouring	loopback	throughput_gbps	neqoperf	xquicperf	3.277641	2.070016	1.583390	1.559643	1.639329	win
bidi	iouring	loopback	throughput_gbps	ngtcp2perf	noqperf	19.788401	3.809868	5.193986	4.918121	5.448186	win
bidi	iouring	loopback	throughput_gbps	ngtcp2perf	picoperf	19.788401	4.898515	4.039674	3.806125	4.075861	win
bidi	iouring	loopback	throughput_gbps	ngtcp2perf	quicheperf	19.788401	9.784548	2.022414	1.964494	2.034156	win
bidi	iouring	loopback	throughput_gbps	ngtcp2perf	quiczigperf	19.788401	8.875241	2.229618	2.184841	2.243837	win
bidi	iouring	loopback	throughput_gbps	ngtcp2perf	quinnperf	19.788401	4.401495	4.495837	4.308673	4.529067	win
bidi	iouring	loopback	throughput_gbps	ngtcp2perf	s2nperf	19.788401	5.344467	3.702596	3.579690	3.771931	win
bidi	iouring	loopback	throughput_gbps	ngtcp2perf	tquicperf	19.788401	7.974020	2.481609	2.416992	2.524619	win
bidi	iouring	loopback	throughput_gbps	ngtcp2perf	xquicperf	19.788401	2.070016	9.559543	9.250502	9.641098	win
bidi	iouring	loopback	throughput_gbps	noqperf	picoperf	3.809868	4.898515	0.777760	0.714717	0.810061	loss
bidi	iouring	loopback	throughput_gbps	noqperf	quicheperf	3.809868	9.784548	0.389376	0.368894	0.404280	loss
bidi	iouring	loopback	throughput_gbps	noqperf	quiczigperf	3.809868	8.875241	0.429269	0.410271	0.445953	loss
bidi	iouring	loopback	throughput_gbps	noqperf	quinnperf	3.809868	4.401495	0.865585	0.809085	0.900133	loss
bidi	iouring	loopback	throughput_gbps	noqperf	s2nperf	3.809868	5.344467	0.712862	0.672196	0.749656	loss
bidi	iouring	loopback	throughput_gbps	noqperf	tquicperf	3.809868	7.974020	0.477785	0.453864	0.501758	loss
bidi	iouring	loopback	throughput_gbps	noqperf	xquicperf	3.809868	2.070016	1.840502	1.737065	1.916128	win
bidi	iouring	loopback	throughput_gbps	picoperf	quicheperf	4.898515	9.784548	0.500638	0.493099	0.522394	loss
bidi	iouring	loopback	throughput_gbps	picoperf	quiczigperf	4.898515	8.875241	0.551930	0.548407	0.576243	loss
bidi	iouring	loopback	throughput_gbps	picoperf	quinnperf	4.898515	4.401495	1.112921	1.081501	1.163116	win
bidi	iouring	loopback	throughput_gbps	picoperf	s2nperf	4.898515	5.344467	0.916558	0.898522	0.968675	loss
bidi	iouring	loopback	throughput_gbps	picoperf	tquicperf	4.898515	7.974020	0.614309	0.606678	0.648351	loss
bidi	iouring	loopback	throughput_gbps	picoperf	xquicperf	4.898515	2.070016	2.366415	2.321927	2.475943	win
bidi	iouring	loopback	throughput_gbps	quicheperf	quiczigperf	9.784548	8.875241	1.102454	1.098850	1.116447	win
bidi	iouring	loopback	throughput_gbps	quicheperf	quinnperf	9.784548	4.401495	2.223006	2.167016	2.253489	win
bidi	iouring	loopback	throughput_gbps	quicheperf	s2nperf	9.784548	5.344467	1.830781	1.800379	1.876767	win
bidi	iouring	loopback	throughput_gbps	quicheperf	tquicperf	9.784548	7.974020	1.227053	1.215608	1.256153	win
bidi	iouring	loopback	throughput_gbps	quicheperf	xquicperf	9.784548	2.070016	4.726799	4.652473	4.797038	win
bidi	iouring	loopback	throughput_gbps	quiczigperf	quinnperf	8.875241	4.401495	2.016415	1.964513	2.026218	win
bidi	iouring	loopback	throughput_gbps	quiczigperf	s2nperf	8.875241	5.344467	1.660641	1.632137	1.687490	win
bidi	iouring	loopback	throughput_gbps	quiczigperf	tquicperf	8.875241	7.974020	1.113020	1.102013	1.129467	win
bidi	iouring	loopback	throughput_gbps	quiczigperf	xquicperf	8.875241	2.070016	4.287524	4.217710	4.313244	win
bidi	iouring	loopback	throughput_gbps	quinnperf	s2nperf	4.401495	5.344467	0.823561	0.808610	0.855692	loss
bidi	iouring	loopback	throughput_gbps	quinnperf	tquicperf	4.401495	7.974020	0.551979	0.545970	0.572730	loss
bidi	iouring	loopback	throughput_gbps	quinnperf	xquicperf	4.401495	2.070016	2.126310	2.089581	2.187159	win
bidi	iouring	loopback	throughput_gbps	s2nperf	tquicperf	5.344467	7.974020	0.670235	0.655563	0.689363	loss
bidi	iouring	loopback	throughput_gbps	s2nperf	xquicperf	5.344467	2.070016	2.581849	2.509021	2.632561	win
bidi	iouring	loopback	throughput_gbps	tquicperf	xquicperf	7.974020	2.070016	3.852155	3.748626	3.898959	win
