binary	scenario	network	path_profile	tier	publication_eligible	adapter_features	congestion_controller	metric	client_threads	curve_role	phase	samples	blocks	p50	p90	p99	p99_status	p50_ci95_low	p50_ci95_high	p50_ci95_relative_width	p20	p80	p20_p80_ratio	convergence_status	reason
lsperf	bidi	iouring	loopback	publication	1	cc=cubic|pacing=on|spin=on|ql_bits=2|ecn=off|pmtud=off|send_batch=50|udp_gso=common_cpp|udp_gro=on	cubic	throughput_gbps	1	baseline_1c1s+selected_saturation	discovery	20	2	7.822681	5.464417	5.403358	insufficient_order_stat_support	7.822681	7.990367	0.021436	5.504252	10.917238	1.983419	converged	p80_p20_1.9834_gt_1.1500
lsperf	bidi	iouring	loopback	publication	1	cc=cubic|pacing=on|spin=on|ql_bits=2|ecn=off|pmtud=off|send_batch=50|udp_gso=common_cpp|udp_gro=on	cubic	throughput_gbps	1	baseline_1c1s+selected_saturation	combined	20	2	7.822681	5.464417	5.403358	insufficient_order_stat_support	7.822681	7.990367	0.021436	5.504252	10.917238	1.983419	converged	p80_p20_1.9834_gt_1.1500
lsperf	bidi	iouring	loopback	publication	1	cc=cubic|pacing=on|spin=on|ql_bits=2|ecn=off|pmtud=off|send_batch=50|udp_gso=common_cpp|udp_gro=on	cubic	throughput_gbps	2	plateau_sentinel+post_selected	discovery	20	2	1.687003	1.625431	1.550424	insufficient_order_stat_support	1.687003	1.687135	0.000078	1.637884	2.372167	1.448312	converged	p80_p20_1.4483_gt_1.1500;outliers_4
lsperf	bidi	iouring	loopback	publication	1	cc=cubic|pacing=on|spin=on|ql_bits=2|ecn=off|pmtud=off|send_batch=50|udp_gso=common_cpp|udp_gro=on	cubic	throughput_gbps	2	plateau_sentinel+post_selected	combined	20	2	1.687003	1.625431	1.550424	insufficient_order_stat_support	1.687003	1.687135	0.000078	1.637884	2.372167	1.448312	converged	p80_p20_1.4483_gt_1.1500;outliers_4
lsperf	bidi	syscall	loopback	publication	1	cc=cubic|pacing=on|spin=on|ql_bits=2|ecn=off|pmtud=off|send_batch=50|udp_gso=common_cpp|udp_gro=on	cubic	throughput_gbps	1	baseline_1c1s+selected_saturation	discovery	20	2	13.660326	12.168159	6.048718	insufficient_order_stat_support	13.395053	13.882312	0.035670	12.966827	14.323756	1.104646	converged	p50_ci_width_0.0357_gt_0.0300
lsperf	bidi	syscall	loopback	publication	1	cc=cubic|pacing=on|spin=on|ql_bits=2|ecn=off|pmtud=off|send_batch=50|udp_gso=common_cpp|udp_gro=on	cubic	throughput_gbps	1	baseline_1c1s+selected_saturation	combined	20	2	13.660326	12.168159	6.048718	insufficient_order_stat_support	13.395053	13.882312	0.035670	12.966827	14.323756	1.104646	converged	p50_ci_width_0.0357_gt_0.0300
lsperf	bidi	syscall	loopback	publication	1	cc=cubic|pacing=on|spin=on|ql_bits=2|ecn=off|pmtud=off|send_batch=50|udp_gso=common_cpp|udp_gro=on	cubic	throughput_gbps	2	plateau_sentinel+post_selected	discovery	20	2	6.890518	5.865086	5.711702	insufficient_order_stat_support	6.799640	7.741874	0.136744	6.088760	9.105410	1.495446	converged	p50_ci_width_0.1367_gt_0.0300;p80_p20_1.4954_gt_1.1500;block_median_ratio_1.1386_gt_1.1000
lsperf	bidi	syscall	loopback	publication	1	cc=cubic|pacing=on|spin=on|ql_bits=2|ecn=off|pmtud=off|send_batch=50|udp_gso=common_cpp|udp_gro=on	cubic	throughput_gbps	2	plateau_sentinel+post_selected	combined	20	2	6.890518	5.865086	5.711702	insufficient_order_stat_support	6.799640	7.741874	0.136744	6.088760	9.105410	1.495446	converged	p50_ci_width_0.1367_gt_0.0300;p80_p20_1.4954_gt_1.1500;block_median_ratio_1.1386_gt_1.1000
lsperf	close_reset_cleanup	iouring	loopback	lifecycle	0	cc=cubic|pacing=on|spin=on|ql_bits=2|ecn=off|pmtud=off|send_batch=50|udp_gso=common_cpp|udp_gro=on	cubic	streams_per_second	1	baseline_1c1s+selected_saturation+plateau_sentinel	discovery	2	1	90383.210335	90202.613175	90161.978814	insufficient_order_stat_support	90157.463885	90608.956784	0.004995	90247.762465	90518.658204	1.003002	not_ready	blocks_1_lt_2;samples_2_lt_20
lsperf	close_reset_cleanup	iouring	loopback	lifecycle	0	cc=cubic|pacing=on|spin=on|ql_bits=2|ecn=off|pmtud=off|send_batch=50|udp_gso=common_cpp|udp_gro=on	cubic	streams_per_second	1	baseline_1c1s+selected_saturation+plateau_sentinel	combined	2	1	90383.210335	90202.613175	90161.978814	insufficient_order_stat_support	90157.463885	90608.956784	0.004995	90247.762465	90518.658204	1.003002	not_ready	blocks_1_lt_2;samples_2_lt_20
lsperf	close_reset_cleanup	syscall	loopback	lifecycle	0	cc=cubic|pacing=on|spin=on|ql_bits=2|ecn=off|pmtud=off|send_batch=50|udp_gso=common_cpp|udp_gro=on	cubic	streams_per_second	1	baseline_1c1s+selected_saturation+plateau_sentinel	discovery	2	1	178037.631522	177460.389284	177330.509780	insufficient_order_stat_support	177316.078724	178759.184320	0.008106	177604.699843	178470.563201	1.004875	not_ready	blocks_1_lt_2;samples_2_lt_20
lsperf	close_reset_cleanup	syscall	loopback	lifecycle	0	cc=cubic|pacing=on|spin=on|ql_bits=2|ecn=off|pmtud=off|send_batch=50|udp_gso=common_cpp|udp_gro=on	cubic	streams_per_second	1	baseline_1c1s+selected_saturation+plateau_sentinel	combined	2	1	178037.631522	177460.389284	177330.509780	insufficient_order_stat_support	177316.078724	178759.184320	0.008106	177604.699843	178470.563201	1.004875	not_ready	blocks_1_lt_2;samples_2_lt_20
