binary	scenario	network	path_profile	tier	publication_eligible	adapter_features	congestion_controller	metric	client_threads	publication_role	discovery_status	confirm_status	combined_status	combined_samples	combined_p50	combined_p50_ci95_low	combined_p50_ci95_high	combined_p50_ci95_relative_width	combined_p20_p80_ratio	publication_status	reason
lsperf	bidi	iouring	loopback	publication	1	cc=cubic|pacing=on|spin=on|ql_bits=2|ecn=off|pmtud=off|send_batch=50|udp_gso=common_cpp|udp_gro=on	cubic	throughput_gbps	1	baseline_1c1s+selected_saturation	converged	converged	converged	20	7.822681	7.822681	7.990367	0.021436	1.983419	converged	p80_p20_1.9834_gt_1.1500;confirm_disabled;p80_p20_1.9834_gt_1.1500
lsperf	bidi	iouring	loopback	publication	1	cc=cubic|pacing=on|spin=on|ql_bits=2|ecn=off|pmtud=off|send_batch=50|udp_gso=common_cpp|udp_gro=on	cubic	throughput_gbps	2	plateau_sentinel+post_selected	converged	converged	converged	20	1.687003	1.687003	1.687135	0.000078	1.448312	converged	p80_p20_1.4483_gt_1.1500;outliers_4;confirm_disabled;p80_p20_1.4483_gt_1.1500;outliers_4
lsperf	bidi	syscall	loopback	publication	1	cc=cubic|pacing=on|spin=on|ql_bits=2|ecn=off|pmtud=off|send_batch=50|udp_gso=common_cpp|udp_gro=on	cubic	throughput_gbps	1	baseline_1c1s+selected_saturation	converged	converged	converged	20	13.660326	13.395053	13.882312	0.035670	1.104646	converged	p50_ci_width_0.0357_gt_0.0300;confirm_disabled;p50_ci_width_0.0357_gt_0.0300
lsperf	bidi	syscall	loopback	publication	1	cc=cubic|pacing=on|spin=on|ql_bits=2|ecn=off|pmtud=off|send_batch=50|udp_gso=common_cpp|udp_gro=on	cubic	throughput_gbps	2	plateau_sentinel+post_selected	converged	converged	converged	20	6.890518	6.799640	7.741874	0.136744	1.495446	converged	p50_ci_width_0.1367_gt_0.0300;p80_p20_1.4954_gt_1.1500;block_median_ratio_1.1386_gt_1.1000;confirm_disabled;p50_ci_width_0.1367_gt_0.0300;p80_p20_1.4954_gt_1.1500;block_median_ratio_1.1386_gt_1.1000
lsperf	close_reset_cleanup	iouring	loopback	lifecycle	0	cc=cubic|pacing=on|spin=on|ql_bits=2|ecn=off|pmtud=off|send_batch=50|udp_gso=common_cpp|udp_gro=on	cubic	streams_per_second	1	baseline_1c1s+selected_saturation+plateau_sentinel	not_ready	converged	not_ready	2	90383.210335	90157.463885	90608.956784	0.004995	1.003002	converged	blocks_1_lt_2;samples_2_lt_20;lifecycle_tier_smoke_only;blocks_1_lt_2;samples_2_lt_20
lsperf	close_reset_cleanup	syscall	loopback	lifecycle	0	cc=cubic|pacing=on|spin=on|ql_bits=2|ecn=off|pmtud=off|send_batch=50|udp_gso=common_cpp|udp_gro=on	cubic	streams_per_second	1	baseline_1c1s+selected_saturation+plateau_sentinel	not_ready	converged	not_ready	2	178037.631522	177316.078724	178759.184320	0.008106	1.004875	converged	blocks_1_lt_2;samples_2_lt_20;lifecycle_tier_smoke_only;blocks_1_lt_2;samples_2_lt_20
lsperf	connect	iouring	loopback	publication	1	cc=cubic|pacing=on|spin=on|ql_bits=2|ecn=off|pmtud=off|send_batch=50|udp_gso=common_cpp|udp_gro=on	cubic	connections_per_second	17	selected_saturation	converged	converged	converged	20	8885.626414	8885.626414	8942.294966	0.006378	1.145261	converged	confirm_disabled
lsperf	connect	iouring	loopback	publication	1	cc=cubic|pacing=on|spin=on|ql_bits=2|ecn=off|pmtud=off|send_batch=50|udp_gso=common_cpp|udp_gro=on	cubic	connections_per_second	18	plateau_sentinel+post_selected	converged	converged	converged	20	8850.736930	8830.756258	8910.542245	0.009015	1.053532	converged	confirm_disabled
lsperf	connect	syscall	loopback	publication	1	cc=cubic|pacing=on|spin=on|ql_bits=2|ecn=off|pmtud=off|send_batch=50|udp_gso=common_cpp|udp_gro=on	cubic	connections_per_second	7	selected_saturation	converged	converged	converged	20	3752.906776	3463.606911	3945.519014	0.128410	1.162758	converged	p50_ci_width_0.1284_gt_0.0500;p80_p20_1.1628_gt_1.1500;block_median_ratio_1.1391_gt_1.1000;confirm_disabled;p50_ci_width_0.1284_gt_0.0500;p80_p20_1.1628_gt_1.1500;block_median_ratio_1.1391_gt_1.1000
lsperf	connect	syscall	loopback	publication	1	cc=cubic|pacing=on|spin=on|ql_bits=2|ecn=off|pmtud=off|send_batch=50|udp_gso=common_cpp|udp_gro=on	cubic	connections_per_second	8	plateau_sentinel+post_selected	converged	converged	converged	20	3606.154369	3489.624254	3909.305760	0.116379	1.196722	converged	p50_ci_width_0.1164_gt_0.0500;p80_p20_1.1967_gt_1.1500;block_median_ratio_1.1203_gt_1.1000;confirm_disabled;p50_ci_width_0.1164_gt_0.0500;p80_p20_1.1967_gt_1.1500;block_median_ratio_1.1203_gt_1.1000
