binary	scenario	network	path_profile	client_threads	metric	phase	samples	blocks	median	p50_ci95_low	p50_ci95_high	p50_ci95_relative_width	p20	p80	p20_p80_ratio	p90	p99	p99_status	mad_relative	block_median_ratio	drift_relative	lag1_autocorr	outlier_count	convergence_status	reason
lsperf	bidi	iouring	loopback	1	throughput_gbps	discovery	20	2	7.822681	7.822681	7.990367	0.021436	5.504252	10.917238	1.983419	5.464417	5.403358	insufficient_order_stat_support	0.306489	1.021436	0.000000	0.100129	0	converged	p80_p20_1.9834_gt_1.1500
lsperf	bidi	iouring	loopback	1	throughput_gbps	combined	20	2	7.822681	7.822681	7.990367	0.021436	5.504252	10.917238	1.983419	5.464417	5.403358	insufficient_order_stat_support	0.306489	1.021436	0.000000	0.100129	0	converged	p80_p20_1.9834_gt_1.1500
lsperf	bidi	iouring	loopback	2	throughput_gbps	discovery	20	2	1.687003	1.687003	1.687135	0.000078	1.637884	2.372167	1.448312	1.625431	1.550424	insufficient_order_stat_support	0.027256	1.000078	0.000000	-0.247368	4	converged	p80_p20_1.4483_gt_1.1500;outliers_4
lsperf	bidi	iouring	loopback	2	throughput_gbps	combined	20	2	1.687003	1.687003	1.687135	0.000078	1.637884	2.372167	1.448312	1.625431	1.550424	insufficient_order_stat_support	0.027256	1.000078	0.000000	-0.247368	4	converged	p80_p20_1.4483_gt_1.1500;outliers_4
lsperf	bidi	syscall	loopback	1	throughput_gbps	discovery	20	2	13.660326	13.395053	13.882312	0.035670	12.966827	14.323756	1.104646	12.168159	6.048718	insufficient_order_stat_support	0.046232	1.036376	0.000000	-0.026845	0	converged	p50_ci_width_0.0357_gt_0.0300
lsperf	bidi	syscall	loopback	1	throughput_gbps	combined	20	2	13.660326	13.395053	13.882312	0.035670	12.966827	14.323756	1.104646	12.168159	6.048718	insufficient_order_stat_support	0.046232	1.036376	0.000000	-0.026845	0	converged	p50_ci_width_0.0357_gt_0.0300
lsperf	bidi	syscall	loopback	2	throughput_gbps	discovery	20	2	6.890518	6.799640	7.741874	0.136744	6.088760	9.105410	1.495446	5.865086	5.711702	insufficient_order_stat_support	0.127536	1.138571	0.000000	0.111514	0	converged	p50_ci_width_0.1367_gt_0.0300;p80_p20_1.4954_gt_1.1500;block_median_ratio_1.1386_gt_1.1000
lsperf	bidi	syscall	loopback	2	throughput_gbps	combined	20	2	6.890518	6.799640	7.741874	0.136744	6.088760	9.105410	1.495446	5.865086	5.711702	insufficient_order_stat_support	0.127536	1.138571	0.000000	0.111514	0	converged	p50_ci_width_0.1367_gt_0.0300;p80_p20_1.4954_gt_1.1500;block_median_ratio_1.1386_gt_1.1000
lsperf	close_reset_cleanup	iouring	loopback	1	streams_per_second	discovery	2	1	90383.210335	90157.463885	90608.956784	0.004995	90247.762465	90518.658204	1.003002	90202.613175	90161.978814	insufficient_order_stat_support	0.002498	1.000000	0.000000	0.000000	0	not_ready	blocks_1_lt_2;samples_2_lt_20
lsperf	close_reset_cleanup	iouring	loopback	1	streams_per_second	combined	2	1	90383.210335	90157.463885	90608.956784	0.004995	90247.762465	90518.658204	1.003002	90202.613175	90161.978814	insufficient_order_stat_support	0.002498	1.000000	0.000000	0.000000	0	not_ready	blocks_1_lt_2;samples_2_lt_20
lsperf	close_reset_cleanup	syscall	loopback	1	streams_per_second	discovery	2	1	178037.631522	177316.078724	178759.184320	0.008106	177604.699843	178470.563201	1.004875	177460.389284	177330.509780	insufficient_order_stat_support	0.004053	1.000000	0.000000	0.000000	0	not_ready	blocks_1_lt_2;samples_2_lt_20
