binary	scenario	network	path_profile	metric	selected_threads	best_threads	boundary_threads	selection_probability_within_tolerance	best_p50	selected_p50	selected_vs_best_ratio	selected_vs_best_ci95_low	selected_vs_best_ci95_high	plateau_sentinel_count	edge_status	decision_status	reason
lsperf	bidi	iouring	loopback	throughput_gbps	1	1	2	1.000000	7.822681	7.822681	1.000000	1.000000	1.000000	1	ok	converged	incremental_improvement_-78.43pct_le_1.00pct
lsperf	bidi	syscall	loopback	throughput_gbps	1	1	2	1.000000	13.660326	13.660326	1.000000	1.000000	1.000000	1	ok	converged	incremental_improvement_-49.56pct_le_1.00pct
lsperf	close_reset_cleanup	iouring	loopback	streams_per_second	1	1	1	1.000000	90383.210335	90383.210335	1.000000	1.000000	1.000000	0	tier_smoke	converged	lifecycle_tier_smoke_only
lsperf	close_reset_cleanup	syscall	loopback	streams_per_second	1	1	1	1.000000	178037.631522	178037.631522	1.000000	1.000000	1.000000	0	tier_smoke	converged	lifecycle_tier_smoke_only
lsperf	connect	iouring	loopback	connections_per_second	17	17	18	1.000000	8885.626414	8885.626414	1.000000	1.000000	1.000000	1	ok	converged	incremental_improvement_-0.39pct_le_1.00pct
lsperf	connect	syscall	loopback	connections_per_second	7	7	8	1.000000	3752.906776	3752.906776	1.000000	1.000000	1.000000	1	ok	converged	incremental_improvement_-3.91pct_le_1.00pct
lsperf	datagram	iouring	loopback	datagrams_per_second	1	1	2	1.000000	1176187.963566	1176187.963566	1.000000	1.000000	1.000000	1	ok	converged	incremental_improvement_-93.58pct_le_1.00pct
lsperf	datagram	syscall	loopback	datagrams_per_second	1	1	2	1.000000	1159040.174023	1159040.174023	1.000000	1.000000	1.000000	1	ok	converged	incremental_improvement_-49.58pct_le_1.00pct
lsperf	download	iouring	loopback	throughput_gbps	1	1	2	1.000000	11.340348	11.340348	1.000000	1.000000	1.000000	1	ok	converged	incremental_improvement_-61.35pct_le_1.00pct
lsperf	download	syscall	loopback	throughput_gbps	1	1	2	1.000000	11.381341	11.381341	1.000000	1.000000	1.000000	1	ok	converged	incremental_improvement_-58.86pct_le_1.00pct
lsperf	flow_control	iouring	loopback	throughput_gbps	1	1	2	1.000000	8.823987	8.823987	1.000000	1.000000	1.000000	1	ok	converged	incremental_improvement_-48.16pct_le_1.00pct
lsperf	flow_control	syscall	loopback	throughput_gbps	1	1	2	1.000000	10.813879	10.813879	1.000000	1.000000	1.000000	1	ok	converged	incremental_improvement_-63.55pct_le_1.00pct
lsperf	idle_footprint	iouring	loopback	server_rss_delta_bytes_per_connection	1	1	1	1.000000	184320.000000	184320.000000	1.000000	1.000000	1.000000	0	tier_smoke	converged	lifecycle_tier_smoke_only
lsperf	idle_footprint	syscall	loopback	server_rss_delta_bytes_per_connection	1	1	1	1.000000	206848.000000	206848.000000	1.000000	1.000000	1.000000	0	tier_smoke	converged	lifecycle_tier_smoke_only
lsperf	loss_recovery	iouring	loopback	throughput_gbps	1	1	2	1.000000	13.332645	13.332645	1.000000	1.000000	1.000000	1	ok	converged	incremental_improvement_-56.13pct_le_1.00pct
lsperf	loss_recovery	syscall	loopback	throughput_gbps	1	1	2	1.000000	13.038571	13.038571	1.000000	1.000000	1.000000	1	ok	converged	incremental_improvement_-45.80pct_le_1.00pct
lsperf	multistream_download	iouring	loopback	throughput_gbps	1	1	2	1.000000	10.700913	10.700913	1.000000	1.000000	1.000000	1	ok	converged	incremental_improvement_-96.90pct_le_1.00pct
lsperf	multistream_download	syscall	loopback	throughput_gbps	3	3	4	1.000000	4.230865	4.230865	1.000000	1.000000	1.000000	1	ok	converged	incremental_improvement_-10.56pct_le_1.00pct
lsperf	multistream_upload	iouring	loopback	throughput_gbps	2	2	3	1.000000	14.291707	14.291707	1.000000	1.000000	1.000000	1	ok	converged	incremental_improvement_-9.67pct_le_1.00pct
lsperf	multistream_upload	syscall	loopback	throughput_gbps	5	5	6	1.000000	14.567251	14.567251	1.000000	1.000000	1.000000	1	ok	converged	incremental_improvement_-4.41pct_le_1.00pct
lsperf	reqresp	iouring	loopback	requests_per_second	1	1	1	1.000000	8769.579712	8769.579712	1.000000	1.000000	1.000000	0	tier_smoke	converged	lifecycle_tier_smoke_only
lsperf	reqresp	syscall	loopback	requests_per_second	1	1	1	1.000000	79733.273568	79733.273568	1.000000	1.000000	1.000000	0	tier_smoke	converged	lifecycle_tier_smoke_only
lsperf	resumed_connect	iouring	loopback	connections_per_second	1	1	1	1.000000	3071.724818	3071.724818	1.000000	1.000000	1.000000	0	tier_smoke	converged	capability_tier_smoke_only
lsperf	resumed_connect	syscall	loopback	connections_per_second	1	1	1	1.000000	2256.244316	2256.244316	1.000000	1.000000	1.000000	0	tier_smoke	converged	capability_tier_smoke_only
lsperf	small_payload_pps	iouring	loopback	messages_per_second	1	1	2	1.000000	32939.523730	32939.523730	1.000000	1.000000	1.000000	1	ok	converged	incremental_improvement_-6.77pct_le_1.00pct
lsperf	small_payload_pps	syscall	loopback	messages_per_second	1	1	2	1.000000	91119.913021	91119.913021	1.000000	1.000000	1.000000	1	ok	converged	incremental_improvement_-17.96pct_le_1.00pct
lsperf	stream_churn	iouring	loopback	streams_per_second	1	1	1	1.000000	90202.955396	90202.955396	1.000000	1.000000	1.000000	0	tier_smoke	converged	lifecycle_tier_smoke_only
lsperf	stream_churn	syscall	loopback	streams_per_second	1	1	1	1.000000	177669.911515	177669.911515	1.000000	1.000000	1.000000	0	tier_smoke	converged	lifecycle_tier_smoke_only
lsperf	upload	iouring	loopback	throughput_gbps	6	6	7	1.000000	20.749546	20.749546	1.000000	1.000000	1.000000	1	ok	converged	incremental_improvement_-0.92pct_le_1.00pct
lsperf	upload	syscall	loopback	throughput_gbps	5	5	6	1.000000	22.930467	22.930467	1.000000	1.000000	1.000000	1	ok	converged	incremental_improvement_-2.86pct_le_1.00pct
lsperf	zero_rtt_reqresp	iouring	loopback	requests_per_second	1	1	1	1.000000	8679.569694	8679.569694	1.000000	1.000000	1.000000	0	tier_smoke	converged	capability_tier_smoke_only
lsperf	zero_rtt_reqresp	syscall	loopback	requests_per_second	1	1	1	1.000000	78713.123591	78713.123591	1.000000	1.000000	1.000000	0	tier_smoke	converged	capability_tier_smoke_only
mvfstperf	bidi	iouring	loopback	throughput_gbps	7	7	7	1.000000	6.874085	6.874085	1.000000	1.000000	1.000000	1	ok	converged	incremental_improvement_0.28pct_le_1.00pct
mvfstperf	bidi	syscall	loopback	throughput_gbps	5	5	6	1.000000	7.106621	7.106621	1.000000	1.000000	1.000000	1	ok	converged	incremental_improvement_-0.63pct_le_1.00pct
mvfstperf	close_reset_cleanup	iouring	loopback	streams_per_second	1	1	1	1.000000	5404.044733	5404.044733	1.000000	1.000000	1.000000	0	tier_smoke	converged	lifecycle_tier_smoke_only
mvfstperf	close_reset_cleanup	syscall	loopback	streams_per_second	1	1	1	1.000000	5082.850350	5082.850350	1.000000	1.000000	1.000000	0	tier_smoke	converged	lifecycle_tier_smoke_only
mvfstperf	connect	iouring	loopback	connections_per_second	13	13	14	1.000000	996.768018	996.768018	1.000000	1.000000	1.000000	1	ok	converged	incremental_improvement_-1.00pct_le_1.00pct
mvfstperf	connect	syscall	loopback	connections_per_second	13	13	13	1.000000	953.178972	953.178972	1.000000	1.000000	1.000000	1	ok	converged	incremental_improvement_0.87pct_le_1.00pct
mvfstperf	datagram	iouring	loopback	datagrams_per_second	1	1	2	1.000000	321882.211209	321882.211209	1.000000	1.000000	1.000000	1	ok	converged	incremental_improvement_-94.13pct_le_1.00pct
mvfstperf	datagram	syscall	loopback	datagrams_per_second	1	1	2	1.000000	16130.284330	16130.284330	1.000000	1.000000	1.000000	1	ok	converged	incremental_improvement_-6.07pct_le_1.00pct
mvfstperf	download	iouring	loopback	throughput_gbps	1	1	2	1.000000	6.358483	6.358483	1.000000	1.000000	1.000000	1	ok	converged	incremental_improvement_-4.92pct_le_1.00pct
mvfstperf	download	syscall	loopback	throughput_gbps	2	2	2	1.000000	6.053629	6.053629	1.000000	1.000000	1.000000	1	ok	converged	incremental_improvement_0.10pct_le_1.00pct
mvfstperf	flow_control	iouring	loopback	throughput_gbps	7	7	7	1.000000	5.718577	5.718577	1.000000	1.000000	1.000000	1	ok	converged	incremental_improvement_0.88pct_le_1.00pct
mvfstperf	flow_control	syscall	loopback	throughput_gbps	6	6	6	1.000000	5.411048	5.411048	1.000000	1.000000	1.000000	1	ok	converged	incremental_improvement_0.21pct_le_1.00pct
mvfstperf	idle_footprint	iouring	loopback	server_rss_delta_bytes_per_connection	1	1	1	1.000000	2990080.000000	2990080.000000	1.000000	1.000000	1.000000	0	tier_smoke	converged	lifecycle_tier_smoke_only
mvfstperf	idle_footprint	syscall	loopback	server_rss_delta_bytes_per_connection	1	1	1	1.000000	3999744.000000	3999744.000000	1.000000	1.000000	1.000000	0	tier_smoke	converged	lifecycle_tier_smoke_only
mvfstperf	loss_recovery	iouring	loopback	throughput_gbps	1	1	2	1.000000	6.199574	6.199574	1.000000	1.000000	1.000000	1	ok	converged	incremental_improvement_-10.96pct_le_1.00pct
mvfstperf	loss_recovery	syscall	loopback	throughput_gbps	5	5	5	1.000000	6.330840	6.330840	1.000000	1.000000	1.000000	1	ok	converged	incremental_improvement_0.58pct_le_1.00pct
mvfstperf	multistream_download	iouring	loopback	throughput_gbps	2	2	2	1.000000	5.891610	5.891610	1.000000	1.000000	1.000000	1	ok	converged	incremental_improvement_0.48pct_le_1.00pct
mvfstperf	multistream_download	syscall	loopback	throughput_gbps	1	1	2	1.000000	5.797401	5.797401	1.000000	1.000000	1.000000	1	ok	converged	incremental_improvement_-0.73pct_le_1.00pct
mvfstperf	multistream_upload	iouring	loopback	throughput_gbps	14	14	15	1.000000	7.186876	7.186876	1.000000	1.000000	1.000000	1	ok	converged	incremental_improvement_-8.44pct_le_1.00pct
mvfstperf	multistream_upload	syscall	loopback	throughput_gbps	16	16	17	1.000000	7.902622	7.902622	1.000000	1.000000	1.000000	1	ok	converged	incremental_improvement_-0.27pct_le_1.00pct
mvfstperf	reqresp	iouring	loopback	requests_per_second	1	1	1	1.000000	5102.537600	5102.537600	1.000000	1.000000	1.000000	0	tier_smoke	converged	lifecycle_tier_smoke_only
mvfstperf	reqresp	syscall	loopback	requests_per_second	1	1	1	1.000000	5243.083423	5243.083423	1.000000	1.000000	1.000000	0	tier_smoke	converged	lifecycle_tier_smoke_only
mvfstperf	resumed_connect	iouring	loopback	connections_per_second	1	1	1	1.000000	1660.728816	1660.728816	1.000000	1.000000	1.000000	0	tier_smoke	converged	capability_tier_smoke_only
mvfstperf	resumed_connect	syscall	loopback	connections_per_second	1	1	1	1.000000	1514.383912	1514.383912	1.000000	1.000000	1.000000	0	tier_smoke	converged	capability_tier_smoke_only
mvfstperf	small_payload_pps	iouring	loopback	messages_per_second	8	8	9	1.000000	2591.857784	2591.857784	1.000000	1.000000	1.000000	1	ok	converged	incremental_improvement_-0.30pct_le_1.00pct
mvfstperf	small_payload_pps	syscall	loopback	messages_per_second	10	10	10	1.000000	2638.535440	2638.535440	1.000000	1.000000	1.000000	1	ok	converged	incremental_improvement_0.21pct_le_1.00pct
mvfstperf	stream_churn	iouring	loopback	streams_per_second	1	1	1	1.000000	5029.165600	5029.165600	1.000000	1.000000	1.000000	0	tier_smoke	converged	lifecycle_tier_smoke_only
mvfstperf	stream_churn	syscall	loopback	streams_per_second	1	1	1	1.000000	4553.496022	4553.496022	1.000000	1.000000	1.000000	0	tier_smoke	converged	lifecycle_tier_smoke_only
mvfstperf	upload	iouring	loopback	throughput_gbps	14	14	15	1.000000	6.759550	6.759550	1.000000	1.000000	1.000000	1	ok	converged	incremental_improvement_-6.59pct_le_1.00pct
mvfstperf	upload	syscall	loopback	throughput_gbps	15	15	16	1.000000	6.989180	6.989180	1.000000	1.000000	1.000000	1	ok	converged	incremental_improvement_-0.03pct_le_1.00pct
mvfstperf	zero_rtt_reqresp	iouring	loopback	requests_per_second	1	1	1	1.000000	3534.250380	3534.250380	1.000000	1.000000	1.000000	0	tier_smoke	converged	capability_tier_smoke_only
mvfstperf	zero_rtt_reqresp	syscall	loopback	requests_per_second	1	1	1	1.000000	3240.871519	3240.871519	1.000000	1.000000	1.000000	0	tier_smoke	converged	capability_tier_smoke_only
neqoperf	bidi	iouring	loopback	throughput_gbps	3	3	4	1.000000	3.277641	3.277641	1.000000	1.000000	1.000000	1	ok	converged	incremental_improvement_-13.46pct_le_1.00pct
neqoperf	bidi	syscall	loopback	throughput_gbps	3	3	4	1.000000	3.307537	3.307537	1.000000	1.000000	1.000000	1	ok	converged	incremental_improvement_-14.32pct_le_1.00pct
neqoperf	close_reset_cleanup	iouring	loopback	streams_per_second	1	1	1	1.000000	18036.777981	18036.777981	1.000000	1.000000	1.000000	0	tier_smoke	converged	lifecycle_tier_smoke_only
neqoperf	close_reset_cleanup	syscall	loopback	streams_per_second	1	1	1	1.000000	18165.758351	18165.758351	1.000000	1.000000	1.000000	0	tier_smoke	converged	lifecycle_tier_smoke_only
neqoperf	connect	iouring	loopback	connections_per_second	7	7	8	1.000000	836.283367	836.283367	1.000000	1.000000	1.000000	1	ok	converged	incremental_improvement_-6.20pct_le_1.00pct
neqoperf	connect	syscall	loopback	connections_per_second	8	9	9	1.000000	909.868281	906.732104	0.996553	0.992163	1.132640	1	ok	converged	incremental_improvement_0.35pct_le_1.00pct
neqoperf	datagram	iouring	loopback	datagrams_per_second	28	28	28	1.000000	203476.825321	203476.825321	1.000000	1.000000	1.000000	1	ok	converged	incremental_improvement_0.22pct_le_1.00pct
neqoperf	datagram	syscall	loopback	datagrams_per_second	24	24	24	1.000000	182034.467589	182034.467589	1.000000	1.000000	1.000000	1	ok	converged	incremental_improvement_0.93pct_le_1.00pct
neqoperf	download	iouring	loopback	throughput_gbps	1	1	2	1.000000	4.180034	4.180034	1.000000	1.000000	1.000000	1	ok	converged	incremental_improvement_-10.34pct_le_1.00pct
neqoperf	download	syscall	loopback	throughput_gbps	1	1	2	1.000000	4.130078	4.130078	1.000000	1.000000	1.000000	1	ok	converged	incremental_improvement_-10.52pct_le_1.00pct
