server	server_backend	reference_client	session	microblock_id	trial_id	fin_completed	fin_rate	reset_stream_completed	reset_stream_rate	stop_sending_completed	stop_sending_rate	connection_close_completed	connection_close_rate	aggregate_geometric_mean_rate	status
quiczigperf	iouring	ngtcp2perf	1	0c634f93982db197255685f08f858f0df9996eb1fba646a8629298ddfdde86a4	738b3bdf5234d84326c6d164fb903958b5e939e0c0641c33a7182c40c99cc908	2352	1176	2352	1176	2352	1176	2360	1180	1176.9987270146671373999865709536895383580241020254	valid
mvfstperf	iouring	ngtcp2perf	1	0c634f93982db197255685f08f858f0df9996eb1fba646a8629298ddfdde86a4	71b7f39ce38cc2d5ebafac2713935e98989e13e821859369a7af8f374fa6d7d1	432	216	432	216	448	224	432	216	217.9728074905265544148554565305520904761958923096	valid
noqperf	iouring	ngtcp2perf	1	0c634f93982db197255685f08f858f0df9996eb1fba646a8629298ddfdde86a4	fb0a4a1d99a262f821316fa4c16c7a3b652d5da029757d4a39bfe4990ad962cb	272	136	256	128	256	128	272	136	131.93938001976513759428511539117046480471037521196	valid
ngtcp2perf	iouring	ngtcp2perf	1	0c634f93982db197255685f08f858f0df9996eb1fba646a8629298ddfdde86a4	c1bef1667484287bb54452445ea4258b86a751cc5466a592f439afbcd115d657	3600	1800	3600	1800	3606	1803	3616	1808	1802.7470384161030056007156441578300959021957920538	valid
neqoperf	iouring	ngtcp2perf	1	0c634f93982db197255685f08f858f0df9996eb1fba646a8629298ddfdde86a4	16b41d8cec787c98e4f96f4fe9a1128736c359869fde624e5946d3e56a9c688e	1296	648	1280	640	1280	640	1280	640	641.9906927773651430431037503283020189325137839864	valid
lsperf	iouring	ngtcp2perf	1	0c634f93982db197255685f08f858f0df9996eb1fba646a8629298ddfdde86a4	65e38d4611266ae4680a06b34426deff5751e2d1f311d1c8435c2b072d7f9725	5220	2610	5224	2612	5227	2613.5	5228	2614	2612.3745363665304097780813188122575068289852891358	valid
s2nperf	iouring	ngtcp2perf	1	0c634f93982db197255685f08f858f0df9996eb1fba646a8629298ddfdde86a4	332b33bf5c6c00bab281dfe24a41fef60fd4a0c21ebfa725c5d3968f65cb5ef5	2316	1158	2304	1152	2304	1152	2320	1160	1155.494484201353598118862819588435940255522531586	valid
tquicperf	iouring	ngtcp2perf	1	0c634f93982db197255685f08f858f0df9996eb1fba646a8629298ddfdde86a4	313013070b6a94483c9c07aeb597601d6ca8f54bbb562a40cd18ad6cc1e5c4d7	2432	1216	2440	1220	2448	1224	2448	1224	1220.995491452130001269949223854193950118471015366	valid
quinnperf	iouring	ngtcp2perf	1	0c634f93982db197255685f08f858f0df9996eb1fba646a8629298ddfdde86a4	b248eaa94b383d8ee82703ad96f5617ea5fc2ebf429c74910a4fef8aa5e887d6	416	208	416	208	416	208	416	208	208	valid
quicheperf	iouring	ngtcp2perf	1	0c634f93982db197255685f08f858f0df9996eb1fba646a8629298ddfdde86a4	92d2557c93c299ff8bf4fa96e5a621437caa7dca19c4019c3f85b9ddb53afa34	3148	1574	3136	1568	3136	1568	3136	1568	1569.497852368444016116344720997761852053965965309	valid
xquicperf	iouring	ngtcp2perf	1	0c634f93982db197255685f08f858f0df9996eb1fba646a8629298ddfdde86a4	85b9c99af79f08c87d779ecae65e5285f6f9999f23a4ab659f51a5e10cd71f7e	336	168	332	166	336	168	336	168	167.49775222813902170948262842406082079196557729884	valid
picoperf	iouring	ngtcp2perf	1	0c634f93982db197255685f08f858f0df9996eb1fba646a8629298ddfdde86a4	cba8dae404aa059cb3a838282f72b9451f1079302f87188bea678c5a2e4e881b	3344	1672	3344	1672	3351	1675.5	3360	1680	1674.8717793980495384932405372654657008416608138442	valid
picoperf	iouring	picoperf	1	ad8d129087fc5263e3d358c076fc0c5479c42124a2c4008194379c9f68be4065	170c4611c3c03e25763e2001477f669ce89f4b70f207476ef726120f18feb0ad	4460	2230	4460	2230	4453	2226.5	4452	2226	2228.1242040553665989526101031404478042062663269695	valid
xquicperf	iouring	picoperf	1	ad8d129087fc5263e3d358c076fc0c5479c42124a2c4008194379c9f68be4065	351149592b70980feda98e54c623290348311631f611761d8bbe66ab6fbbdd88	368	184	368	184	383	191.5	368	184	185.84700293619266642549400600828100591617483559437	valid
quicheperf	iouring	picoperf	1	ad8d129087fc5263e3d358c076fc0c5479c42124a2c4008194379c9f68be4065	480d1299fb8a42dde593b7d9f547882cca2fdc191b9628757dce72936ddadb44	3616	1808	3616	1808	3616	1808	3632	1816	1809.9966899556251619133621555568490243401406016454	valid
quinnperf	iouring	picoperf	1	ad8d129087fc5263e3d358c076fc0c5479c42124a2c4008194379c9f68be4065	b4cf44435a5bba358cc45addbead85415d356fe85e4d7051ac6253340a40523a	437	218.5	448	224	448	224	448	224	222.61215511185592457281351664685195013000181382792	valid
tquicperf	iouring	picoperf	1	ad8d129087fc5263e3d358c076fc0c5479c42124a2c4008194379c9f68be4065	f30c48fcb5c5ab042a7f30c06b14e6ce101691e115b0724d6be4b93c9b89cc8b	2592	1296	2592	1296	2592	1296	2605	1302.5	1297.6219526320082034032760084319942309028124497994	valid
s2nperf	iouring	picoperf	1	ad8d129087fc5263e3d358c076fc0c5479c42124a2c4008194379c9f68be4065	a9a35ff9559c89c6cc648a59bc969836e75e2397183a2b19f8a9dd6b560a746f	2624	1312	2624	1312	2624	1312	2620	1310	1311.499713922400732889354583133592032488704819283	valid
lsperf	iouring	picoperf	1	ad8d129087fc5263e3d358c076fc0c5479c42124a2c4008194379c9f68be4065	8047f7d4cb287fe47e2c1677fa19fd148f60036f29d2e9d8e703298b5e6ba0d2	5360	2680	5360	2680	5360	2680	5360	2680	2680	valid
