estimand	server	server_backend	scenario	path_profile	phase	load	metric	planned	committed	valid	geometric_mean	status	quality_labels
fixed_treatment_server	lsperf	iouring	bidi	loopback	confirmatory	16	validated_body_bits_per_second	24	24	24	1652765440.5578418	complete	
fixed_treatment_server	lsperf	iouring	close_reset_cleanup	loopback	confirmatory	16	cleanup_geometric_mean_operations_per_second	24	24	24	2613.9885554894231	complete	
fixed_treatment_server	lsperf	iouring	connect	loopback	confirmatory	16	validated_operations_per_second	24	24	24	4983.238083797045	complete	
fixed_treatment_server	lsperf	iouring	datagram	loopback	confirmatory	16	validated_operations_per_second	24	24	24	239387.76890177224	complete	
fixed_treatment_server	lsperf	iouring	download	loopback	confirmatory	16	validated_body_bits_per_second	24	24	24	1644622965.1599302	complete	
fixed_treatment_server	lsperf	iouring	flow_control	loopback	confirmatory	16	validated_body_bits_per_second	24	24	24	914027338.09262335	complete	
fixed_treatment_server	lsperf	iouring	loss_recovery	loss_recovery_v1	confirmatory	16	validated_body_bits_per_second	24	24	24	173176845.41647109	complete	
fixed_treatment_server	lsperf	iouring	multistream_download	loopback	confirmatory	16	validated_body_bits_per_second	24	24	24	1357762897.2063303	complete	
fixed_treatment_server	lsperf	iouring	multistream_upload	loopback	confirmatory	16	validated_body_bits_per_second	24	24	24	689791539.46349633	complete	
fixed_treatment_server	lsperf	iouring	reqresp	loopback	confirmatory	16	validated_operations_per_second	24	24	24	46490.197140429897	complete	
fixed_treatment_server	lsperf	iouring	resumed_connect	loopback	confirmatory	16	validated_operations_per_second	24	24	24	4704.409759987192	complete	
fixed_treatment_server	lsperf	iouring	small_payload_pps	loopback	confirmatory	16	validated_operations_per_second	24	24	24	160942.90485282554	complete	
fixed_treatment_server	lsperf	iouring	stream_churn	loopback	confirmatory	16	validated_operations_per_second	24	24	24	51151.675292927088	complete	
fixed_treatment_server	lsperf	iouring	upload	loopback	confirmatory	16	validated_body_bits_per_second	24	24	24	1003171755.4914031	complete	
fixed_treatment_server	lsperf	iouring	zero_rtt_reqresp	loopback	confirmatory	16	validated_operations_per_second	24	24	24	4660.4980515745638	complete	
fixed_treatment_server	mvfstperf	iouring	bidi	loopback	confirmatory	16	validated_body_bits_per_second	24	24	24	643654121.5886004	complete	
fixed_treatment_server	mvfstperf	iouring	close_reset_cleanup	loopback	confirmatory	16	cleanup_geometric_mean_operations_per_second	24	24	24	224.81879071614645	complete	
fixed_treatment_server	mvfstperf	iouring	connect	loopback	confirmatory	16	validated_operations_per_second	24	24	24	267.72591787147024	complete	
fixed_treatment_server	mvfstperf	iouring	datagram	loopback	confirmatory	16	validated_operations_per_second	24	24	24	53763.962417923161	complete	
fixed_treatment_server	mvfstperf	iouring	download	loopback	confirmatory	16	validated_body_bits_per_second	24	24	24	851609359.71588647	complete	
fixed_treatment_server	mvfstperf	iouring	flow_control	loopback	confirmatory	16	validated_body_bits_per_second	24	24	24	551693511.42895639	complete	
fixed_treatment_server	mvfstperf	iouring	loss_recovery	loss_recovery_v1	confirmatory	16	validated_body_bits_per_second	24	24	24	85485450.030612648	complete	
fixed_treatment_server	mvfstperf	iouring	multistream_download	loopback	confirmatory	16	validated_body_bits_per_second	24	24	24	593039943.3007654	complete	
fixed_treatment_server	mvfstperf	iouring	multistream_upload	loopback	confirmatory	16	validated_body_bits_per_second	24	24	24	286920712.85714066	complete	
fixed_treatment_server	mvfstperf	iouring	reqresp	loopback	confirmatory	16	validated_operations_per_second	24	24	24	22158.230686652616	complete	
fixed_treatment_server	mvfstperf	iouring	resumed_connect	loopback	confirmatory	16	validated_operations_per_second	24	24	24	271.04311887660873	complete	
fixed_treatment_server	mvfstperf	iouring	small_payload_pps	loopback	confirmatory	16	validated_operations_per_second	24	24	24	82342.56858130722	complete	
fixed_treatment_server	mvfstperf	iouring	stream_churn	loopback	confirmatory	16	validated_operations_per_second	24	24	24	23442.270405156898	complete	
fixed_treatment_server	mvfstperf	iouring	upload	loopback	confirmatory	16	validated_body_bits_per_second	24	24	24	552857726.471385	complete	
fixed_treatment_server	mvfstperf	iouring	zero_rtt_reqresp	loopback	confirmatory	16	validated_operations_per_second	24	24	24	248.33316169947975	complete	
fixed_treatment_server	neqoperf	iouring	bidi	loopback	confirmatory	16	validated_body_bits_per_second	24	24	24	536808877.40959173	complete	
fixed_treatment_server	neqoperf	iouring	close_reset_cleanup	loopback	confirmatory	16	cleanup_geometric_mean_operations_per_second	24	24	24	661.49103866541952	complete	
fixed_treatment_server	neqoperf	iouring	connect	loopback	confirmatory	16	validated_operations_per_second	24	24	24	908.63667549073637	complete	
fixed_treatment_server	neqoperf	iouring	datagram	loopback	confirmatory	16	validated_operations_per_second	24	24	24	97236.471124473232	complete	
fixed_treatment_server	neqoperf	iouring	download	loopback	confirmatory	16	validated_body_bits_per_second	24	24	24	654677423.41074657	complete	
fixed_treatment_server	neqoperf	iouring	flow_control	loopback	confirmatory	16	validated_body_bits_per_second	24	24	24	378779774.68921775	complete	
fixed_treatment_server	neqoperf	iouring	loss_recovery	loss_recovery_v1	confirmatory	16	validated_body_bits_per_second	24	24	24	82658123.690709606	complete	
fixed_treatment_server	neqoperf	iouring	multistream_download	loopback	confirmatory	16	validated_body_bits_per_second	24	24	24	320921407.86705327	complete	
fixed_treatment_server	neqoperf	iouring	multistream_upload	loopback	confirmatory	16	validated_body_bits_per_second	24	24	24	212458591.25083828	complete	
fixed_treatment_server	neqoperf	iouring	reqresp	loopback	confirmatory	16	validated_operations_per_second	24	24	24	11393.798984913363	complete	
fixed_treatment_server	neqoperf	iouring	resumed_connect	loopback	confirmatory	16	validated_operations_per_second	24	24	24	871.20578010455915	complete	
fixed_treatment_server	neqoperf	iouring	small_payload_pps	loopback	confirmatory	16	validated_operations_per_second	24	24	24	65928.505372558691	complete	
fixed_treatment_server	neqoperf	iouring	stream_churn	loopback	confirmatory	16	validated_operations_per_second	24	24	24	11311.87206690426	complete	
fixed_treatment_server	neqoperf	iouring	upload	loopback	confirmatory	16	validated_body_bits_per_second	24	24	24	366814340.57959914	complete	
fixed_treatment_server	neqoperf	iouring	zero_rtt_reqresp	loopback	confirmatory	16	validated_operations_per_second	24	24	24	802.70402410354347	complete	
fixed_treatment_server	ngtcp2perf	iouring	bidi	loopback	confirmatory	16	validated_body_bits_per_second	24	24	24	665637792.14149654	complete	
fixed_treatment_server	ngtcp2perf	iouring	close_reset_cleanup	loopback	confirmatory	16	cleanup_geometric_mean_operations_per_second	24	24	24	1923.252216496832	complete	
fixed_treatment_server	ngtcp2perf	iouring	connect	loopback	confirmatory	16	validated_operations_per_second	24	24	24	4274.9093752025547	complete	
fixed_treatment_server	ngtcp2perf	iouring	datagram	loopback	confirmatory	16	validated_operations_per_second	24	24	24	87686.683242384854	complete	
fixed_treatment_server	ngtcp2perf	iouring	download	loopback	confirmatory	16	validated_body_bits_per_second	24	24	24	795729172.01680458	complete	
fixed_treatment_server	ngtcp2perf	iouring	flow_control	loopback	confirmatory	16	validated_body_bits_per_second	24	24	24	458548526.32629758	complete	
