run_order	binary	scenario	network	path_profile	threads	status	reason	metric	samples	p50	out_dir
1	s2nperf	download	syscall	loopback	1	ok		throughput_gbps	3	5.526883	.run/fixed-full-matrix-20260601T015324Z/scout/blocks/r000b00001t1-s2nperf-download-syscall-loopback
2	s2nperf	download	syscall	loopback	2	ok		throughput_gbps	3	5.792334	.run/fixed-full-matrix-20260601T015324Z/scout/blocks/r000b00002t2-s2nperf-download-syscall-loopback
3	s2nperf	download	syscall	loopback	4	ok		throughput_gbps	3	5.710545	.run/fixed-full-matrix-20260601T015324Z/scout/blocks/r000b00003t4-s2nperf-download-syscall-loopback
4	s2nperf	download	syscall	loopback	8	ok		throughput_gbps	3	2.212495	.run/fixed-full-matrix-20260601T015324Z/scout/blocks/r000b00004t8-s2nperf-download-syscall-loopback
5	s2nperf	download	syscall	loopback	16	ok		throughput_gbps	3	5.572133	.run/fixed-full-matrix-20260601T015324Z/scout/blocks/r000b00005t16-s2nperf-download-syscall-loopback
7	s2nperf	download	iouring	loopback	1	ok		throughput_gbps	3	6.281045	.run/fixed-full-matrix-20260601T015324Z/scout/blocks/r000b00007t1-s2nperf-download-iouring-loopback
8	s2nperf	download	iouring	loopback	2	ok		throughput_gbps	3	5.698875	.run/fixed-full-matrix-20260601T015324Z/scout/blocks/r000b00008t2-s2nperf-download-iouring-loopback
9	s2nperf	download	iouring	loopback	4	ok		throughput_gbps	3	5.010096	.run/fixed-full-matrix-20260601T015324Z/scout/blocks/r000b00009t4-s2nperf-download-iouring-loopback
10	s2nperf	download	iouring	loopback	8	ok		throughput_gbps	3	5.712642	.run/fixed-full-matrix-20260601T015324Z/scout/blocks/r000b00010t8-s2nperf-download-iouring-loopback
11	s2nperf	download	iouring	loopback	16	ok		throughput_gbps	3	5.454692	.run/fixed-full-matrix-20260601T015324Z/scout/blocks/r000b00011t16-s2nperf-download-iouring-loopback
13	s2nperf	upload	syscall	loopback	1	ok		throughput_gbps	3	5.483687	.run/fixed-full-matrix-20260601T015324Z/scout/blocks/r000b00013t1-s2nperf-upload-syscall-loopback
14	s2nperf	upload	syscall	loopback	2	ok		throughput_gbps	3	5.923406	.run/fixed-full-matrix-20260601T015324Z/scout/blocks/r000b00014t2-s2nperf-upload-syscall-loopback
15	s2nperf	upload	syscall	loopback	4	ok		throughput_gbps	3	4.963959	.run/fixed-full-matrix-20260601T015324Z/scout/blocks/r000b00015t4-s2nperf-upload-syscall-loopback
16	s2nperf	upload	syscall	loopback	8	ok		throughput_gbps	3	2.206203	.run/fixed-full-matrix-20260601T015324Z/scout/blocks/r000b00016t8-s2nperf-upload-syscall-loopback
17	s2nperf	upload	syscall	loopback	16	ok		throughput_gbps	3	0.081001	.run/fixed-full-matrix-20260601T015324Z/scout/blocks/r000b00017t16-s2nperf-upload-syscall-loopback
19	s2nperf	upload	iouring	loopback	1	ok		throughput_gbps	3	5.296831	.run/fixed-full-matrix-20260601T015324Z/scout/blocks/r000b00019t1-s2nperf-upload-iouring-loopback
20	s2nperf	upload	iouring	loopback	2	ok		throughput_gbps	3	5.858394	.run/fixed-full-matrix-20260601T015324Z/scout/blocks/r000b00020t2-s2nperf-upload-iouring-loopback
21	s2nperf	upload	iouring	loopback	4	ok		throughput_gbps	3	4.275044	.run/fixed-full-matrix-20260601T015324Z/scout/blocks/r000b00021t4-s2nperf-upload-iouring-loopback
22	s2nperf	upload	iouring	loopback	8	ok		throughput_gbps	3	1.800404	.run/fixed-full-matrix-20260601T015324Z/scout/blocks/r000b00022t8-s2nperf-upload-iouring-loopback
23	s2nperf	upload	iouring	loopback	16	ok		throughput_gbps	3	0.115867	.run/fixed-full-matrix-20260601T015324Z/scout/blocks/r000b00023t16-s2nperf-upload-iouring-loopback
25	s2nperf	connect	syscall	loopback	1	ok		connections_per_second	3	309.569921	.run/fixed-full-matrix-20260601T015324Z/scout/blocks/r000b00025t1-s2nperf-connect-syscall-loopback
26	s2nperf	connect	syscall	loopback	2	ok		connections_per_second	3	1420.825898	.run/fixed-full-matrix-20260601T015324Z/scout/blocks/r000b00026t2-s2nperf-connect-syscall-loopback
27	s2nperf	connect	syscall	loopback	4	ok		connections_per_second	3	1859.627851	.run/fixed-full-matrix-20260601T015324Z/scout/blocks/r000b00027t4-s2nperf-connect-syscall-loopback
28	s2nperf	connect	syscall	loopback	8	ok		connections_per_second	3	2270.342124	.run/fixed-full-matrix-20260601T015324Z/scout/blocks/r000b00028t8-s2nperf-connect-syscall-loopback
29	s2nperf	connect	syscall	loopback	16	ok		connections_per_second	3	2629.930915	.run/fixed-full-matrix-20260601T015324Z/scout/blocks/r000b00029t16-s2nperf-connect-syscall-loopback
31	s2nperf	connect	iouring	loopback	1	ok		connections_per_second	3	395.852730	.run/fixed-full-matrix-20260601T015324Z/scout/blocks/r000b00031t1-s2nperf-connect-iouring-loopback
