publication_id	round	block_id	sample_id	binary	library	scenario	network	path_profile	client_threads	server_connections	adapter_features	metric	value	phase	status	reason	started_utc	ended_utc	duration_sec	run_order	random_seed	out_dir	client_log	server_log	git_commit	env_hash	machine_hash	datagram_sent	datagram_received	datagram_lost	datagram_delivery_ratio	udp_packets_sent	udp_packets_received	udp_send_syscalls	udp_recv_polls	datagrams_per_udp_packet
scout-scout	0	r000b00001t1	r000b00001t1:s2nperf-download-syscall-loopback-r000b00001t1-1.client	s2nperf	s2n_quic	download	syscall	loopback	1	1	cc=cubic|manual_endpoint=s2n-quic|cpp_networkhub=on|udp_gso=common_cpp|udp_gro=on|runtime=none	throughput_gbps	5.522485000	scout	ok		2026-06-01T01:53:24Z	2026-06-01T01:53:26Z	2.122016	1	2036340	.run/fixed-full-matrix-20260601T015324Z/scout/blocks/r000b00001t1-s2nperf-download-syscall-loopback	.run/fixed-full-matrix-20260601T015324Z/scout/blocks/r000b00001t1-s2nperf-download-syscall-loopback/s2nperf-download-syscall-loopback-r000b00001t1-1.client.log	.run/fixed-full-matrix-20260601T015324Z/scout/blocks/r000b00001t1-s2nperf-download-syscall-loopback/s2nperf-download-syscall-loopback-r000b00001t1-1.server.log	3eda036a66524d9375befb5e80fa61aa39a19d06	9ae931adf0c8efbb	cc89661805726b75	0	0	0	0.000000000	0	0	0	0	0.000000000
scout-scout	0	r000b00001t1	r000b00001t1:s2nperf-download-syscall-loopback-r000b00001t1-2.client	s2nperf	s2n_quic	download	syscall	loopback	1	1	cc=cubic|manual_endpoint=s2n-quic|cpp_networkhub=on|udp_gso=common_cpp|udp_gro=on|runtime=none	throughput_gbps	5.526883000	scout	ok		2026-06-01T01:53:26Z	2026-06-01T01:53:28Z	2.127862	2	2036340	.run/fixed-full-matrix-20260601T015324Z/scout/blocks/r000b00001t1-s2nperf-download-syscall-loopback	.run/fixed-full-matrix-20260601T015324Z/scout/blocks/r000b00001t1-s2nperf-download-syscall-loopback/s2nperf-download-syscall-loopback-r000b00001t1-2.client.log	.run/fixed-full-matrix-20260601T015324Z/scout/blocks/r000b00001t1-s2nperf-download-syscall-loopback/s2nperf-download-syscall-loopback-r000b00001t1-2.server.log	3eda036a66524d9375befb5e80fa61aa39a19d06	9ae931adf0c8efbb	cc89661805726b75	0	0	0	0.000000000	0	0	0	0	0.000000000
scout-scout	0	r000b00001t1	r000b00001t1:s2nperf-download-syscall-loopback-r000b00001t1-3.client	s2nperf	s2n_quic	download	syscall	loopback	1	1	cc=cubic|manual_endpoint=s2n-quic|cpp_networkhub=on|udp_gso=common_cpp|udp_gro=on|runtime=none	throughput_gbps	5.699424000	scout	ok		2026-06-01T01:53:29Z	2026-06-01T01:53:31Z	2.120861	3	2036340	.run/fixed-full-matrix-20260601T015324Z/scout/blocks/r000b00001t1-s2nperf-download-syscall-loopback	.run/fixed-full-matrix-20260601T015324Z/scout/blocks/r000b00001t1-s2nperf-download-syscall-loopback/s2nperf-download-syscall-loopback-r000b00001t1-3.client.log	.run/fixed-full-matrix-20260601T015324Z/scout/blocks/r000b00001t1-s2nperf-download-syscall-loopback/s2nperf-download-syscall-loopback-r000b00001t1-3.server.log	3eda036a66524d9375befb5e80fa61aa39a19d06	9ae931adf0c8efbb	cc89661805726b75	0	0	0	0.000000000	0	0	0	0	0.000000000
scout-scout	0	r000b00002t2	r000b00002t2:s2nperf-download-syscall-loopback-r000b00002t2-1.client	s2nperf	s2n_quic	download	syscall	loopback	2	2	cc=cubic|manual_endpoint=s2n-quic|cpp_networkhub=on|udp_gso=common_cpp|udp_gro=on|runtime=none	throughput_gbps	5.792334000	scout	ok		2026-06-01T01:53:31Z	2026-06-01T01:53:33Z	2.142203	1	2036341	.run/fixed-full-matrix-20260601T015324Z/scout/blocks/r000b00002t2-s2nperf-download-syscall-loopback	.run/fixed-full-matrix-20260601T015324Z/scout/blocks/r000b00002t2-s2nperf-download-syscall-loopback/s2nperf-download-syscall-loopback-r000b00002t2-1.client.log	.run/fixed-full-matrix-20260601T015324Z/scout/blocks/r000b00002t2-s2nperf-download-syscall-loopback/s2nperf-download-syscall-loopback-r000b00002t2-1.server.log	3eda036a66524d9375befb5e80fa61aa39a19d06	9ae931adf0c8efbb	cc89661805726b75	0	0	0	0.000000000	0	0	0	0	0.000000000
scout-scout	0	r000b00002t2	r000b00002t2:s2nperf-download-syscall-loopback-r000b00002t2-2.client	s2nperf	s2n_quic	download	syscall	loopback	2	2	cc=cubic|manual_endpoint=s2n-quic|cpp_networkhub=on|udp_gso=common_cpp|udp_gro=on|runtime=none	throughput_gbps	5.823791000	scout	ok		2026-06-01T01:53:33Z	2026-06-01T01:53:35Z	2.133282	2	2036341	.run/fixed-full-matrix-20260601T015324Z/scout/blocks/r000b00002t2-s2nperf-download-syscall-loopback	.run/fixed-full-matrix-20260601T015324Z/scout/blocks/r000b00002t2-s2nperf-download-syscall-loopback/s2nperf-download-syscall-loopback-r000b00002t2-2.client.log	.run/fixed-full-matrix-20260601T015324Z/scout/blocks/r000b00002t2-s2nperf-download-syscall-loopback/s2nperf-download-syscall-loopback-r000b00002t2-2.server.log	3eda036a66524d9375befb5e80fa61aa39a19d06	9ae931adf0c8efbb	cc89661805726b75	0	0	0	0.000000000	0	0	0	0	0.000000000
scout-scout	0	r000b00002t2	r000b00002t2:s2nperf-download-syscall-loopback-r000b00002t2-3.client	s2nperf	s2n_quic	download	syscall	loopback	2	2	cc=cubic|manual_endpoint=s2n-quic|cpp_networkhub=on|udp_gso=common_cpp|udp_gro=on|runtime=none	throughput_gbps	1.577058000	scout	ok		2026-06-01T01:53:35Z	2026-06-01T01:53:38Z	2.138591	3	2036341	.run/fixed-full-matrix-20260601T015324Z/scout/blocks/r000b00002t2-s2nperf-download-syscall-loopback	.run/fixed-full-matrix-20260601T015324Z/scout/blocks/r000b00002t2-s2nperf-download-syscall-loopback/s2nperf-download-syscall-loopback-r000b00002t2-3.client.log	.run/fixed-full-matrix-20260601T015324Z/scout/blocks/r000b00002t2-s2nperf-download-syscall-loopback/s2nperf-download-syscall-loopback-r000b00002t2-3.server.log	3eda036a66524d9375befb5e80fa61aa39a19d06	9ae931adf0c8efbb	cc89661805726b75	0	0	0	0.000000000	0	0	0	0	0.000000000
scout-scout	0	r000b00003t4	r000b00003t4:s2nperf-download-syscall-loopback-r000b00003t4-1.client	s2nperf	s2n_quic	download	syscall	loopback	4	4	cc=cubic|manual_endpoint=s2n-quic|cpp_networkhub=on|udp_gso=common_cpp|udp_gro=on|runtime=none	throughput_gbps	5.758779000	scout	ok		2026-06-01T01:53:38Z	2026-06-01T01:53:40Z	2.149496	1	2036342	.run/fixed-full-matrix-20260601T015324Z/scout/blocks/r000b00003t4-s2nperf-download-syscall-loopback	.run/fixed-full-matrix-20260601T015324Z/scout/blocks/r000b00003t4-s2nperf-download-syscall-loopback/s2nperf-download-syscall-loopback-r000b00003t4-1.client.log	.run/fixed-full-matrix-20260601T015324Z/scout/blocks/r000b00003t4-s2nperf-download-syscall-loopback/s2nperf-download-syscall-loopback-r000b00003t4-1.server.log	3eda036a66524d9375befb5e80fa61aa39a19d06	9ae931adf0c8efbb	cc89661805726b75	0	0	0	0.000000000	0	0	0	0	0.000000000
scout-scout	0	r000b00003t4	r000b00003t4:s2nperf-download-syscall-loopback-r000b00003t4-2.client	s2nperf	s2n_quic	download	syscall	loopback	4	4	cc=cubic|manual_endpoint=s2n-quic|cpp_networkhub=on|udp_gso=common_cpp|udp_gro=on|runtime=none	throughput_gbps	5.710545000	scout	ok		2026-06-01T01:53:40Z	2026-06-01T01:53:42Z	2.173856	2	2036342	.run/fixed-full-matrix-20260601T015324Z/scout/blocks/r000b00003t4-s2nperf-download-syscall-loopback	.run/fixed-full-matrix-20260601T015324Z/scout/blocks/r000b00003t4-s2nperf-download-syscall-loopback/s2nperf-download-syscall-loopback-r000b00003t4-2.client.log	.run/fixed-full-matrix-20260601T015324Z/scout/blocks/r000b00003t4-s2nperf-download-syscall-loopback/s2nperf-download-syscall-loopback-r000b00003t4-2.server.log	3eda036a66524d9375befb5e80fa61aa39a19d06	9ae931adf0c8efbb	cc89661805726b75	0	0	0	0.000000000	0	0	0	0	0.000000000
scout-scout	0	r000b00003t4	r000b00003t4:s2nperf-download-syscall-loopback-r000b00003t4-3.client	s2nperf	s2n_quic	download	syscall	loopback	4	4	cc=cubic|manual_endpoint=s2n-quic|cpp_networkhub=on|udp_gso=common_cpp|udp_gro=on|runtime=none	throughput_gbps	2.197815000	scout	ok		2026-06-01T01:53:42Z	2026-06-01T01:53:44Z	2.146997	3	2036342	.run/fixed-full-matrix-20260601T015324Z/scout/blocks/r000b00003t4-s2nperf-download-syscall-loopback	.run/fixed-full-matrix-20260601T015324Z/scout/blocks/r000b00003t4-s2nperf-download-syscall-loopback/s2nperf-download-syscall-loopback-r000b00003t4-3.client.log	.run/fixed-full-matrix-20260601T015324Z/scout/blocks/r000b00003t4-s2nperf-download-syscall-loopback/s2nperf-download-syscall-loopback-r000b00003t4-3.server.log	3eda036a66524d9375befb5e80fa61aa39a19d06	9ae931adf0c8efbb	cc89661805726b75	0	0	0	0.000000000	0	0	0	0	0.000000000
scout-scout	0	r000b00004t8	r000b00004t8:s2nperf-download-syscall-loopback-r000b00004t8-1.client	s2nperf	s2n_quic	download	syscall	loopback	8	8	cc=cubic|manual_endpoint=s2n-quic|cpp_networkhub=on|udp_gso=common_cpp|udp_gro=on|runtime=none	throughput_gbps	2.212495000	scout	ok		2026-06-01T01:53:45Z	2026-06-01T01:53:47Z	2.172507	1	2036343	.run/fixed-full-matrix-20260601T015324Z/scout/blocks/r000b00004t8-s2nperf-download-syscall-loopback	.run/fixed-full-matrix-20260601T015324Z/scout/blocks/r000b00004t8-s2nperf-download-syscall-loopback/s2nperf-download-syscall-loopback-r000b00004t8-1.client.log	.run/fixed-full-matrix-20260601T015324Z/scout/blocks/r000b00004t8-s2nperf-download-syscall-loopback/s2nperf-download-syscall-loopback-r000b00004t8-1.server.log	3eda036a66524d9375befb5e80fa61aa39a19d06	9ae931adf0c8efbb	cc89661805726b75	0	0	0	0.000000000	0	0	0	0	0.000000000
